PMTest: A Fast and Flexible Testing Framework for Persistent Memory Programs.	Sihang Liu 0001,Yizhou Wei,Jishen Zhao,Aasheesh Kolli,Samira Manabi Khan	10.1145/3297858.3304015
uops.info: Characterizing Latency, Throughput, and Port Usage of Instructions on Intel Microarchitectures.	Andreas Abel 0002,Jan Reineke 0001	10.1145/3297858.3304062
A Framework for Memory Oversubscription Management in Graphics Processing Units.	Chen Li 0015,Rachata Ausavarungnirun,Christopher J. Rossbach,Youtao Zhang,Onur Mutlu,Yang Guo 0003,Jun Yang 0002	10.1145/3297858.3304044
FlatFlash: Exploiting the Byte-Accessibility of SSDs within a Unified Memory-Storage Hierarchy.	Ahmed H. M. O. Abulila,Vikram Sharma Mailthody,Zaid Qureshi,Jian Huang 0006,Nam Sung Kim,Jinjun Xiong,Wen-Mei W. Hwu	10.1145/3297858.3304061
PUMA: A Programmable Ultra-efficient Memristor-based Accelerator for Machine Learning Inference.	Aayush Ankit,Izzat El Hajj,Sai Rahul Chalamalasetti,Geoffrey Ndu,Martin Foltin,R. Stanley Williams,Paolo Faraboschi,Wen-mei W. Hwu,John Paul Strachan,Kaushik Roy 0001,Dejan S. Milojicic	10.1145/3297858.3304049
DCNS: Automated Detection Of Conservative Non-Sleep Defects in the Linux Kernel.	Jia-Ju Bai,Julia Lawall,Wende Tan,Shi-Min Hu 0001	10.1145/3297858.3304065
AcMC 2 : Accelerating Markov Chain Monte Carlo Algorithms for Probabilistic Models.	Subho S. Banerjee,Zbigniew T. Kalbarczyk,Ravishankar K. Iyer	10.1145/3297858.3304019
ProbeGuard: Mitigating Probing Attacks Through Reactive Program Transformations.	Koustubha Bhat,Erik van der Kouwe,Herbert Bos,Cristiano Giuffrida	10.1145/3297858.3304073
Debugging Support for Pattern-Matching Languages and Accelerators.	Matthew Casias,Kevin Angstadt,Tommy Tracy II,Kevin Skadron,Westley Weimer	10.1145/3297858.3304066
PARTIES: QoS-Aware Resource Partitioning for Multiple Interactive Services.	Shuang Chen 0002,Christina Delimitrou,José F. Martínez	10.1145/3297858.3304005
FA3C: FPGA-Accelerated Deep Reinforcement Learning.	Hyungmin Cho,Pyeongseok Oh,Jiyoung Park,Wookeun Jung,Jaejin Lee	10.1145/3297858.3304058
LightStore: Software-defined Network-attached Key-value Drives.	Chanwoo Chung,Jinhyung Koo,Junsu Im,Arvind,Sungjin Lee 0001	10.1145/3297858.3304022
Fine-Grain Checkpointing with In-Cache-Line Logging.	Nachshon Cohen,David T. Aksun,Hillel Avni,James R. Larus	10.1145/3297858.3304046
RPCValet: NI-Driven Tail-Aware Balancing of µs-Scale RPCs.	Alexandros Daglis,Mark Sutherland,Babak Falsafi	10.1145/3297858.3304070
Safer Program Behavior Sharing Through Trace Wringing.	Deeksha Dangwal,Weilong Cui,Joseph McMahan,Timothy Sherwood	10.1145/3297858.3304074
Phoenix: A Substrate for Resilient Distributed Graph Analytics.	Roshan Dathathri,Gurbinder Gill,Loc Hoang,Keshav Pingali	10.1145/3297858.3304056
CheriABI: Enforcing Valid Pointer Provenance and Minimizing Pointer Privilege in the POSIX C Run-time Environment.	Brooks Davis,Robert N. M. Watson,Alexander Richardson,Peter G. Neumann,Simon W. Moore,John Baldwin,David Chisnall,James Clarke,Nathaniel Wesley Filardo,Khilan Gudka,Alexandre Joannou,Ben Laurie,A. Theodore Markettos,J. Edward Maste,Alfredo Mazzinghi,Edward Tomasz Napierala,Robert M. Norton,Michael Roe,Peter Sewell,Stacey D. Son,Jonathan Woodruff	10.1145/3297858.3304042
CORF: Coalescing Operand Register File for GPUs.	Hodjat Asghari Esfeden,Farzad Khorasani,Hyeran Jeon,Daniel Wong 0001,Nael B. Abu-Ghazaleh	10.1145/3297858.3304026
Replica: A Wireless Manycore for Communication-Intensive and Approximate Data.	Vimuth Fernando,Antonio Franques,Sergi Abadal,Sasa Misailovic,Josep Torrellas	10.1145/3297858.3304033
Morpheus: A Vulnerability-Tolerant Secure Architecture Based on Ensembles of Moving Target Defenses with Churn.	Mark Gallagher 0003,Lauren Biernacki,Shibo Chen,Zelalem Birhanu Aweke,Salessawi Ferede Yitbarek,Misiker Tadesse Aga,Austin Harris 0001,Zhixing Xu,Baris Kasikci,Valeria Bertacco,Sharad Malik,Mohit Tiwari,Todd M. Austin	10.1145/3297858.3304037
