Integration Adapter Modeling.	Daniel Ritter 0001,Manuel Holzleitner	10.1007/978-3-319-19069-3_29
A Clustering Approach for Protecting GIS Vector Data.	Ahmed Abubahia,Mihaela Cocea	10.1007/978-3-319-19069-3_9
Editing Anxiety in Corporate Wikis: From Private Drafting to Public Edits.	Cristóbal Arellano,Oscar Díaz,Maider Azanza	10.1007/978-3-319-19069-3_2
Extracting Decision Logic from Process Models.	Kimon Batoulis,Andreas Meyer 0001,Ekaterina Bazhenova,Gero Decker,Mathias Weske	10.1007/978-3-319-19069-3_22
Probabilistic Keys for Data Quality Management.	Pieta Brown,Sebastian Link	10.1007/978-3-319-19069-3_8
RALph: A Graphical Notation for Resource Assignments in Business Processes.	Cristina Cabanillas,David Knuplesch,Manuel Resinas,Manfred Reichert,Jan Mendling,Antonio Ruiz Cortés	10.1007/978-3-319-19069-3_4
Need-to-Share and Non-diffusion Requirements Verification in Exchange Policies.	Rémi Delmas,Thomas Polacsek	10.1007/978-3-319-19069-3_10
PM 2 : A Process Mining Project Methodology.	Maikel L. van Eck,Xixi Lu 0001,Sander J. J. Leemans,Wil M. P. van der Aalst	10.1007/978-3-319-19069-3_19
Verification and Validation of UML Artifact-Centric Business Process Models.	Montserrat Estañol,Maria-Ribera Sancho,Ernest Teniente	10.1007/978-3-319-19069-3_27
Completing Workflow Traces Using Action Languages.	Chiara Di Francescomarino,Chiara Ghidini,Sergio Tessaris,Itzel Vázquez Sandoval	10.1007/978-3-319-19069-3_20
Game Aspect: An Approach to Separation of Concerns in Crowdsourced Data Management.	Shun Fukusumi,Atsuyuki Morishima,Hiroyuki Kitagawa	10.1007/978-3-319-19069-3_1
Declarative Process Modeling in BPMN.	Giuseppe De Giacomo,Marlon Dumas,Fabrizio Maria Maggi,Marco Montali	10.1007/978-3-319-19069-3_6
&quot;We Need to Discuss the Relationship&quot;: Revisiting Relationships as Modeling Constructs.	Nicola Guarino,Giancarlo Guizzardi	10.1007/978-3-319-19069-3_18
Virtual Business Role-Play: Leveraging Familiar Environments to Prime Stakeholder Memory During Process Elicitation.	Joel Harman,Ross Brown 0001,Daniel M. Johnson 0001,Stefanie Rinderle-Ma,Udo Kannengiesser	10.1007/978-3-319-19069-3_11
Detecting Complex Changes During Metamodel Evolution.	Djamel Eddine Khelladi,Regina Hebig,Reda Bendraou,Jacques Robin,Marie-Pierre Gervais	10.1007/978-3-319-19069-3_17
Managing Data Warehouse Traceability: A Life-Cycle Driven Approach.	Selma Khouri,Kamel Semassel,Ladjel Bellatreche	10.1007/978-3-319-19069-3_13
Equivalence Transformations for the Design of Interorganizational Data-Flow.	Julius Köpke,Johann Eder	10.1007/978-3-319-19069-3_23
Revising the Vocabulary of Business Process Element Labels.	Agnes Koschmider,Meike Ullrich,Antje Heine,Andreas Oberweis	10.1007/978-3-319-19069-3_5
Towards the Automated Annotation of Process Models.	Henrik Leopold,Christian Meilicke,Michael Fellmann,Fabian Pittke,Heiner Stuckenschmidt,Jan Mendling	10.1007/978-3-319-19069-3_25
Empirical Challenges in the Implementation of IT Portfolio Management: A Survey in Three Companies.	Lucy Ellen Lwakatare,Pasi Kuvaja,Harri Haapasalo,Arto Tolonen	10.1007/978-3-319-19069-3_28
Automatic Generation of Optimized Process Models from Declarative Specifications.	Richard Mrasek,Jutta A. Mülle,Klemens Böhm	10.1007/978-3-319-19069-3_24
Handling Regulatory Goal Model Families as Software Product Lines.	Anthony Palmieri,Philippe Collet,Daniel Amyot	10.1007/978-3-319-19069-3_12
Discovery and Validation of Queueing Networks in Scheduled Processes.	Arik Senderovich,Matthias Weidlich 0001,Avigdor Gal,Avishai Mandelbaum,Sarah Kadish,Craig A. Bunnell	10.1007/978-3-319-19069-3_26
The Requirements and Needs of Global Data Usage in Product Lifecycle Management.	Anni Siren,Kari Smolander,Mikko Jokela	10.1007/978-3-319-19069-3_7
A Novel Top-Down Approach for Clustering Traces.	Yaguang Sun,Bernhard Bauer	10.1007/978-3-319-19069-3_21
Interactive Recovery of Requirements Traceability Links Using User Feedback and Configuration Management Logs.	Ryosuke Tsuchiya,Hironori Washizaki,Yoshiaki Fukazawa,Keishi Oshima,Ryota Mibe	10.1007/978-3-319-19069-3_16
Specification and Incremental Maintenance of Linked Data Mashup Views.	Vânia Maria Ponte Vidal,Marco A. Casanova,Narciso Arruda,Roberval Mariano,Luiz André P. Paes Leme,Giseli Rabello Lopes,Chiara Renso	10.1007/978-3-319-19069-3_14
Deriving Artefact-Centric Interfaces for Overloaded Web Services.	Fuguo Wei,Alistair Barros,Chun Ouyang 0001	10.1007/978-3-319-19069-3_31
Run-Time and Task-Based Performance of Event Detection Techniques for Twitter.	Andreas Weiler,Michael Grossniklaus,Marc H. Scholl	10.1007/978-3-319-19069-3_3
A Model-Driven Approach to Enterprise Data Migration.	Raghavendra Reddy Yeddula,Prasenjit Das 0002,Sreedhar Reddy	10.1007/978-3-319-19069-3_15
Modelling Service Level Agreements for Business Process Outsourcing Services.	Adela del-Río-Ortega,Antonio Manuel Gutiérrez,Amador Durán Toro,Manuel Resinas,Antonio Ruiz Cortés	10.1007/978-3-319-19069-3_30
Advanced Information Systems Engineering - 27th International Conference, CAiSE 2015, Stockholm, Sweden, June 8-12, 2015, Proceedings	Jelena Zdravkovic,Marite Kirikova,Paul Johannesson	10.1007/978-3-319-19069-3
