Narrowing the Business-IT Gap in Process Performance Measurement.	Han van der Aa,Adela del-Río-Ortega,Manuel Resinas,Henrik Leopold,Antonio Ruiz Cortés,Jan Mendling,Hajo A. Reijers	10.1007/978-3-319-39696-5_33
Automated Clustering of Metamodel Repositories.	Francesco Basciani,Juri Di Rocco,Davide Di Ruscio,Ludovico Iovino,Alfonso Pierantonio	10.1007/978-3-319-39696-5_21
Correlating Unlabeled Events from Cyclic Business Processes Execution.	Dina Bayomie,Ahmed Awad 0001,Ehab Ezat	10.1007/978-3-319-39696-5_17
A Visual Approach to Spot Statistically-Significant Differences in Event Logs Based on Process Metrics.	Alfredo Bolt,Massimiliano de Leoni,Wil M. P. van der Aalst	10.1007/978-3-319-39696-5_10
Using a Well-Founded Multi-level Theory to Support the Analysis and Representation of the Powertype Pattern in Conceptual Modeling.	Victorio Albani de Carvalho,João Paulo A. Almeida,Giancarlo Guizzardi	10.1007/978-3-319-39696-5_19
ADInnov: An Intentional Method to Instil Innovation in Socio-Technical Ecosystems.	Mario Cortes Cornax,Agnès Front,Dominique Rieu,Christine Verdier,Fabrice Forest	10.1007/978-3-319-39696-5_9
The Authentication Game - Secure User Authentication by Gamification?	Frank Ebbers,Philipp Brune	10.1007/978-3-319-39696-5_7
Comprehensibility of Variability in Model Fragments for Product Configuration.	Jorge Echeverría,Francisca Pérez 0001,Carlos Cetina,Oscar Pastor 0001	10.1007/978-3-319-39696-5_29
Optimizing Monitorability of Multi-cloud Applications.	Edoardo Fadda,Pierluigi Plebani,Monica Vitali	10.1007/978-3-319-39696-5_25
Predictive Business Process Monitoring Framework with Hyperparameter Optimization.	Chiara Di Francescomarino,Marlon Dumas,Marco Federici,Chiara Ghidini,Fabrizio Maria Maggi,Williams Rizzi	10.1007/978-3-319-39696-5_22
Social Business Intelligence in Action.	Matteo Francia,Enrico Gallinucci,Matteo Golfarelli,Stefano Rizzi	10.1007/978-3-319-39696-5_3
Mutation Operators for UML Class Diagrams.	Maria Fernanda Granda,Nelly Condori-Fernández,Tanja E. J. Vos,Oscar Pastor 0001	10.1007/978-3-319-39696-5_20
A Configurable Resource Allocation for Multi-tenant Process Development in the Cloud.	Emna Hachicha,Nour Assy,Walid Gaaloul,Jan Mendling	10.1007/978-3-319-39696-5_34
A Modelling Language for Transparency Requirements in Business Information Systems.	Mahmood Hosseini,Alimohammad Shahri,Keith Phalp,Raian Ali	10.1007/978-3-319-39696-5_15
