Distributed Bayesian Probabilistic Matrix Factorization.	Tom Vander Aa,Imen Chakroun,Tom Haber	10.1109/CLUSTER.2016.13
FTS 2016 Workshop Keynote Speech.	David Abramson 0001	10.1109/CLUSTER.2016.98
A Software-Defined Storage for Workflow Applications.	Samer Al-Kiswany,Matei Ripeanu	10.1109/CLUSTER.2016.56
Design and Implementation for Checkpointing of Distributed Resources Using Process-Level Virtualization.	Kapil Arya,Rohan Garg 0001,Artem Y. Polyakov,Gene Cooperman	10.1109/CLUSTER.2016.55
A Comparative Survey of the HPC and Big Data Paradigms: Analysis and Experiments.	HamidReza Asaadi,Dounia Khaldi,Barbara M. Chapman	10.1109/CLUSTER.2016.21
ARCS: Adaptive Runtime Configuration Selection for Power-Constrained OpenMP Applications.	Md Abdullah Shahneous Bari,Nicholas Chaimov,Abid Muslim Malik,Kevin A. Huck,Barbara M. Chapman,Allen D. Malony,Osman Sarood	10.1109/CLUSTER.2016.39
Adaptive and Dynamic Design for MPI Tag Matching.	Mohammadreza Bayatpour,Hari Subramoni,Sourav Chakraborty 0003,Dhabaleswar K. Panda 0001	10.1109/CLUSTER.2016.69
High Throughput Log-Based Replication for Many Small In-Memory Objects.	Kevin Beineke,Stefan Nothaas,Michael Schöttner	10.1109/CLUSTER.2016.85
Results of a Model for Hadoop YARN MapReduce Tasks.	Thomas C. Bressoud,Qiuyi Tang	10.1109/CLUSTER.2016.51
Distributed Parallel #SAT Solving.	Jan Burchard,Tobias Schubert 0001,Bernd Becker 0001	10.1109/CLUSTER.2016.20
Fast Multi-parameter Performance Modeling.	Alexandru Calotoiu,David Beckingsale,Christopher W. Earl,Torsten Hoefler,Ian Karlin,Martin Schulz 0001,Felix Wolf 0001	10.1109/CLUSTER.2016.57
A Review of Lightweight Thread Approaches for High Performance Computing.	Adrián Castelló 0001,Antonio J. Peña,Sangmin Seo,Rafael Mayo 0002,Pavan Balaji,Enrique S. Quintana-Ortí	10.1109/CLUSTER.2016.12
When Amdahl Meets Young/Daly.	Aurélien Cavelan,Jiafan Li,Yves Robert,Hongyang Sun 0001	10.1109/CLUSTER.2016.17
Improving Collective I/O Performance Using Non-volatile Memory Devices.	Giuseppe Congiu,Sai Narasimhamurthy,Tim Süß,André Brinkmann	10.1109/CLUSTER.2016.37
Directive-Based Pipelining Extension for OpenMP.	Xuewen Cui,Thomas R. W. Scogland,Bronis R. de Supinski,Wu-Chun Feng	10.1109/CLUSTER.2016.53
GraphMeta: A Graph-Based Engine for Managing Large-Scale HPC Rich Metadata.	Dong Dai 0001,Yong Chen 0001,Philip H. Carns,John Jenkins,Wei Zhang 0097,Robert B. Ross	10.1109/CLUSTER.2016.50
VOLAP: A Scalable Distributed System for Real-Time OLAP with High Velocity Data.	Frank Dehne,David E. Robillard,Andrew Rau-Chaplin,Neil Burke	10.1109/CLUSTER.2016.29
TwinPCG: Dual Thread Redundancy with forward Recovery for Preconditioned Conjugate Gradient Methods.	Kiril Dichev,Dimitrios S. Nikolopoulos	10.1109/CLUSTER.2016.86
TwinPCG: Dual Thread Redundancy with Forward Recovery for Preconditioned Conjugate Gradient Methods.	Kiril Dichev,Dimitrios S. Nikolopoulos	10.1109/CLUSTER.2016.99
A Low Disk-Bound Transaction Logging System for In-memory Distributed Data Stores.	Dayal Dilli,Kenneth B. Kent,Yang Wang 0006,Cheng-Zhong Xu 0001	10.1109/CLUSTER.2016.35
Evaluation of Topology-Aware Broadcast Algorithms for Dragonfly Networks.	Matthieu Dorier,Misbah Mubarak,Robert B. Ross,Jianping Kelvin Li,Christopher D. Carothers,Kwan-Liu Ma	10.1109/CLUSTER.2016.26
Adaptive Performance-Constrained In Situ Visualization of Atmospheric Simulations.	Matthieu Dorier,Robert Sisneros,Leonardo Bautista-Gomez,Tom Peterka,Leigh Orf,Lokman Rahmani,Gabriel Antoniu,Luc Bougé	10.1109/CLUSTER.2016.25
Bredala: Semantic Data Redistribution for In Situ Applications.	Matthieu Dreher,Tom Peterka	10.1109/CLUSTER.2016.30
Active Learning in Performance Analysis.	Dmitry Duplyakin,Jed Brown,Robert Ricci	10.1109/CLUSTER.2016.63
Realizing Out-of-Core Stencil Computations Using Multi-tier Memory Hierarchy on GPGPU Clusters.	Toshio Endo	10.1109/CLUSTER.2016.61
Energy and Performance Efficient Underloading Detection Algorithm of Virtual Machines in Cloud Data Centers.	Juan Fang,Lifu Zhou,Xiaoting Hao,Min Cai,Xingtian Ren	10.1109/CLUSTER.2016.72
Quick Eviction of Virtual Machines through Proactive Snapshots.	Dinuni Fernando,Hardik Bagdi,Yaohui Hu,Ping Yang 0002,Kartik Gopalan,Charles A. Kamhoua,Kevin A. Kwiat	10.1109/CLUSTER.2016.83
streamingRPHash: Random Projection Clustering of High-Dimensional Data in a MapReduce Framework.	Jacob Franklin,Samuel Wenke,Sadiq Quasem,Lee A. Carraher,Philip A. Wilsey	10.1109/CLUSTER.2016.89
Spatial Locality Aware, Fast, and Scalable SLINK Algorithm for Commodity Clusters.	Poonam Goyal,Sonal Kumari,Sumit Sharma 0001,Vivek Kishore,Navneet Goyal,Sundar Balasubramaniam	10.1109/CLUSTER.2016.84
Separation Kernel Robustness Testing: The XtratuM Case Study.	Stephen Grixti,Nicholas Sammut,Maria Hernek,Elena Carrascosa,Miguel Masmano,Alfons Crespo	10.1109/CLUSTER.2016.91
(SAI) Stalled, Active and Idle: Characterizing Power and Performance of Large-Scale Dragonfly Networks.	Taylor L. Groves,Ryan E. Grant,K. Scott Hemmert,Simon D. Hammond,Michael J. Levenhagen,Dorian C. Arnold	10.1109/CLUSTER.2016.52
Skyline Service Selection Based on QoS Prediction.	Yan Guo 0004,Shangguang Wang	10.1109/CLUSTER.2016.80
Compiler-Assisted Overlapping of Communication and Computation in MPI Applications.	Jichi Guo,Qing Yi,Jiayuan Meng,Junchao Zhang,Pavan Balaji	10.1109/CLUSTER.2016.62
Optimizing Locality by Topology-Aware Placement for a Task Based Programming Model.	Jens Gustedt,Emmanuel Jeannot,Farouk Mansouri	10.1109/CLUSTER.2016.87
Tiresias: Low-Overhead Sample Based Scheduling with Task Hopping.	Chunliang Hao,Jie Shen 0008,Heng Zhang 0005,Yanjun Wu,Mingshu Li 0001	10.1109/CLUSTER.2016.31
Unequal Failure Protection Coding Technology for Cloud Storage Systems.	Yupeng Hu,Yonghe Liu,Wenjia Li,Nong Xiao,Zheng Qin 0001,Shu Yin	10.1109/CLUSTER.2016.16
Application-Assisted Writeback for Hadoop Clusters.	Jungi Jeong,DaeWoo Lee,Seungryoul Maeng	10.1109/CLUSTER.2016.14
An ABFT Scheme Based on Communication Characteristics.	Upama Kabir,Dhrubajyoti Goswami	10.1109/CLUSTER.2016.68
Deduplication Potential of HPC Applications&apos; Checkpoints.	Jürgen Kaiser,Ramy Gad,Tim Süß,Federico Padua,Lars Nagel 0001,André Brinkmann	10.1109/CLUSTER.2016.32
Design and Analysis of Fault Tolerance Mechanisms for Big Data Transfers.	Preethika Kasu,Youngjae Kim 0001,Sungyong Park,Scott Atchley,Geoffroy R. Vallée	10.1109/CLUSTER.2016.74
Time Optimization Modeling for Big Data Placement and Analysis for Geo-Distributed Data Centers.	Awais Khan 0002,Muhammad Attique 0001,Tae-Sun Chung,Youngjae Kim 0001	10.1109/CLUSTER.2016.75
GLAP: Distributed Dynamic Workload Consolidation through Gossip-Based Learning.	Mansour Khelghatdoust,Vincent Gramoli,Daniel Sun 0004	10.1109/CLUSTER.2016.24
A Case for Criticality Models in Exascale Systems.	Brian Kocoloski,Leonardo Piga,Wei Huang 0004,Indrani Paul,John R. Lange	10.1109/CLUSTER.2016.38
