Approximation Strategies for Incomplete MaxSAT.	Saurabh Joshi 0001,Prateek Kumar 0001,Ruben Martins,Sukrut Rao	10.1007/978-3-319-98334-9_15
Towards Effective Deep Learning for Constraint Satisfaction Problems.	Hong Xu 0003,Sven Koenig,T. K. Satish Kumar	10.1007/978-3-319-98334-9_38
Metamorphic Testing of Constraint Solvers.	Özgür Akgün,Ian P. Gent,Christopher Jefferson,Ian Miguel,Peter Nightingale	10.1007/978-3-319-98334-9_46
Automatic Discovery and Exploitation of Promising Subproblems for Tabulation.	Özgür Akgün,Ian P. Gent,Christopher Jefferson,Ian Miguel,Peter Nightingale,András Z. Salamon	10.1007/978-3-319-98334-9_1
Propagating Regular Membership with Dashed Strings.	Roberto Amadini,Graeme Gange,Peter J. Stuckey	10.1007/978-3-319-98334-9_2
Self-configuring Cost-Sensitive Hierarchical Clustering with Recourse.	Carlos Ansótegui,Meinolf Sellmann,Kevin Tierney	10.1007/978-3-319-98334-9_34
Process Plant Layout Optimization: Equipment Allocation.	Gleb Belov,Tobias Czauderna,Maria Garcia de la Banda,Matthias Klapperstück,Ilankaikone Senthooran,Mitch Smith,Michael Wybrow,Mark Wallace 0001	10.1007/978-3-319-98334-9_31
User&apos;s Constraints in Itemset Mining.	Christian Bessiere,Nadjib Lazaar,Mehdi Maamar	10.1007/978-3-319-98334-9_35
A Constraint-Based Encoding for Domain-Independent Temporal Planning.	Arthur Bit-Monnot	10.1007/978-3-319-98334-9_3
Decremental Consistency Checking of Temporal Constraints: Algorithms for the Point Algebra and the ORD-Horn Class.	Massimo Bono,Alfonso Emilio Gerevini	10.1007/978-3-319-98334-9_4
A Constraint Programming Approach for Solving Patient Transportation Problems.	Quentin Cappart,Charles Thomas 0005,Pierre Schaus,Louis-Martin Rousseau	10.1007/978-3-319-98334-9_32
Balancing Asymmetry in Max-sum Using Split Constraint Factor Graphs.	Liel Cohen,Roie Zivan	10.1007/978-3-319-98334-9_43
Domain Reduction for Valued Constraints by Generalising Methods from CSP.	Martin C. Cooper,Wafa Jguirim,David A. Cohen	10.1007/978-3-319-98334-9_5
Securely and Automatically Deploying Micro-services in an Hybrid Cloud Infrastructure.	Waldemar Cruz,Fanghui Liu 0002,Laurent Michel	10.1007/978-3-319-98334-9_40
Solver-Independent Large Neighbourhood Search.	Jip J. Dekker,Maria Garcia de la Banda,Andreas Schutt,Peter J. Stuckey,Guido Tack	10.1007/978-3-319-98334-9_6
Solution-Based Phase Saving for CP: A Value-Selection Heuristic to Simulate Local Search Behavior in Complete Solvers.	Emir Demirovic,Geoffrey Chu,Peter J. Stuckey	10.1007/978-3-319-98334-9_7
A Parallel SAT-Based Framework for Closed Frequent Itemsets Mining.	Imen Ouled Dlala,Saïd Jabbour,Badran Raddaoui,Lakhdar Sais	10.1007/978-3-319-98334-9_37
An SMT Approach to Fractional Hypertree Width.	Johannes Klaus Fichte,Markus Hecher,Neha Lodha,Stefan Szeider	10.1007/978-3-319-98334-9_8
On the Non-degeneracy of Unsatisfiability Proof Graphs Produced by SAT Solvers.	Rohan Fossé,Laurent Simon	10.1007/978-3-319-98334-9_9
Sequential Precede Chain for Value Symmetry Elimination.	Graeme Gange,Peter J. Stuckey	10.1007/978-3-319-98334-9_10
An Incremental SAT-Based Approach to Reason Efficiently on Qualitative Constraint Networks.	Gael Glorian,Jean-Marie Lagniez,Valentin Montmirail,Michael Sioutis	10.1007/978-3-319-98334-9_11
