Towards variation-aware system-level power estimation of DRAMs: an empirical approach.	Karthik Chandrasekar 0001,Christian Weis,Benny Akesson,Norbert Wehn,Kees Goossens	10.1145/2463209.2488762
Proactive circuit allocation in multiplane NoCs.	Ahmed Abousamra,Alex K. Jones,Rami G. Melhem	10.1145/2463209.2488778
Compiler-based side channel vulnerability analysis and optimized countermeasures application.	Giovanni Agosta,Alessandro Barenghi,Massimo Maggi,Gerardo Pelosi	10.1145/2463209.2488833
Early exploration for platform architecture instantiation with multi-mode application partitioning.	Prashant Agrawal,Praveen Raghavan,Matthias Hartmann,Namita Sharma 0001,Liesbet Van der Perre,Francky Catthoor	10.1145/2463209.2488896
Stochastic circuits for real-time image-processing applications.	Armin Alaghi,Cheng Li,John P. Hayes	10.1145/2463209.2488901
Runtime dependency analysis for loop pipelining in high-level synthesis.	Mythri Alle,Antoine Morvan,Steven Derrien	10.1145/2463209.2488796
BDS-MAJ: a BDD-based logic synthesis tool exploiting majority logic decomposition.	Luca Gaetano Amarù,Pierre-Emmanuel Gaillardon,Giovanni De Micheli	10.1145/2463209.2488792
Distributed run-time resource management for malleable applications on many-core platforms.	Iraklis Anagnostopoulos,Vasileios Tsoutsouras,Alexandros Bartzas,Dimitrios Soudris	10.1145/2463209.2488942
DMR3D: dynamic memory relocation in 3D multicore systems.	Dean Michael Ancajas,Koushik Chakraborty,Sanghamitra Roy	10.1145/2463209.2488928
HCI-tolerant NoC router microarchitecture.	Dean Michael Ancajas,James McCabe Nickerson,Koushik Chakraborty,Sanghamitra Roy	10.1145/2463209.2488783
Precise timing analysis for direct-mapped caches.	Sidharta Andalam,Alain Girault,Roopak Sinha,Partha S. Roop,Jan Reineke 0001	10.1145/2463209.2488917
Pareto epsilon-dominance and identifiable solutions for BioCAD modeling.	Claudio Angione,Jole Costanza,Giovanni Carapezza,Pietro Liò,Giuseppe Nicosia	10.1145/2463209.2488787
Predicting future technology performance.	Asen Asenov,Craig Alexander,Craig Riddet,Ewan Towie	10.1145/2463209.2488774
Improving energy gains of inexact DSP hardware through reciprocative error compensation.	Lingamneni Avinash,Arindam Basu,Christian C. Enz,Krishna V. Palem,Christian Piguet	10.1145/2463209.2488759
Stochastic response-time guarantee for non-preemptive, fixed-priority scheduling under errors.	Philip Axer,Rolf Ernst	10.1145/2463209.2488946
Real-time use-aware adaptive MIMO RF receiver systems for energy efficiency under BER constraints.	Debashis Banerjee,Shyam Kumar Devarakond,Shreyas Sen,Abhijit Chatterjee	10.1145/2463209.2488802
The autonomic operating system research project: achievements and future directions.	Davide B. Bartolini,Riccardo Cattaneo,Gianluca Durelli,Martina Maggio,Marco D. Santambrogio,Filippo Sironi	10.1145/2463209.2488828
Liveness evaluation of a cyclo-static DataFlow graph.	Mohamed Benazouz,Alix Munier Kordon,Thomas Hujsa,Bruno Bodin	10.1145/2463209.2488736
A method to abstract RTL IP blocks into C++ code and enable high-level synthesis.	Nicola Bombieri,Hung-Yi Liu,Franco Fummi,Luca P. Carloni	10.1145/2463209.2488927
Flexible on-chip power delivery for energy efficient heterogeneous systems.	Benton H. Calhoun,Kyle Craig	10.1145/2463209.2488932
Energy-optimal SRAM supply voltage scheduling under lifetime and error constraints.	Andrea Calimera,Enrico Macii,Massimo Poncino	10.1145/2463209.2488870
On the potential of 3D integration of inductive DC-DC converter for high-performance power delivery.	Sergio Carlo,Wen Yueh,Saibal Mukhopadhyay	10.1145/2463209.2488955
Efficiently tolerating timing violations in pipelined microprocessors.	Koushik Chakraborty,Brennan Cozzens,Sanghamitra Roy,Dean Michael Ancajas	10.1145/2463209.2488860
A transmission gate physical unclonable function and on-chip voltage-to-digital conversion technique.	Raj Chakraborty,Charles Lamech,Dhruva Acharyya,Jim Plusquellic	10.1145/2463209.2488806
High-performance hardware monitors to protect network processors from data plane attacks.	Harikrishnan Chandrikakutty,Deepak Unnikrishnan,Russell Tessier,Tilman Wolf	10.1145/2463209.2488832
Single-photon image sensors.	Edoardo Charbon,Francesco Regazzoni 0001	10.1145/2463209.2488891
Simulation knowledge extraction and reuse in constrained random processor verification.	Wen Chen 0016,Li-C. Wang,Jay Bhadra,Magdy S. Abadir	10.1145/2463209.2488881
Dynamic voltage and frequency scaling for shared resources in multicore processor designs.	Xi Chen,Zheng Xu 0006,Hyungjun Kim,Paul V. Gratz,Jiang Hu,Michael Kishinevsky,Ümit Y. Ogras,Raid Zuhair Ayoub	10.1145/2463209.2488874
Double patterning lithography-aware analog placement.	Hsing-Chih Chang Chien,Hung-Chih Ou,Tung-Chieh Chen,Ta-Yu Kuan,Yao-Wen Chang	10.1145/2463209.2488738
Analysis and characterization of inherent application resilience for approximate computing.	Vinay K. Chippa,Srimat T. Chakradhar,Kaushik Roy 0001,Anand Raghunathan	10.1145/2463209.2488873
Quantitative evaluation of soft error injection techniques for robust system design.	Hyungmin Cho,Shahrzad Mirkhani,Chen-Yong Cher,Jacob A. Abraham,Subhasish Mitra	10.1145/2463209.2488859
Tessellation: refactoring the OS around explicit resource containers with continuous adaptation.	Juan A. Colmenares,Gage Eads,Steven A. Hofmeyr,Sarah Bird,Miquel Moretó,David Chou,Brian Gluzman,Eric Roman,Davide B. Bartolini,Nitesh Mor,Krste Asanovic,John Kubiatowicz	10.1145/2463209.2488827
Defect tolerance in nanodevice-based programmable interconnects: utilization beyond avoidance.	Jason Cong,Bingjun Xiao	10.1145/2463209.2488745
Power and signal integrity challenges in 3D systems.	Miguel Corbalan,Anup Keval,Thomas Toms,Durodami Lisk,Riko Radojcic,Matt Nowak	10.1145/2463209.2488933
21st century digital design tools.	William J. Dally,Chris Malachowsky,Stephen W. Keckler	10.1145/2463209.2488850
High-throughput TSV testing and characterization for 3D integration using thermal mapping.	Kapil Dev,Gary L. Woods,Sherief Reda	10.1145/2463209.2488823
Peak power reduction and workload balancing by space-time multiplexing based demand-supply matching for 3D thousand-core microprocessor.	Sai Manoj Pudukotai Dinakarrao,Kanwen Wang,Hao Yu 0001	10.1145/2463209.2488950
Integrated instruction cache analysis and locking in multitasking real-time systems.	Huping Ding,Yun Liang 0001,Tulika Mitra	10.1145/2463209.2488916
LEQA: latency estimation for a quantum algorithm mapped to a quantum circuit fabric.	Mohammad Javad Dousti,Massoud Pedram	10.1145/2463209.2488786
Spacer-is-dielectric-compliant detailed routing for self-aligned double patterning lithography.	Yuelin Du,Qiang Ma 0002,Hua Song,James P. Shiely,Gerard Luk-Pat,Alexander Miloslavsky,Martin D. F. Wong	10.1145/2463209.2488848
A layout-based approach for multiple event transient analysis.	Mojtaba Ebrahimi,Hossein Asadi 0001,Mehdi Baradaran Tahoori	10.1145/2463209.2488858
Low-energy encryption for medical devices: security adds an extra design dimension.	Junfeng Fan,Oscar Reparaz,Vladimir Rozic,Ingrid Verbauwhede	10.1145/2463209.2488752
A new time-stepping method for circuit simulation.	G. Peter Fang	10.1145/2463209.2488904
