Virtual Components Application and Customization.	Jean-François Agaësse,Bernard Laurent	10.1109/DATE.1999.761210
A DAG-Based Design Approach for Reconfigurable VLIW Processors.	Cesare Alippi,William Fornaciari,Laura Pozzi,Mariagiovanna Sami	10.1109/DATE.1999.761227
Design For Testability Method for CML Digital Circuits.	Bernard Antaki,Yvon Savaria,Nanhan Xiong,Saman Adham	10.1109/DATE.1999.761146
C for System Level Design.	Guido Arnout	10.1109/DATE.1999.761151
Object-Oriented Reuse Methodology for VHDL.	Cristina Barna,Wolfgang Rosenstiel	10.1109/DATE.1999.761204
Glitch Power Minimization by Gate Freezing.	Luca Benini,Giovanni De Micheli,Alberto Macii,Enrico Macii,Massimo Poncino,Riccardo Scarsi	10.1109/DATE.1999.761113
Single Chip or Hybrid System Integration.	Ivo Bolsens,Wojtek Maly,Ludo Deferm,Jo Borel,Harry J. M. Veendrick	10.1109/DATE.1999.10017
Reasoning about VHDL and VHDL-AMS using Denotational Semantics.	Peter T. Breuer,Natividad Martínez Madrid,Jonathan P. Bowen,Robert B. France,Maria M. Larrondo-Petrie,Carlos Delgado Kloos	10.1109/DATE.1999.761144
Efficient Switching Activity Simulation under a Real Delay Model Using a Bitparallel Approach.	Markus Bühler,Matthias Papesch,K. Kapp,Utz G. Baitinger	10.1109/DATE.1999.761166
Computing Timed Transition Relations for Sequential Cycle-Based Simulation.	Gianpiero Cabodi,Paolo Camurati,Claudio Passerone,Stefano Quer	10.1109/DATE.1999.761090
Synthesis of Controllers for Full Testability of Integrated Datapath-Controller Pairs.	Joan Carletta,Mehrdad Nourani,Christos A. Papachristou	10.1109/DATE.1999.761134
A Physical Design Tool for Built-in Self-Repairable Static RAMs.	Kanad Chakraborty,Anurag Gupta,Mayukh Bhattacharya,Shriram Kulkarni,Pinaki Mazumder	10.1109/DATE.1999.761208
Codex-dp: Co-design of Communicating Systems Using Dynamic Programming.	Jui-Ming Chang,Massoud Pedram	10.1109/DATE.1999.761184
Parametric Fault Diagnosis for Analog Systems Using Functional Mapping.	Sasikumar Cherubal,Abhijit Chatterjee	10.1109/DATE.1999.761121
OTA Amplifiers Design on Digital Sea-of-Transistors Array.	Jung Hyun Choi,Sergio Bampi	10.1109/DATE.1999.761226
Dynamic Power Management for non-stationary service requests.	Eui-Young Chung,Luca Benini,Alessandro Bogliolo,Giovanni De Micheli	10.1109/DATE.1999.761100
A Methodology and Design Environment for DSP ASIC Fixed-Point Refinement.	Radim Cmar,Luc Rijnders,Patrick Schaumont,Serge Vernalde,Ivo Bolsens	10.1109/DATE.1999.761133
Approximate Equivalence Verification of Sequential Circuits via Genetic Algorithms.	Fulvio Corno,Matteo Sonza Reorda,Giovanni Squillero	10.1109/DATE.1999.761215
Efficient Techniques for Accurate Extraction and Modeling of Substrate Coupling in Mixed-Signal IC&apos;s.	João Paulo Costa,L. Miguel Silveira,Mike Chou	10.1109/DATE.1999.761154
A Method to Diagnose Faults in Linear Analog Circuits using an Adaptive Tester.	Érika F. Cota,Luigi Carro,Marcelo Lubaszewski	10.1109/DATE.1999.761119
Experiences with Modeling of Analog and Mixed A/D Systems Based on PWL Technique.	Jerzy J. Dabrowski,Andrzej Pulka	10.1109/DATE.1999.10007
Specification and Validation of Distributed IP-Based Designs with JavaCAD.	Marcello Dalpasso,Alessandro Bogliolo,Luca Benini	10.1109/DATE.1999.761203
CRUSADE: Hardware/Software Co-Synthesis of Dynamically Reconfigurable Heterogeneous Real-Time Distributed Embedded Systems.	Bharat P. Dav	10.1109/DATE.1999.761103
Large European Programs in Microelectronic System and Circuit Design.	Patrick M. Dewilde	10.1109/DATE.1999.10001
Hierarchical Constraint Transformation Using Directed Interval Search for Analog System Synthesis.	Nagu R. Dhanwada,Adrián Núñez-Aldana,Ranga Vemuri	10.1109/DATE.1999.761142
MOCSYN: Multiobjective Core-Based Single-Chip System Synthesis.	Robert P. Dick,Niraj K. Jha	10.1109/DATE.1999.761132
A VHDL-AMS Compiler and Architecture Generator for Behavioral Synthesis of Analog Systems.	Alex Doboli,Ranga Vemuri	10.1109/DATE.1999.761143
Retiming Sequential Circuits with Multiple Register Classes.	Klaus Eckl,Christian Legl	10.1109/DATE.1999.761198
Identification and Exploitation of Symmetries in DSP Algorithms.	C. A. J. van Eijk,E. T. A. F. Jacobs,Bart Mesman,Adwin H. Timmer	10.1109/DATE.1999.761190
Automatic Verification of Scheduling Results in High-Level Synthesis.	Hans Eveking,Holger Hinrichsen,Gerd Ritter	10.1109/DATE.1999.761097
On the Design of Self-Checking Functional Units Based on Shannon Circuits.	Michele Favalli,Cecilia Metra	10.1109/DATE.1999.761148
Efficient Techniques for Modeling Chip-Level Interconnect, Substrate and Package Parasitics.	Peter Feldmann,Sharad Kapur,David E. Long	10.1109/DATE.1999.761158
Symbolic Functional Vector Generation for VHDL Specifications.	Fabrizio Ferrandi,Franco Fummi,Luca Gerli,Donatella Sciuto	10.1109/DATE.1999.761163
Codesign of Embedded Systems Based on Java and Reconfigurable Hardware Components.	Josef Fleischmann,Klaus Buchenrieder,Rainer Kress 0002	10.1109/DATE.1999.761222
Influence of Caching and Encoding on Power Dissipation of System-Level Buses for Embedded Systems.	William Fornaciari,Donatella Sciuto,Cristina Silvano	10.1109/DATE.1999.761219
Functional Verification Methodology for Microprocessors Using the Genesys Test-Program Generator-Application to the x86 Microprocessors Family.	Laurent Fournier,Yaron Arbetman,Moshe Levinger	10.1109/DATE.1999.761162
Hardware Synthesis from C/C++.	Abhijit Ghosh,Joachim Kunkel,Stan Y. Liao	10.1109/DATE.1999.761152
Minimal Length Diagnostic Tests for Analog Circuits using Test History.	Alfred V. Gomes,Abhijit Chatterjee	10.1109/DATE.1999.761120
Industrial Evaluation of DRAM Tests.	Ad J. van de Goor,J. de Neef	10.1109/DATE.1999.761194
An Accurate Error Control Mechanism for Simplification Before Generation Algorihms.	Oscar Guerra,Juan D. Rodríguez-García,Elisenda Roca,Francisco V. Fernández 0001,Ángel Rodríguez-Vázquez	10.1109/DATE.1999.761157
