The effect of noise on software engineers&apos; performance.	Simone Romano 0001,Giuseppe Scanniello,Davide Fucci,Natalia Juristo,Burak Turhan	10.1145/3239235.3240496
Understanding what industry wants from requirements engineers: an exploration of RE jobs in Canada.	Chong Wang 0004,Pengwei Cui,Maya Daneva,Mohamad Kassab	10.1145/3239235.3268916
Can app changelogs improve requirements classification from app reviews?: an exploratory study.	Chong Wang 0004,Fan Zhang,Peng Liang 0001,Maya Daneva,Marten van Sinderen	10.1145/3239235.3267428
Comparing the effectiveness of goal-oriented languages: results from a controlled experiment.	Silvia Abrahão,Emilio Insfrán,Fernando González-Ladrón-de-Guevara,Marta Fernández-Diego,Carlos Cano-Genoves,Raphael Pereira de Oliveira	10.1145/3239235.3267433
What do concurrency developers ask about?: a large-scale study using stack overflow.	Syed Ahmed,Mehdi Bagherzadeh 0001	10.1145/3239235.3239524
Using semantic frames to identify related textual requirements: an initial validation.	Waad Alhoshan,Liping Zhao 0001,Riza Batista-Navarro	10.1145/3239235.3267441
An exploratory study of software sustainability dimensions and characteristics: end user perspectives in the kingdom of Saudi Arabia (KSA).	Sulaiman Aljarallah,Russell Lock	10.1145/3239235.3239240
The most common causes and effects of technical debt: first results from a global family of industrial surveys.	Nicolli Souza Rios Alves,Rodrigo Oliveira Spínola,Manoel G. Mendonça,Carolyn B. Seaman	10.1145/3239235.3268917
Implementing agile practices: the experience of TSol.	María Cecilia Bastarrica,Germán Espinoza,Jacqueline Marín	10.1145/3239235.3268918
A scalable and efficient approach for compiling and analyzing commit history.	Pooyan Behnamghader,Patavee Meemeng,Iordanis Fostiropoulos,Di Huang,Kamonphop Srisopha,Barry W. Boehm	10.1145/3239235.3239237
Understanding the software development practices of blockchain projects: a survey.	Partha Chakraborty,Rifat Shahriyar,Anindya Iqbal,Amiangshu Bosu	10.1145/3239235.3240298
When and who leaves matters: emerging results from an empirical study of employee turnover.	Panagiota Chatzipetrou,Darja Smite,Rini van Solingen	10.1145/3239235.3267431
On the use of emoticons in open source software development.	Maëlick Claes,Mika Mäntylä,Umar Farooq 0006	10.1145/3239235.3267434
Identifying unmaintained projects in github.	Jailton Coelho,Marco Túlio Valente,Luciana Lourdes Silva,Emad Shihab	10.1145/3239235.3240501
An empirical study of inadequate and adequate test suite reduction approaches.	Carmen Coviello,Simone Romano 0001,Giuseppe Scanniello	10.1145/3239235.3240497
The birth, growth, death and rejuvenation of software maintenance communities.	Qiong Feng,Yuanfang Cai,Rick Kazman,Ran Mo	10.1145/3239235.3239246
A longitudinal cohort study on the retainment of test-driven development.	Davide Fucci,Simone Romano 0001,Maria Teresa Baldassarre,Danilo Caivano,Giuseppe Scanniello,Burak Turhan,Natalia Juristo	10.1145/3239235.3240502
Needs and challenges for a platform to support large-scale requirements engineering: a multiple-case study.	Davide Fucci,Cristina Palomares,Xavier Franch,Dolors Costal,Mikko Raatikainen,Martin Stettinger,Zijad Kurtanovic,Tero Kojo,Lars Koenig,Andreas A. Falkner,Gottfried Schenner,Fabrizio Brasca,Tomi Männistö,Alexander Felfernig,Walid Maalej	10.1145/3239235.3240498
Standards of validity and the validity of standards in behavioral software engineering research: the perspective of psychological test theory.	Lucas Gren	10.1145/3239235.3267437
An empirical perspective on security challenges in large-scale agile software development.	Amber van der Heijden,Cosmin Broasca,Alexander Serebrenik	10.1145/3239235.3267426
Architecture, technologies and challenges for cyber-physical systems in industry 4.0: a systematic mapping study.	Florian Hofer 0001	10.1145/3239235.3239242
Software analytics in continuous delivery: a case study on success factors.	Hennie Huijgens,Davide Spadini,Dick Stevens,Niels Visser,Arie van Deursen	10.1145/3239235.3240505
Are mutants really natural?: a study on how &quot;naturalness&quot; helps mutant selection.	Matthieu Jimenez,Thierry Titcheu Chekam,Maxime Cordy,Mike Papadakis,Marinos Kintis,Yves Le Traon,Mark Harman	10.1145/3239235.3240500
Experimental validation of the suitability of virtualization-based replication for fault tolerance in real-time control of electric grids.	Seyed Alireza Sanaee Kohroudi,Mostafa Jalal,Maaz Mohiuddin,Wajeb Saab,Jean-Yves Le Boudec	10.1145/3239235.3267429
Using experience sampling to link software repositories with emotions and work well-being.	Miikka Kuutila,Mika V. Mäntylä,Maëlick Claes,Marko Elovainio,Bram Adams	10.1145/3239235.3239245
No search allowed: what risk modeling notation to choose?	Katsiaryna Labunets	10.1145/3239235.3239247
Building a collaborative culture: a grounded theory of well succeeded devops adoption in practice.	Welder Pinheiro Luz,Gustavo Pinto 0001,Rodrigo Bonifácio	10.1145/3239235.3240299
Measuring LDA topic stability from clusters of replicated runs.	Mika V. Mäntylä,Maëlick Claes,Umar Farooq 0006	10.1145/3239235.3267435
Applying pattern-driven maintenance: a method to prevent latent unhandled exceptions in web applications.	Diogo S. Mendonça,Tarcila G. da Silva,Daniel Ferreira de Oliveira,Julliany Sales Brandão,Hélio Lopes 0001,Simone D. J. Barbosa,Marcos Kalinowski,Arndt von Staa	10.1145/3239235.3268924
Maintaining systematic literature reviews: benefits and drawbacks.	Vilmar Nepomuceno,Sérgio Soares	10.1145/3239235.3267432
Measuresoftgram: a future vision of software product quality.	Hilmer Neri,Guilherme Horta Travassos	10.1145/3239235.3267438
A preliminary study of agility in business and production: cases of early-stage hardware startups.	Anh Nguyen-Duc 0001,Xiaofeng Wang 0001,Pekka Abrahamsson	10.1145/3239235.3267430
Vulnerable open source dependencies: counting those that matter.	Ivan Pashchenko,Henrik Plate,Serena Elisa Ponta,Antonino Sabetta,Fabio Massacci	10.1145/3239235.3268920
Simultaneous measurement of program comprehension with fMRI and eye tracking: a case study.	Norman Peitek,Janet Siegmund,Chris Parnin,Sven Apel,Johannes C. Hofmeister,André Brechmann	10.1145/3239235.3240495
An empirical study of process policies and metrics to manage productivity and quality for maintenance of critical software systems at the jet propulsion laboratory.	Dan Port,William Taber	10.1145/3239235.3268925
Calibrating use case points using bayesian analysis.	Kan Qi,Anandi Hira,Elaine Venson,Barry W. Boehm	10.1145/3239235.3239236
Relationship between geographical location and evaluation of developer contributions in github.	Ayushi Rastogi,Nachiappan Nagappan,Georgios Gousios,André van der Hoek	10.1145/3239235.3240504
What if a bug has a different origin?: making sense of bugs without an explicit bug introducing change.	Gema Rodríguez-Pérez,Andy Zaidman,Alexander Serebrenik,Gregorio Robles,Jesús M. González-Barahona	10.1145/3239235.3267436
Improving problem identification via automated log clustering using dimensionality reduction.	Carl Martin Rosenberg,Leon Moonen	10.1145/3239235.3239248
Identifying bug-inducing changes for code additions.	Emre Sahal,Ayse Tosun	10.1145/3239235.3267440
Comparing techniques for aggregating interrelated replications in software engineering.	Adrian Santos,Natalia Juristo	10.1145/3239235.3239239
Computer games are serious business and so is their quality: particularities of software testing in game development from the perspective of practitioners.	Ronnie E. S. Santos,Cleyton V. C. de Magalhães,Luiz Fernando Capretz,Jorge S. Correia Neto,Fabio Q. B. da Silva,Abdelrahman Saher	10.1145/3239235.3268923
Software quality assessment in practice: a hypothesis-driven framework.	Markus Schnappinger,Mohd Hafeez Osman,Alexander Pretschner,Markus Pizka,Arnaud Fietzke	10.1145/3239235.3268922
Automatic topic classification of test cases using text mining at an Android smartphone vendor.	Junji Shimagaki,Yasutaka Kamei,Naoyasu Ubayashi,Abram Hindle	10.1145/3239235.3268927
An empirical study of WIP in kanban teams.	Dag I. K. Sjøberg	10.1145/3239235.3239238
Decision making and visualizations based on test results.	Per Erik Strandberg,Wasif Afzal,Daniel Sundmark	10.1145/3239235.3268921
Assessing the effect of data transformations on test suite compilation.	Panagiotis Stratis,Vanya Yaneva,Ajitha Rajan	10.1145/3239235.3240499
Revisiting the size effect in software fault prediction models.	Amjed Tahir,Kwabena Ebo Bennin,Stephen G. MacDonell,Stephen Marsland	10.1145/3239235.3239243
Defining, measuring and monitoring IT service goals and strategies: preliminary results and pitfalls from a qualitative study with IT service managers.	Bianca Trinkenreich,Tayana Conte,Monalessa Perini Barcellos,Gleison Santos	10.1145/3239235.3268919
Speeding up mutation testing via the cloud: lessons learned for further optimisations.	Sten Vercammen,Serge Demeyer,Markus Borg,Sigrid Eldh	10.1145/3239235.3240506
Are 20% of files responsible for 80% of defects?	Neil Walkinshaw,Leandro L. Minku	10.1145/3239235.3239244
Development processes and practices in a small but growing software industry: a practitioner survey in New Zealand.	Di Wang,Matthias Galster	10.1145/3239235.3268926
Is there a &quot;golden&quot; feature set for static warning identification?: an experimental evaluation.	Junjie Wang 0001,Song Wang 0009,Qing Wang 0001	10.1145/3239235.3239523
Measuring human values in software engineering.	Emily Winter 0001,Stephen Forshaw,Maria Angela Ferrario	10.1145/3239235.3267427
Prediction of relatedness in stack overflow: deep learning vs. SVM: a reproducibility study.	Bowen Xu,Amirreza Shirani,David Lo 0001,Mohammad Amin Alipour	10.1145/3239235.3240503
An empirical investigation of transferring research to software technology innovation: a case of data-driven national security software.	Mansooreh Zahedi,Muhammad Ali Babar 0001,Brenton Cooper	10.1145/3239235.3239241
An empirical study of design discussions in code review.	Farida Elzanaty,Toshiki Hirao,Shane McIntosh,Akinori Ihara,Kenichi Matsumoto	10.1145/3239235.3239525
Domain-specific modelware: to make the machine learning model reusable and reproducible.	Hui Zhao,Jimin Liang,Xuezhen Yin,Lingfeng Yang,Peili Yang,Yuhang Wang	10.1145/3239235.3267439
Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement, ESEM 2018, Oulu, Finland, October 11-12, 2018	Markku Oivo,Daniel Méndez Fernández,Audris Mockus	10.1145/3239235
