What Industry Wants from Requirements Engineers in China?: An Exploratory and Comparative Study on RE Job Ads.	Chong Wang 0004,Yaqian Tang,Peng Liang 0001,Maya Daneva,Marten van Sinderen	10.1145/3382494.3410672
The Impact of a Proposal for Innovation Measurement in the Software Industry.	Nauman Bin Ali,Henry Edison,Richard Torkar	10.1145/3382494.3422163
A Taste of the Software Industry Perception of Technical Debt and its Management in Uruguay: A survey in software industry.	Cecilia Apa,Martín Solari,Diego Vallespir,Guilherme Horta Travassos	10.1145/3382494.3421463
An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability.	Marvin Muñoz Barón,Marvin Wyrich,Stefan Wagner 0001	10.1145/3382494.3410636
Teamwork Quality and Team Success in Software Development: A Non-exact Replication Study.	Any Caroliny D. Batista,Renata M. C. R. de Souza,Fabio Q. B. da Silva,Leandro de Almeida Melo,George Marsicano	10.1145/3382494.3410632
Trustworthiness Perceptions in Code Review: An Eye-tracking Study.	Ian Bertram,Jack Hong,Yu Huang 0015,Westley Weimer,Zohreh Sharafi	10.1145/3382494.3422164
A Survey on the Interplay between Software Engineering and Systems Engineering during SoS Architecting.	Héctor Cadavid,Vasilios Andrikopoulos,Paris Avgeriou,John Klein	10.1145/3382494.3410671
Work Practices and Perceptions from Women Core Developers in OSS Communities.	Edna Dias Canedo,Rodrigo Bonifácio,Márcio Vinicius Okimoto,Alexander Serebrenik,Gustavo Pinto 0001,Eduardo Monteiro	10.1145/3382494.3410682
Profiling Developers Through the Lens of Technical Debt.	Zadia Codabux,Christopher Dutchyn	10.1145/3382494.3422172
GASSER: Genetic Algorithm for teSt Suite Reduction.	Carmen Coviello,Simone Romano 0001,Giuseppe Scanniello,Giuliano Antoniol	10.1145/3382494.3422157
Beyond Accuracy: ROI-driven Data Analytics of Empirical Data.	Gouri Deshpande,Guenther Ruhe	10.1145/3382494.3422159
Effect of Technical and Social Factors on Pull Request Quality for the NPM Ecosystem.	Tapajit Dey,Audris Mockus	10.1145/3382494.3410685
On the use of C# Unsafe Code Context: An Empirical Study of Stack Overflow.	Ehsan Firouzi,Ashkan Sami,Foutse Khomh,Gias Uddin 0001	10.1145/3382494.3422165
