Testing Smart Contracts: Which Technique Performs Best?	Sefa Akca,Chao Peng 0002,Ajitha Rajan	10.1145/3475716.3475779
Who are Vulnerability Reporters?: A Large-scale Empirical Study on FLOSS.	Nikolaos Alexopoulos,Andrew Meneely,Dorian Arnouts,Max Mühlhäuser	10.1145/3475716.3475783
Important Experimentation Characteristics: An Expert Survey.	Florian Auer,Michael Felderer	10.1145/3475716.3484186
Facing the Giant: a Grounded Theory Study of Decision-Making in Microservices Migrations.	Hamdy Michael Ayas,Philipp Leitner 0001,Regina Hebig	10.1145/3475716.3475792
A Model of Software Prototyping based on a Systematic Map.	Elizabeth Bjarnason,Franz Lang,Alexander Mjöberg	10.1145/3475716.3475772
Measurement Challenges for Cyber Cyber Digital Twins: Experiences from the Deployment of Facebook&apos;s WW Simulation System.	Kinga Bojarczuk,Natalija Gucevska,Simon M. M. Lucas,Inna Dvortsova,Mark Harman,Erik Meijer 0001,Silvia Sapora,Johann George,Maria Lomeli,Rubmary Rojas	10.1145/3475716.3484196
Tackling Consistency-related Design Challenges of Distributed Data-Intensive Systems: An Action Research Study.	Susanne Braun,Stefan Deßloch,Eberhard Wolff,Frank Elberzhager,Andreas Jedlitschka	10.1145/3475716.3475771
An Exploratory Study on Dead Methods in Open-source Java Desktop Applications.	Danilo Caivano,Pietro Cassieri,Simone Romano 0001,Giuseppe Scanniello	10.1145/3475716.3475773
An Empirical Study on Refactoring-Inducing Pull Requests.	Flávia Coelho,Nikolaos Tsantalis,Tiago Massoni,Everton L. G. Alves	10.1145/3475716.3475785
Web Application Testing: Using Tree Kernels to Detect Near-duplicate States in Automated Model Inference.	Anna Corazza,Sergio Di Martino,Adriano Peron,Luigi Libero Lucio Starace	10.1145/3475716.3484187
Inclusion and Exclusion Criteria in Software Engineering Tertiary Studies: A Systematic Mapping and Emerging Framework.	Dolors Costal,Carles Farré,Xavier Franch,Carme Quer	10.1145/3475716.3484190
An Empirical Study of Rule-Based and Learning-Based Approaches for Static Application Security Testing.	Roland Croft,Dominic Newlands,Ziyu Chen,Muhammad Ali Babar 0001	10.1145/3475716.3475781
Security Smells Pervade Mobile App Servers.	Pascal Gadient,Marc-Andrea Tarnutzer,Oscar Nierstrasz,Mohammad Ghafari	10.1145/3475716.3475780
An Empirical Examination of the Impact of Bias on Just-in-time Defect Prediction.	Jiri Gesi,Jiawei Li,Iftekhar Ahmed 0001	10.1145/3475716.3475791
Barriers to Shift-Left Security: The Unique Pain Points of Writing Automated Tests Involving Security Controls.	Danielle Gonzalez,Paola Peralta Perez,Mehdi Mirakhorli	10.1145/3475716.3475786
A Survey-Based Qualitative Study to Characterize Expectations of Software Developers from Five Stakeholders.	Khalid Hasan,Partha Chakraborty,Rifat Shahriyar,Anindya Iqbal,Gias Uddin 0001	10.1145/3475716.3475787
Characterizing and Predicting Good First Issues.	Yuekai Huang,Junjie Wang 0001,Song Wang 0009,Zhe Liu 0025,Dandan Wang,Qing Wang 0001	10.1145/3475716.3475789
A comparative study of vulnerability reporting by software composition analysis tools.	Nasif Imtiaz,Seaver Thorn,Laurie A. Williams	10.1145/3475716.3475769
What Evidence We Would Miss If We Do Not Use Grey Literature?	Fernando Kamei,Gustavo Pinto 0001,Igor Wiese,Márcio Ribeiro 0001,Sérgio Soares	10.1145/3475716.3475777
Public Software Development Activity During the Pandemic.	Vanessa Klotzman,Farima Farmahinifarahani,Cristina V. Lopes	10.1145/3475716.3475778
Vision for an Artefact-based Approach to Regulatory Requirements Engineering.	Oleksandr Kosenkov,Michael Unterkalmsteiner,Daniel Méndez 0001,Davide Fucci	10.1145/3475716.3484191
Towards a Methodology for Participant Selection in Software Engineering Experiments: A Vision of the Future.	Valentina Lenarduzzi,Oscar Dieste,Davide Fucci,Sira Vegas	10.1145/3475716.3484273
Study of the Utility of Text Classification Based Software Architecture Recovery Method RELAX for Maintenance.	Daniel Link 0003,Kamonphop Srisopha,Barry W. Boehm	10.1145/3475716.3484194
Characteristics and Challenges of Low-Code Development: The Practitioners&apos; Perspective.	Yajing Luo,Peng Liang 0001,Chong Wang 0004,Mojtaba Shahin,Jing Zhan	10.1145/3475716.3475782
Promises and Perils of Inferring Personality on GitHub.	Frenk C. J. van Mil,Ayushi Rastogi,Andy Zaidman	10.1145/3475716.3475775
The Existence and Co-Modifications of Code Clones within or across Microservices.	Ran Mo,Yang Zhao,Qiong Feng,Zengyang Li	10.1145/3475716.3475784
Semantic Slicing of Architectural Change Commits: Towards Semantic Design Review.	Amit Kumar Mondal,Chanchal K. Roy,Kevin A. Schneider,Banani Roy,Sristy Sumana Nath	10.1145/3475716.3484487
Towards a Human Values Dashboard for Software Development: An Exploratory Study.	Arif Nurwidyantoro,Mojtaba Shahin,Michel Chaudron,Waqar Hussain,Harsha Perera,Rifat Ara Shams,Jon Whittle 0001	10.1145/3475716.3475770
Evaluating the Impact of Java Virtual Machines on Energy Consumption.	Zakaria Ournani,Mohammed Chakib Belgaid,Romain Rouvoy,Pierre Rust,Joël Penhoat	10.1145/3475716.3475774
Contextual Understanding and Improvement of Metamorphic Testing in Scientific Software Development.	Zedong Peng,Upulee Kanewala,Nan Niu	10.1145/3475716.3484188
How Empirical Research Supports Tool Development: A Retrospective Analysis and new Horizons.	Massimiliano Di Penta	10.1145/3475716.3484488
