To What Extent Cognitive-Driven Development Improves Code Readability?	Leonardo Ferreira Barbosa,Victor Hugo Santiago C. Pinto,Alberto Luiz Oliveira Tavares de Souza,Gustavo Pinto 0001	10.1145/3544902.3546241
An Exploratory Study on Regression Vulnerabilities.	Larissa Braz,Enrico Fregnan,Vivek Arora,Alberto Bacchelli	10.1145/3544902.3546250
A Preliminary Investigation of MLOps Practices in GitHub.	Fabio Calefato,Filippo Lanubile,Luigi Quaranta	10.1145/3544902.3546636
Identifying Source Code File Experts.	Otávio Cury da Costa Castro,Guilherme Avelino 0001,Pedro de A. Santos Neto,Ricardo Britto 0001,Marco Túlio Valente	10.1145/3544902.3546243
Towards Demystifying the Impact of Dependency Structures on Bug Locations in Deep Learning Libraries.	Di Cui,Xingyu Li,Feiyang Liu,Siqi Wang,Jie Dai,Lu Wang 0014,Qingshan Li	10.1145/3544902.3546246
Only Time Will Tell: Modelling Information Diffusion in Code Review with Time-Varying Hypergraphs.	Michael Dorner,Darja Smite,Daniel Méndez 0001,Krzysztof Wnuk,Jacek Czerwonka	10.1145/3544902.3546254
Potential Technical Debt and Its Resolution in Code Reviews: An Exploratory Study of the OpenStack and Qt Communities.	Liming Fu,Peng Liang 0001,Zeeshan Rasheed,Zengyang Li,Amjed Tahir,Xiaofeng Han	10.1145/3544902.3546253
What Soft Skills Does the Software Industry *Really* Want? An Exploratory Study of Software Positions in New Zealand.	Matthias Galster,Antonija Mitrovic,Sanna Malinen,Jay Holland	10.1145/3544902.3546247
An Experience Report on Technical Debt in Pull Requests: Challenges and Lessons Learned.	Shubhashis Karmakar,Zadia Codabux,Melina C. Vidoni	10.1145/3544902.3546637
Software Artifact Mining in Software Engineering Conferences: A Meta-Analysis.	Zeinab Abou Khalil,Stefano Zacchiroli	10.1145/3544902.3546239
Meetings and Mood - Related or Not? Insights from Student Software Projects.	Jil Klünder,Oliver Karras	10.1145/3544902.3546252
Understanding the Implementation of Technical Measures in the Process of Data Privacy Compliance: A Qualitative Study.	Oleksandra Klymenko,Oleksandr Kosenkov,Stephen Meisenbacher,Parisa Elahidoost,Daniel Méndez 0001,Florian Matthes	10.1145/3544902.3546234
Asking about Technical Debt: Characteristics and Automatic Identification of Technical Debt Questions on Stack Overflow.	Nicholas Kozanidis,Roberto Verdecchia,Emitza Guzman	10.1145/3544902.3546245
A Tale of Two Tasks: Automated Issue Priority Prediction with Deep Multi-task Learning.	Yingling Li,Xing Che,Yuekai Huang,Junjie Wang 0001,Song Wang 0009,Yawen Wang,Qing Wang 0001	10.1145/3544902.3546257
PG-VulNet: Detect Supply Chain Vulnerabilities in IoT Devices using Pseudo-code and Graphs.	Xin Liu 0050,Yixiong Wu,Qingchen Yu,Shangru Song,Yue Liu,Qingguo Zhou,Jianwei Zhuge	10.1145/3544902.3546240
