Accurate and Efficient Hyperbolic Tangent Activation Function on FPGA using the DCT Interpolation Filter (Abstract Only).	Ahmed M. Abdelsalam,J. M. Pierre Langlois,Farida Cheriet	
Stochastic-Based Multi-stage Streaming Realization of a Deep Convolutional Neural Network (Abstract Only).	Mohammed Alawad,Mingjie Lin	
An OpenCL™ Deep Learning Accelerator on Arria 10.	Utku Aydonat,Shane O&apos;Connell,Davor Capalija,Andrew C. Ling,Gordon R. Chiu	
120-core microAptiv MIPS Overlay for the Terasic DE5-NET FPGA board.	Chethan Kumar H. B,Prashant Ravi,Gourav Modi,Nachiket Kapre	
ASAP: Accelerated Short Read Alignment on Programmable Hardware (Abstract Only).	Subho S. Banerjee,Mohamed El-Hadedy 0001,Jong Bin Lim,Daniel Chen 0001,Zbigniew T. Kalbarczyk,Deming Chen,Ravishankar K. Iyer	
Automatic Generation of Hardware Sandboxes for Trojan Mitigation in Systems on Chip (Abstract Only).	Christophe Bobda,Taylor J. L. Whitaker,Charles A. Kamhoua,Kevin A. Kwiat,Laurent Njilla	
Cache Timing Attacks from The SoCFPGA Coherency Port (Abstract Only).	Sumanta Chaudhuri	
CPU-FPGA Co-Optimization for Big Data Applications: A Case Study of In-Memory Samtool Sorting (Abstract Only).	Jason Cong,Zhenman Fang,Muhuan Huang,Libo Wang,Di Wu 0010	
FPGAs in the Cloud.	George A. Constantinides	
ForeGraph: Exploring Large-scale Graph Processing on Multi-FPGA Architecture.	Guohao Dai,Tianhao Huang,Yuze Chi,Ningyi Xu,Yu Wang 0002,Huazhong Yang	
Dynamic Hazard Resolution for Pipelining Irregular Loops in High-Level Synthesis.	Steve Dai,Ritchie Zhao,Gai Liu,Shreesha Srinath,Udit Gupta,Christopher Batten,Zhiru Zhang	
Thermal Flattening in 3D FPGAs Using Embedded Cooling (Abstract Only).	Girish Deshpande,Dinesh K. Bhatia	
Secure Function Evaluation Using an FPGA Overlay Architecture.	Xin Fang 0001,Stratis Ioannidis,Miriam Leeser	
Accelerating Financial Market Server through Hybrid List Design (Abstract Only).	Haohuan Fu,Conghui He,Huabin Ruan,Itay Greenspon,Wayne Luk,Yongkang Zheng,Junfeng Liao,Qing Zhang,Guangwen Yang	
Quality-Time Tradeoffs in Component-Specific Mapping: How to Train Your Dynamically Reconfigurable Array of Gates with Outrageous Network-delays.	Hans Giesen,Raphael Rubin,Benjamin Gojman,André DeHon	
A Machine Learning Framework for FPGA Placement (Abstract Only).	Gary William Grewal,Shawki Areibi,Matthew Westrik,Ziad Abuowaimer,Betty Zhao	
ESE: Efficient Speech Recognition Engine with Sparse LSTM on FPGA.	Song Han 0003,Junlong Kang,Huizi Mao,Yiming Hu,Xin Li,Yubin Li,Dongliang Xie,Hong Luo,Song Yao,Yu Wang 0002,Huazhong Yang,William (Bill) J. Dally	
FPGA Acceleration for Computational Glass-Free Displays.	Zhuolun He,Guojie Luo	
Hardware Acceleration of the Pair-HMM Algorithm for DNA Variant Calling.	Sitao Huang,Gowthami Jayashri Manikandan,Anand Ramachandran,Kyle Rupnow,Wen-mei W. Hwu,Deming Chen	
NAND-NOR: A Compact, Fast, and Delay Balanced FPGA Logic Element.	Zhihong Huang,Xing Wei,Grace Zgheib,Wei Li,Yu Lin,Zhenghong Jiang,Kaihui Tu,Paolo Ienne,Haigang Yang	
Towards Efficient Design Space Exploration of FPGA-based Accelerators for Streaming HPC Applications (Abstract Only).	Mostafa Koraei,Magnus Jahre,S. Omid Fatemi	
A 7.663-TOPS 8.2-W Energy-efficient FPGA Accelerator for Binary Convolutional Neural Networks (Abstract Only).	Yixing Li,Zichuan Liu,Kai Xu 0007,Hao Yu 0001,Fengbo Ren	
