PCI express 3.0 overview.	Jasmin Ajanovic	10.1109/HOTCHIPS.2009.7478337
Xilinx Virtex-6 and Spartan-6 FPGA families.	Peter Alfke	10.1109/HOTCHIPS.2009.7478379
Ultra low power FPGA fuels faster feature evolution in mobile applications.	John Birkner	10.1109/HOTCHIPS.2009.7478377
Programming the Nallatech Xeon + multi-FPGA heterogeneous platform.	Paul Chow,Manuel Saldaña,Arun Patel,Christopher A. Madill	10.1109/HOTCHIPS.2009.7478369
Blade computing with the AMD Opteron™ processor (&quot;magny-cours&quot;).	Pat Conway,Nathan Kalyanasundharam,Gregg Donley,Kevin Lepak,Bill Hughes	10.1109/HOTCHIPS.2009.7478349
HyperTransport™ technology tutorial.	José Duato	10.1109/HOTCHIPS.2009.7478335
Tutorial #1: Modern system interconnects.	José Duato,Robert J. Safranek,Jasmin Ajanovic	10.1109/HOTCHIPS.2009.7478334
Technology scaling at an inflexion point: What next? (FPGA perspective).	Michael J. Hart	10.1109/HOTCHIPS.2009.7478384
AMD and OpenCL.	Mike Houston	10.1109/HOTCHIPS.2009.7478344
2009: The GPU computing tipping point.	Jen-Hsun Huang	10.1109/HOTCHIPS.2009.7478352
The world&apos;s first USB3.0 storage controller.	Gideon D. Intrater	10.1109/HOTCHIPS.2009.7478353
POWER7: IBM&apos;s next generation server processor.	Ronald N. Kalla,Balaram Sinharoy	10.1109/HOTCHIPS.2009.7478381
SoC for car navigation systems with a 53.3 GOPS image recognition engine.	Hideaki Kido,Shoji Muramatsu,Yasuhiko Hoshi,Hiroyuki Hamasaki,Atsushi Nakamura,Akihiro Yamamoto	10.1109/HOTCHIPS.2009.7478375
Nahalem-EX CPU architecture.	Sailesh Kottapalli,Jeff Baxter	10.1109/HOTCHIPS.2009.7478350
The stanford pervasive parallelism lab.	Christos Kozyrakis,Kunle Olukotun	10.1109/HOTCHIPS.2009.7478358
40Gb/s optical active cable using monolithic transceivers implemented in silicon photonics enabled 0.13-µm SOI CMOS Technology.	Daniel Kucharski,Luxtera Team	10.1109/HOTCHIPS.2009.7478354
IMAPCAR2: A dynamic SIMD/MIMD mode switching processor for embedded systems.	Shorin Kyo,Shouhei Nomoto,Takuya Koga,Hanno Lieske,Shin&apos;ichiro Okazaki	10.1109/HOTCHIPS.2009.7478374
OpenCL for NVIDIA GPUs.	Chris Lamb	10.1109/HOTCHIPS.2009.7478346
Technology scaling at an inflection point what&apos;s next?	Lode Lauwers	10.1109/HOTCHIPS.2009.7478366
Innovation envelope: Hot chips in blades.	Kevin Leigh	10.1109/HOTCHIPS.2009.7478351
Transitioning the Intel® next generation microarchitectures (nehalem and westmere) into the mainstream.	Lily Pao Looi,Stéphan Jourdan	10.1109/HOTCHIPS.2009.7478362
Newest additions to Altera&apos;s integrated transceiver portfolio.	Dan Mansur	10.1109/HOTCHIPS.2009.7478378
SPARC64™ VIIIfx: Fujitsu&apos;s new generation octo core processor for PETA scale computing.	Takumi Maruyama	10.1109/HOTCHIPS.2009.7478367
OpenCL*, heterogeneous computing, and the CPU.	Tim Mattson	10.1109/HOTCHIPS.2009.7478345
The OpenCL specification.	Aaftab Munshi	10.1109/HOTCHIPS.2009.7478342
PNX85500 single chip LCD TV system with integrated 120Hz HD frame rate converter.	Colin Osborne,Ralf Karge	10.1109/HOTCHIPS.2009.7478373
Silicon MEMS oscillators for high speed digital systems.	Aaron Partridge,Sassan Tabatabaei	10.1109/HOTCHIPS.2009.7478376
Moorestown platform: Based on lincroft SoC designed for next generation smartphones.	Rajesh Patel	10.1109/HOTCHIPS.2009.7478359
Rainbow falls sun&apos;s next generation CMT processor.	Sanjay Patel	10.1109/HOTCHIPS.2009.7478380
Overview of the UC Berkeley Par Lab.	David Patterson	10.1109/HOTCHIPS.2009.7478356
OpenCL in handheld devices.	Kari Pulli	10.1109/HOTCHIPS.2009.7478348
NVIDIA® Ion.	Sridhar Pursai	10.1109/HOTCHIPS.2009.7478361
Intel® QuickPath interconnect overview.	Robert J. Safranek	10.1109/HOTCHIPS.2009.7478336
Game developer&apos;s perspective on OpenCL.	Eric Schenk	10.1109/HOTCHIPS.2009.7478347
Intel® 5520 chipset: An I / O hub chipset for server, workstation, and high end desktop.	Debendra Das Sharma	10.1109/HOTCHIPS.2009.7478355
Universal parallel computing research center at Illinois.	Marc Snir	10.1109/HOTCHIPS.2009.7478357
Sun&apos;s 3rd generation on-chip UltraSPARC security accelerator.	Lawrence Spracklen	10.1109/HOTCHIPS.2009.7478371
POWER7: IBM&apos;s next generation, balanced POWER server chip.	William J. Starke	10.1109/HOTCHIPS.2009.7478382
Khronos and the OpenCL standard.	Neil Trevett	10.1109/HOTCHIPS.2009.7478341
OMAP4430 architecture and development.	David Witt	10.1109/HOTCHIPS.2009.7478360
2009 IEEE Hot Chips 21 Symposium (HCS), Stanford, CA, USA, August 23-25, 2009		
