A Massive-Scale Brain Activity Decoding Chip.	Ameer Abdelhadi,Eugene Sha,Andreas Moshovos	10.1109/HCS55958.2022.9895603
The Groq Software-defined Scale-out Tensor Streaming Multiprocessor : From chips-to-systems architectural overview.	Dennis Abts,John Kim,Garrin Kimmell,Matthew Boyd,Kris Kang,Sahil Parmar,Andrew C. Ling,Andrew Bitar,Ibrahim Ahmed 0007,Jonathan Ross	10.1109/HCS55958.2022.9895630
Untether Ai : Boqueria.	Robert Beachler,Martin Snelgrove	10.1109/HCS55958.2022.9895618
HALO: A Flexible and Low Power Processing Fabric for Brain-Computer Interfaces.	Abhishek Bhattacharjee,Rajit Manohar	10.1109/HCS55958.2022.9895612
DOJO: Super-Compute System Scaling for ML Training.	Bill Chang,Rajiv Kurian,Doug Williams,Eric Quinnell	10.1109/HCS55958.2022.9895625
Nvidia Hopper GPU: Scaling Performance.	Jack Choquette	10.1109/HCS55958.2022.9895592
From High-Level Frameworks to custom Silicon with SODA.	Serena Curzel,Nicolas Bohm Agostini,Reece Neff,Ankur Limaye,Jeff Jun Zhang,Vinay Amatya,Marco Minutoli,Vito Giovanni Castellana,Joseph B. Manzano,David Brooks 0001,Gu-Yeon Wei,Fabrizio Ferrandi,Antonino Tumeo	10.1109/HCS55958.2022.9895593
AMD 400G Adaptive SmartNIC SoC: Technology preview.	Jaideep Dastidar,David Riddoch,Jason Moore,Steve Pope,Jim Wesselkamper	10.1109/HCS55958.2022.9895577
NVIDIA ORIN System-On-Chip.	Michael Ditty	10.1109/HCS55958.2022.9895609
Nvidia Grace.	Jonathon Evans	10.1109/HCS55958.2022.9895599
Amber: Coarse-Grained Reconfigurable Array-Based SoC for Dense Linear Algebra Acceleration.	Kathleen Feng,Alex Carsello,Taeyoung Kong,Kalhan Koul,Qiaoyi Liu,Jackson Melchert,Gedeon Nyengele,Maxwell Strange,Keyi Zhang,Ankita Nayak,Jeff Setter,James Thomas 0003,Kavya Sreedhar,Po-Han Chen,Nikhil Bhagdikar,Zachary Myers,Brandon D&apos;Agostino,Pranil Joshi,Stephen Richardson,Rick Bahr,Christopher Torng,Mark Horowitz,Priyanka Raina	10.1109/HCS55958.2022.9895616
Semiconductors Run the World : Hot Chips 2022.	Pat Gelsinger	10.1109/HCS55958.2022.9895614
