Differential Serialization for Optimized SOAP Performance.	Nayef Abu-Ghazaleh,Michael J. Lewis,Madhusudhan Govindaraju	10.1109/HPDC.2004.8
Discouraging Free Riding in a Peer-to-Peer CPU-Sharing Grid.	Nazareno Andrade,Francisco Vilar Brasileiro,Walfredo Cirne,Miranda Mowbray	10.1109/HPDC.2004.9
MPI Ruby with Remote Memory Access.	Christopher C. Aycock	10.1109/HPDC.2004.24
UT Grid: A Comprehensive Campus Cyberinfrastructure.	John R. Boisseau	10.1109/HPDC.2004.39
GATES: A Grid-Based Middleware for Processing Distributed Data Streams.	Liang Chen 0019,Kolagatla Reddy,Gagan Agrawal	10.1109/HPDC.2004.16
Performance and Scalability of a Replica Location Service.	Ann L. Chervenak,Naveen Palavalli,Shishir Bharathi,Carl Kesselman,Robert Schwartzkopf	10.1109/HPDC.2004.27
Automated Cluster-Based Web Service Performance Tuning.	I-Hsin Chung,Jeffrey K. Hollingsworth	10.1109/HPDC.2004.4
Grid Portal Toolkit 3.0 (GridPort).	Maytal Dahan,Mary P. Thomas,Eric Roberts,Akhil Seth,Tomislav Urban,David Walling,John R. Boisseau	10.1109/HPDC.2004.19
Wide-Area Communication for Grids: An Integrated Solution to Connectivity, Performance and Security Problems.	Alexandre Denis 0001,Olivier Aumage,Rutger F. H. Hofman,Kees Verstoep,Thilo Kielmann,Henri E. Bal	10.1109/HPDC.2004.41
FPN: A Distributed Hash Table for Commercial Applications.	Cezary Dubnicki,Cristian Ungureanu,Wojciech Kilian	10.1109/HPDC.2004.14
The Grid2003 Production Grid: Principles and Practice.	Ian T. Foster,Jerry Gieraltowski,Scott Gose,Natalia Maltsev,Edward N. May,Alex Rodriguez,Dinanath Sulakhe,A. Vaniachine,Jim Shank,Saul Youssef,David Adams,Richard Baker 0003,Wensheng Deng,Jason Smith,Dantong Yu,Iosif Legrand,Suresh Singh,Conrad Steenberg,Yang Xia,M. Anzar Afaq,Eileen Berman,James Annis,L. A. T. Bauerdick,Michael Ernst,Ian Fisk,Lisa Giacchetti,Gregory E. Graham,Anne Heavey,Joseph Kaiser,Nickolai Kuropatkin,Ruth Pordes,Vijay Sekhri,John Weigand,Yujun Wu,Keith Baker,Lawrence Sorrillo,John Huth,Matthew Allen,Leigh Grundhoefer,John Hicks,Fred Luehring,Steve Peck,Robert Quick,Stephen C. Simms,George Fekete,Jan vandenBerg,Kihyeon Cho,Kihwan Kwon,Dongchul Son,Hyoungwoo Park,Shane Canon,Keith R. Jackson,David E. Konerding,Jason Lee 0001,Doug Olson,Iwona Sakrejda,Brian Tierney,Mark Green 0001,Russ Miller,James Letts,Terrence Martin,David Bury,Catalin Dumitrescu,Daniel Engh,Robert W. Gardner,Marco Mambelli,Yuri Smirnov,Jens-S. Vöckler,Michael Wilde,Yong Zhao 0009,Xin Zhao,Paul Avery,Richard Cavanaugh,Bockjoo Kim,Craig Prescott,Jorge Luis Rodriguez,Andrew Zahn,Shawn McKee,Christopher T. Jordan,James E. Prewett,Timothy L. Thomas,Horst Severini,Ben Clifford,Ewa Deelman,Larry Flon,Carl Kesselman,Gaurang Mehta,Nosa Olomu,Karan Vahi,Kaushik De,Patrick McGuigan,Mark Sosebee,Dan Bradley,Peter Couvares,Alan DeSmet,Carey Kireyev,Erik Paulson 0001,Alain Roy,Scott Koranda,Brian Moe,Bobby Brown,Paul Sheldon	10.1109/HPDC.2004.36
Privacy-Preserving Data Mining on Data Grids in the Presence of Malicious Participants.	Bobi Gilburd,Assaf Schuster,Ran Wolff 0001	10.1109/HPDC.2004.29
SpiderNet: An Integrated Peer-to-Peer Service Composition Framework.	Xiaohui Gu,Klara Nahrstedt,Bin Yu	10.1109/HPDC.2004.32
Showcasing the Features and Capabilities of NEESgrid: A Grid Based System for the Earthquake Engineering Domain.	Sridhar Gullapalli,Shirley Dyke,Paul Hubbard,Doru Marcusiu,Laura Pearlman,Charles R. Severance	10.1109/HPDC.2004.31
Measuring and Understanding User Comfort With Resource Borrowing.	Ashish Gupta 0003,Bin Lin 0002,Peter A. Dinda	10.1109/HPDC.2004.21
SPURport.	Tomasz Haupt,Anand Kalyanasundaram,Nisreen Ammari,Archana Chilukuri,Maxim Khotournenko	10.1109/HPDC.2004.33
GAIS: Grid Advanced Information Service based on P2P Mechanism.	Wontaek Hong,Minyeol Lim,Eunsung Kim,Jongsuk Lee,Hyoungwoo Park	10.1109/HPDC.2004.15
Building Self-Configuring Services Using Service-Specific Knowledge.	An-Cheng Huang,Peter Steenkiste	10.1109/HPDC.2004.6
Balancing Risk and Reward in a Market-Based Task Service.	David E. Irwin 0001,Laura E. Grit,Jeffrey S. Chase	10.1109/HPDC.2004.5
Optimal Resource-Aware Deployment Planning for Component-Based Distributed Applications.	Tatiana Kichkaylo,Vijay Karamcheti	10.1109/HPDC.2004.25
Utilization of a Local Grid of Mac OS X-Based Computers using Xgrid.	David A. Kramer,Matthew MacInnis	10.1109/HPDC.2004.40
GRASP: A Grid Resource Allocation System based on OGSA.	Oh-Kyoung Kwon,Jaegyoon Hahm,Sangwan Kim,Jongsuk Ruth Lee	10.1109/HPDC.2004.18
Distributed Hybrid Earthquake Engineering Experiments: Experiences with a Ground-Shaking Grid Application.	Laura Pearlman,Carl Kesselman,Sridhar Gullapalli,B. F. Spencer Jr.,Joe Futrelle,Kathleen Ricker,Ian T. Foster,Paul Hubbard,Charles R. Severance	10.1109/HPDC.2004.11
An Empirical Study of the Multiscale Predictability of Network Traffic.	Yi Qiao,Jason A. Skicewicz,Peter A. Dinda	10.1109/HPDC.2004.3
Globus and PlanetLab Resource Management Solutions Compared.	Matei Ripeanu,Mic Bowman,Jeffrey S. Chase,Ian T. Foster,Milan Milenkovic	10.1109/HPDC.2004.17
Performance Evaluation of Rate-Based Join Window Sizing for Asynchronous Data Streams.	Nithya N. Vijayakumar,Beth Plale	10.1109/HPDC.2004.28
Orchestrating and Coordinating Scientific/Engineering Workflows using GridShell.	Edward Walker,Tommy Minyard	10.1109/HPDC.2004.26
WS-ResourceFramework on .NET.	Glenn S. Wasson,Norm Beekwilder,Mark M. Morgan,Marty Humphrey	10.1109/HPDC.2004.42
Gridflow Description, Query, and Execution at SCEC using the SDSC Matrix.	Jonathan Weinberg,Arun Jagatheesan,Allen Ding,Marcio Faerman,Yuanfang Hu	10.1109/HPDC.2004.20
An Approach for Automatic Data Virtualization.	Li Weng,Gagan Agrawal,Ümit V. Çatalyürek,Tahsin M. Kurç,Sivaramakrishnan Narayanan,Joel H. Saltz	10.1109/HPDC.2004.2
Achieving Performance Consistency in Heterogeneous Clusters.	Changxun Wu,Randal C. Burns	10.1109/HPDC.2004.1
Evaluation of Rate-Based Transport Protocols for Lambda-Grids.	Xinran (Ryan) Wu,Andrew A. Chien	10.1109/HPDC.2004.13
Evaluation of Distributed Recovery in Large-Scale Storage Systems.	Qin Xin 0005,Ethan L. Miller,Thomas J. E. Schwarz	10.1109/HPDC.2004.12
Using Passive Traces of Application Traffic in a Network Monitoring System.	Marcia Zangrilli,Bruce Lowekamp	10.1109/HPDC.2004.38
Strategies for Using Additional Resources in Parallel Hash-Based Join Algorithms.	Xi Zhang,Tahsin M. Kurç,Tony Pan,Ümit V. Çatalyürek,Sivaramakrishnan Narayanan,Pete Wyckoff,Joel H. Saltz	10.1109/HPDC.2004.34
Distributed File System Support for Virtual Machines in Grid Computing.	Ming Zhao 0002,Jian Zhang 0005,Renato J. O. Figueiredo	10.1109/HPDC.2004.10
13th International Symposium on High-Performance Distributed Computing (HPDC-13 2004), 4-6 June 2004, Honolulu, Hawaii, USA		
