Global Authentication in an Untrustworthy World.	Martín Abadi,Andrew Birrell,Ilya Mironov,Ted Wobber,Yinglian Xie	
HAT, Not CAP: Towards Highly Available Transactions.	Peter Bailis,Alan D. Fekete,Ali Ghodsi 0002,Joseph M. Hellerstein,Ion Stoica	
Wanted: Systems Abstractions for SDN.	Sapan Bhatia,Andy C. Bavier,Larry L. Peterson	
The von Neumann Architecture Is Due for Retirement.	Aleksander Budzynowski,Gernot Heiser	
Lightweight Snapshots and System-level Backtracking.	Edouard Bugnion,Vitaly Chipounov,George Candea	
Rethinking Network Stack Design with Memory Snapshots.	Michael Chan,Heiner Litz,David R. Cheriton	
Solving the Straggler Problem with Bounded Staleness.	James Cipar,Qirong Ho,Jin Kyu Kim,Seunghak Lee,Gregory R. Ganger,Garth Gibson,Kimberly Keeton,Eric P. Xing	
Operating System Support for Augmented Reality Applications.	Loris D&apos;Antoni,Alan M. Dunn,Suman Jana,Tadayoshi Kohno,Benjamin Livshits,David Molnar,Alexander Moshchuk,Eyal Ofek,Franziska Roesner,T. Scott Saponas,Margus Veanes,Helen J. Wang	
When Cycles Are Cheap, Some Tables Can Be Huge.	Bin Fan,Dong Zhou,Hyeontaek Lim,Michael Kaminsky,David G. Andersen	
Failure Recovery: When the Cure Is Worse Than the Disease.	Zhenyu Guo,Sean McDirmid,Mao Yang,Li Zhuang,Pu Zhang,Yingwei Luo,Tom Bergan,Madan Musuvathi,Zheng Zhang 0001,Lidong Zhou	
Towards Elastic Operating Systems.	Amit Gupta,Ehab Ababneh,Richard Han 0001,Eric Keller	
The Case for Onloading Continuous High-Datarate Perception to the Phone.	Seungyeop Han,Matthai Philipose	
Large-Scale Computation Not at the Cost of Expressiveness.	Sangjin Han,Sylvia Ratnasamy	
Virtualize Storage, Not Disks.	William Jannen,Chia-che Tsai,Donald E. Porter	
Using Dark Fiber to Displace Diesel Generators.	Aman Kansal,Bhuvan Urgaonkar,Sriram Govindan	
The NIC Is the Hypervisor: Bare-Metal Guests in IaaS Clouds.	Jeffrey C. Mogul,Jayaram Mudigonda,Jose Renato Santos,Yoshio Turner	
The Case for Tiny Tasks in Compute Clusters.	Kay Ousterhout,Aurojit Panda,Josh Rosen,Shivaram Venkataraman,Reynold Xin,Sylvia Ratnasamy,Scott Shenker,Ion Stoica	
Arrakis: A Case for the End of the Empire.	Simon Peter 0001,Thomas E. Anderson	
Making Every Bit Count in Wide-Area Analytics.	Ariel Rabkin,Matvey Arye,Siddhartha Sen 0001,Vivek S. Pai,Michael J. Freedman	
Escape Capsule: Explicit State Is Robust and Scalable.	Shriram Rajagopalan,Dan Williams,Hani Jamjoom,Andrew Warfield	
We Need to Talk About NICs.	Pravin Shinde,Antoine Kaufmann,Timothy Roscoe,Stefan Kaestle	
Toward Common Patterns for Distributed, Concurrent, Fault-Tolerant Code.	Ryan Stutsman,John K. Ousterhout	
Unified High-Performance I/O: One Stack to Rule Them All.	Animesh Trivedi,Patrick Stuedi,Bernard Metzler,Roman A. Pletka,Blake G. Fitch,Thomas R. Gross	
-OVERIFY: Optimizing Programs for Fast Verification.	Jonas Wagner,Volodymyr Kuznetsov,George Candea	
Toward Principled Browser Security.	Edward Z. Yang,Deian Stefan,John C. Mitchell,David Mazières,Petr Marchenko,Brad Karp	
Automated Debugging for Arbitrarily Long Executions.	Cristian Zamfir,Baris Kasikci,Johannes Kinder,Edouard Bugnion,George Candea	
QuarkOS: Pushing the Operating Limits of Micro-Powered Sensors.	Pengyu Zhang,Deepak Ganesan,Boyan Lu	
14th Workshop on Hot Topics in Operating Systems, HotOS XIV, Santa Ana Pueblo, New Mexico, USA, May 13-15, 2013	Petros Maniatis	
