TAG: Learning Circuit Spatial Embedding from Layouts.	Keren Zhu 0001,Hao Chen 0059,Walker J. Turner,George F. Kokai,Po-Hsuan Wei,David Z. Pan,Haoxing Ren	10.1145/3508352.3549384
Evaluating the Security of eFPGA-Based Redaction Algorithms.	Amin Rezaei 0001,Raheel Afsharmazayejani,Jordan Maynard	10.1145/3508352.3549425
Quantum Machine Learning Applications in High-Energy Physics.	Andrea Delgado 0002,Kathleen E. Hamilton	10.1145/3508352.3561114
TorchQuantum Case Study for Robust Quantum Circuits.	Hanrui Wang 0002,Zhiding Liang,Jiaqi Gu,Zirui Li,Yongshan Ding 0001,Weiwen Jiang,Yiyu Shi 0001,David Z. Pan,Frederic T. Chong,Song Han 0003	10.1145/3508352.3561118
Inhale: Enabling High-Performance and Energy-Efficient In-SRAM Cryptographic Hash for IoT.	Jingyao Zhang 0002,Elaheh Sadredini	10.1145/3508352.3549381
Numerically-Stable and Highly-Scalable Parallel LU Factorization for Circuit Simulation.	Xiaoming Chen 0003	10.1145/3508352.3549337
All-in-One: A Highly Representative DNN Pruning Framework for Edge Devices with Dynamic Power Management.	Yifan Gong 0004,Zheng Zhan 0001,Pu Zhao 0001,Yushu Wu,Chao Wu,Caiwen Ding,Weiwen Jiang,Minghai Qin,Yanzhi Wang	10.1145/3508352.3549379
HyperEF: Spectral Hypergraph Coarsening by Effective-Resistance Clustering.	Ali Aghdaei,Zhuo Feng	10.1145/3508352.3549438
An MLIR-based Compiler Flow for System-Level Design and Hardware Acceleration.	Nicolas Bohm Agostini,Serena Curzel,Vinay Amatya,Cheng Tan 0002,Marco Minutoli,Vito Giovanni Castellana,Joseph B. Manzano,David R. Kaeli,Antonino Tumeo	10.1145/3508352.3549424
SODA Synthesizer: An Open-Source, Multi-Level, Modular, Extensible Compiler from High-Level Frameworks to Silicon.	Nicolas Bohm Agostini,Ankur Limaye,Marco Minutoli,Vito Giovanni Castellana,Joseph B. Manzano,Antonino Tumeo,Serena Curzel,Fabrizio Ferrandi	10.1145/3508352.3561101
Don&apos;t CWEAT It: Toward CWE Analysis Techniques in Early Stages of Hardware Design.	Baleegh Ahmad,Wei-Kai Liu,Luca Collini,Hammond Pearce,Jason M. Fung,Jonathan Valamehr,Mohammad Bidmeshki,Piotr Sapiecha,Steve Brown,Krishnendu Chakrabarty,Ramesh Karri,Benjamin Tan 0001	10.1145/3508352.3549369
Embracing Graph Neural Networks for Hardware Security.	Lilas Alrahis,Satwik Patnaik,Muhammad Shafique 0001,Ozgur Sinanoglu	10.1145/3508352.3561096
A Novel Semi-Analytical Approach for Fast Electromigration Stress Analysis in Multi-Segment Interconnects.	Olympia Axelou,Nestor E. Evmorfopoulos,George Floros 0002,George I. Stamoulis,Sachin S. Sapatnekar	10.1145/3508352.3549476
Squeezing Accumulators in Binary Neural Networks for Extremely Resource-Constrained Applications.	Azat Azamat,Jaewoo Park,Jongeun Lee	10.1145/3508352.3549418
Pin Accessibility and Routing Congestion Aware DRC Hotspot Prediction Using Graph Neural Network and U-Net.	Kyeonghyeon Baek,Hyunbum Park,Suwan Kim,Kyumyung Choi,Taewhan Kim	10.1145/3508352.3549346
Sensor Security: Current Progress, Research Challenges, and Future Roadmap (Invited Paper).	Anomadarshi Barua,Mohammad Abdullah Al Faruque	10.1145/3508352.3561100
Quantum Machine Learning for Material Synthesis and Hardware Security (Invited Paper).	Collin Beaudoin,Satwik Kundu,Rasit Onur Topaloglu,Swaroop Ghosh	10.1145/3508352.3561115
Observation Point Insertion Using Deep Learning.	Bonita Bhaskaran,Sanmitra Banerjee,Kaushik Narayanun,Shao-Chun Hung,Seyed Nima Mozaffari Mojaveri,Mengyun Liu,Gang Chen,Tung-Che Liang	10.1145/3508352.3561122
Hardware IP Protection against Confidentiality Attacks and Evolving Role of CAD Tool.	Swarup Bhunia,Amitabh Das,Saverio Fazzari,Vivian Kammler,David Kehlet,Jeyavijayan Rajendran,Ankur Srivastava 0001	10.1145/3508352.3561103
AppGNN: Approximation-Aware Functional Reverse Engineering Using Graph Neural Networks.	Tim Bücher,Lilas Alrahis,Guilherme Paim,Sergio Bampi,Ozgur Sinanoglu,Hussam Amrouch	10.1145/3508352.3549471
SpecPart: A Supervised Spectral Framework for Hypergraph Partitioning Solution Improvement.	Ismail Bustany,Andrew B. Kahng,Ioannis Koutis,Bodhisatta Pramanik,Zhiang Wang	10.1145/3508352.3549390
Stochastic Mixed-Signal Circuit Design for In-Sensor Privacy.	Ningyuan Cao,Jianbo Liu,Boyang Cheng,Muya Chang	10.1145/3508352.3561099
Spatz: A Compact Vector Processing Unit for High-Performance and Energy-Efficient Shared-L1 Clusters.	Matheus A. Cavalcante,Domenic Wüthrich,Matteo Perotti,Samuel Riedel,Luca Benini	10.1145/3508352.3549367
Reliable Computing of ReRAM Based Compute-in-Memory Circuits for AI Edge Devices.	Meng-Fan Chang,Je-Ming Hung,Ping-Cheng Chen,Tai-Hao Wen	10.1145/3508352.3561119
Machine Learning for Testing Machine-Learning Hardware: A Virtuous Cycle.	Arjun Chaudhuri,Jonti Talukdar,Krishnendu Chakrabarty	10.1145/3508352.3561121
Obstacle-Avoiding Multiple Redistribution Layer Routing with Irregular Structures.	Yen-Ting Chen,Yao-Wen Chang	10.1145/3508352.3549419
DARL: Distributed Reconfigurable Accelerator for Hyperdimensional Reinforcement Learning.	Hanning Chen,Mariam Issa,Yang Ni,Mohsen Imani	10.1145/3508352.3549437
Romanus: Robust Task Offloading in Modular Multi-Sensor Autonomous Driving Systems.	Luke Chen,Mohanad Odema,Mohammad Abdullah Al Faruque	10.1145/3508352.3549356
Overview of 2022 CAD Contest at ICCAD.	Yu-Guang Chen,Chun-Yao Wang,Tsung-Wei Huang,Takashi Sato	10.1145/3508352.3561106
An Approach to Unlocking Cyclic Logic Locking: LOOPLock 2.0.	Pei-Pei Chen,Xiang-Min Yang,Yi-Ting Li,Yung-Chih Chen,Chun-Yao Wang	10.1145/3508352.3549461
Hidden-ROM: A Compute-in-ROM Architecture to Deploy Large-Scale Neural Networks on Chip with Flexible and Scalable Post-Fabrication Task Transfer Capability.	Yiming Chen,Guodong Yin,Mingyen Lee,Wenjun Tang,Zekun Yang,Yongpan Liu,Huazhong Yang,Xueqing Li	10.1145/3508352.3549335
QCIR: Pattern Matching Based Universal Quantum Circuit Rewriting Framework.	Mingyu Chen 0009,Yu Zhang,Yongshang Li,Zhen Wang,Jun Li,Xiangyang Li	10.1145/3508352.3549405
GraphRC: Accelerating Graph Processing on Dual-Addressing Memory with Vertex Merging.	Wei Cheng,Chun-Feng Wu,Yuan-Hao Chang 0001,Ing-Chao Lin	10.1145/3508352.3549408
Accelerating Fully Homomorphic Encryption by Bridging Modular and Bit-Level Arithmetic.	Eduardo Chielle,Oleg Mazonka,Homer Gamil,Michail Maniatakos	10.1145/3508352.3549415
Automatic Test Configuration and Pattern Generation (ATCPG) for Neuromorphic Chips.	I-Wei Chiu,Xin-Ping Chen,Jennifer Shueh-Inn Hu,James Chien-Mo Li	10.1145/3508352.3549422
2022 CAD Contest Problem A: Learning Arithmetic Operations from Gate-Level Circuit.	Chung-Han Chou,Chih-Jen (Jacky) Hsu,Chi-An (Rocky) Wu,Kuan-Hua Tu	10.1145/3508352.3561107
Reconfigurable Logic for Hardware IP Protection: Opportunities and Challenges.	Luca Collini,Benjamin Tan 0001,Christian Pilato,Ramesh Karri	10.1145/3508352.3561117
Polynomial Formal Verification: Ensuring Correctness under Resource Constraints.	Rolf Drechsler,Alireza Mahzoon	10.1145/3508352.3561104
Tunable Precision Control for Approximate Image Filtering in an In-Memory Architecture with Embedded Neurons.	Ayushi Dube,Ankit Wagle,Gian Singh,Sarma B. K. Vrudhula	10.1145/3508352.3549385
Batch Sequential Black-Box Optimization with Embedding Alignment Cells for Logic Synthesis.	Chang Feng,Wenlong Lyu,Zhitang Chen,Junjie Ye,Mingxuan Yuan,Jianye Hao	10.1145/3508352.3549363
