VGTA: Variation Aware Gate Timing Analysis.	Soroush Abbaspour,Hanif Fatemi,Massoud Pedram	10.1109/ICCD.2005.115
Near-memory Caching for Improved Energy Consumption.	Nevine AbouGhazaleh,Bruce R. Childers,Daniel Mossé,Rami G. Melhem	10.1109/ICCD.2005.79
Layout-Aware RF Circuit Synthesis Driven by Worst Case Parasitic Corners.	Anuradha Agarwal,Ranga Vemuri	10.1109/ICCD.2005.68
X-Routing using Two Manhattan Route Instances.	Seraj Ahmad,Nikhil Jayakumar,Vijay Balasubramanian,Edward Hursey,Sunil P. Khatri,Rabi N. Mahapatra	10.1109/ICCD.2005.117
A Dual-Vt Layout Approach for Statistical Leakage Variability Minimization in Nanometer CMOS.	Maryam Ashouei,Abhijit Chatterjee,Adit D. Singh,Vivek De	10.1109/ICCD.2005.6
Deployment of Better Than Worst-Case Design: Solutions and Needs.	Todd M. Austin,Valeria Bertacco	10.1109/ICCD.2005.43
Challenges in the Formal Verification of Complete State-of-the-Art Processors.	Nathaniel Ayewah,Nikhil Kikkeri,Peter-Michael Seidel	10.1109/ICCD.2005.37
FRAM Memory Technology - Advantages for Low Power, Fast Write, High Endurance Applications.	Rick Bailey,Glen Fox,Jarrod Eliason,Marty Depner,Daesig Kim,Edwin Jabillo,John Groat,John Walbert,Scott R. Summerfelt,K. R. Udayakumar,John Rodriquez,Keith Remack,K. Boku,John Gertas	10.1109/ICCD.2005.60
Novel Low-Overhead Operand Isolation Techniques for Low-Power Datapath Synthesis.	Nilanjan Banerjee,Arijit Raychowdhury,Swarup Bhunia,Hamid Mahmoodi-Meimand,Kaushik Roy 0001	10.1109/ICCD.2005.80
Towards the Formal Verification of Lower System Layers in Automotive Systems.	Sven Beyer,Peter Böhm,Michael Gerke 0002,Mark A. Hillebrand,Thomas In der Rieden,Steffen Knapp,Dirk Leinenbach,Wolfgang J. Paul	10.1109/ICCD.2005.110
Memory Bank Predictors.	Stefan Bieschewski,Joan-Manuel Parcerisa,Antonio González 0001	10.1109/ICCD.2005.73
Incorporating Ef.cient Assertion Checkers into Hardware Emulation.	Marc Boule,Zeljko Zilic	10.1109/ICCD.2005.66
Load-Store Queue Management: an Energy-Efficient Design Based on a State-Filtering Mechanism..	Fernando Castro,Daniel Chaver,Luis Piñuel,Manuel Prieto 0001,Francisco Tirado,Michael C. Huang 0001	10.1109/ICCD.2005.70
