Evaluating Distributed Checkpointing Protocol.	Adnan Agbaria,Ari Freund 0001,Roy Friedman	10.1109/ICDCS.2003.1203475
Weakly-Connected Dominating Sets and Sparse Spanners in Wireless Ad Hoc Networks.	Khaled M. Alzoubi,Peng-Jun Wan,Ophir Frieder	10.1109/ICDCS.2003.1203456
Local-spin Mutual Exclusion Using Fetch-and-\phi Primitives.	James H. Anderson,Yong-Jik Kim	10.1109/ICDCS.2003.1203505
Remote Belief: Preserving Volition for Loosely Coupled Processe.	Nuh Aydin,Paolo A. G. Sivilotti	10.1109/ICDCS.2003.1203493
Pragmatic Type Interoperability.	Sébastien Baehni,Patrick Th. Eugster,Rachid Guerraoui,Philippe Altherr	10.1109/ICDCS.2003.1203490
Rate-monotonic scheduling on uniform multiprocessor.	Sanjoy K. Baruah,Joël Goossens	10.1109/ICDCS.2003.1203485
Efficient Self-stabilizing Algorithms for Tree Network.	Jean R. S. Blair,Fredrik Manne	10.1109/ICDCS.2003.1203448
TCP-PR: TCP for Persistent Packet Reorderin.	Stephan Bohacek,João P. Hespanha,Junsoo Lee,Chansook Lim,Katia Obraczka	10.1109/ICDCS.2003.1203469
A graph-theoretical analysis of multicast authentication.	Aldar C.-F. Chan	10.1109/ICDCS.2003.1203462
Enabling Snap-Stabilizatio.	Alain Cournier,Ajoy Kumar Datta,Franck Petit,Vincent Villain	10.1109/ICDCS.2003.1203447
Updates in Highly Unreliable, Replicated Peer-to-Peer Systems.	Anwitaman Datta,Manfred Hauswirth,Karl Aberer	10.1109/ICDCS.2003.1203454
VirtualWire: A Fault Injection and Analysis Tool for Network Protocols.	Pradipta De,Anindya Neogi,Tzi-cker Chiueh	10.1109/ICDCS.2003.1203468
Scalable Distributed Concurrency Services for Hierarchical Locking.	Nirmit Desai,Frank Mueller 0001	10.1109/ICDCS.2003.1203504
Elastic Vector Time.	Christof Fetzer,Michel Raynal	10.1109/ICDCS.2003.1203477
A Case For Grid Computing On Virtual Machine.	Renato J. O. Figueiredo,Peter A. Dinda,José A. B. Fortes	10.1109/ICDCS.2003.1203506
