Reverse Engineering Web Sales Configurators.	Ebrahim Khalil Abbasi	10.1109/ICSM.2013.101
How We Design Interfaces, and How to Assess It.	Hani Abdeen,Houari A. Sahraoui,Osama Shata	10.1109/ICSM.2013.19
Improving Feature Location by Enhancing Source Code with Stereotypes.	Nouh Alhindawi,Natalia Dragan,Michael L. Collard,Jonathan I. Maletic	10.1109/ICSM.2013.41
An Accurate Stack Memory Abstraction and Symbolic Analysis Framework for Executables.	Kapil Anand,Khaled Elwazeer,Aparna Kotha,Matthew Smithson,Rajeev Barua,Angelos D. Keromytis	10.1109/ICSM.2013.20
E-Xplore: Enterprise API Explorer.	Allahbaksh M. Asadullah,Basavaraju M.,Nikita Jain 0001	10.1109/ICSM.2013.87
LHDiff: A Language-Independent Hybrid Approach for Tracking Source Code Lines.	Muhammad Asaduzzaman,Chanchal K. Roy,Kevin A. Schneider,Massimiliano Di Penta	10.1109/ICSM.2013.34
LHDiff: Tracking Source Code Lines to Support Software Maintenance Activities.	Muhammad Asaduzzaman,Chanchal K. Roy,Kevin A. Schneider,Massimiliano Di Penta	10.1109/ICSM.2013.78
An Empirical Investigation on Documentation Usage Patterns in Maintenance Tasks.	Gabriele Bavota,Gerardo Canfora,Massimiliano Di Penta,Rocco Oliveto,Sebastiano Panichella	10.1109/ICSM.2013.32
The Evolution of Project Inter-dependencies in a Software Ecosystem: The Case of Apache.	Gabriele Bavota,Gerardo Canfora,Massimiliano Di Penta,Rocco Oliveto,Sebastiano Panichella	10.1109/ICSM.2013.39
On the Personality Traits of StackOverflow Users.	Blerina Bazelli,Abram Hindle,Eleni Stroulia	10.1109/ICSM.2013.72
An Empirical Study of Clone Removals.	Saman Bazrafshan,Rainer Koschke	10.1109/ICSM.2013.16
Analysis of Multi-dimensional Code Couplings.	Fabian Beck 0001	10.1109/ICSM.2013.96
Task-Driven Software Summarization.	Dave W. Binkley,Dawn J. Lawrie,Emily Hill 0001,Janet E. Burge,Ian G. Harris,Regina Hebig,Oliver Keszöcze,Karl Reed,John Slankas	10.1109/ICSM.2013.65
TRINITY: An IDE for the Matrix.	Jeroen van den Bos,Tijs van der Storm	10.1109/ICSM.2013.86
ExSchema: Discovering and Maintaining Schemas from Polyglot Persistence Applications.	Juan Carlos Castrejón,Genoveva Vargas-Solar,Christine Collet,Rafael Lozano	10.1109/ICSM.2013.81
srcML: An Infrastructure for the Exploration, Analysis, and Manipulation of Source Code: A Tool Demonstration.	Michael L. Collard,Michael John Decker,Jonathan I. Maletic	10.1109/ICSM.2013.85
An Empirical Illustration to Validate a FLOSS Development Model Using S-Shaped Curves.	Ana Erika Camargo Cruz,Hajimu Iida,Norbert Preining	10.1109/ICSM.2013.74
Enhancing Software Traceability by Automatically Expanding Corpora with Relevant Documentation.	Tathagata Dasgupta,Mark Grechanik,Evan Moritz,Bogdan Dit,Denys Poshyvanyk	10.1109/ICSM.2013.43
Supporting and Accelerating Reproducible Research in Software Maintenance Using TraceLab Component Library.	Bogdan Dit,Evan Moritz,Mario Linares Vásquez,Denys Poshyvanyk	10.1109/ICSM.2013.44
A Study on Developers&apos; Perceptions about Exception Handling Bugs.	Felipe Ebert,Fernando Castor	10.1109/ICSM.2013.69
WSDARWIN: A Decision-Support Tool for Web-Service Evolution.	Marios Fokaefs,Eleni Stroulia	10.1109/ICSM.2013.68
Investigating the Impact of Code Smells on System&apos;s Quality: An Empirical Study on Systems of Different Application Domains.	Francesca Arcelli Fontana,Vincenzo Ferme,Alessandro Marino,Bartosz Walter,Pawel Martenka	10.1109/ICSM.2013.37
Code Smell Detection: Towards a Machine Learning-Based Approach.	Francesca Arcelli Fontana,Marco Zanoni,Alessandro Marino,Mika Mäntylä	10.1109/ICSM.2013.56
Determining &quot;Grim Reaper&quot; Policies to Prevent Languishing Bugs.	Patrick Francis,Laurie A. Williams	10.1109/ICSM.2013.66
Social Activities Rival Patch Submission for Prediction of Developer Initiation in OSS Projects.	Mohammad Gharehyazie,Daryl Posnett,Vladimir Filkov	10.1109/ICSM.2013.45
Understanding Schema Evolution as a Basis for Database Reengineering.	Maxime Gobert 0001,Jerome Maes,Anthony Cleve,Jens H. Weber	10.1109/ICSM.2013.75
How Multiple Developers Affect the Evolution of Code Clones.	Jan Harder	10.1109/ICSM.2013.14
Revealing the Effect of Coding Practices on Software Maintainability.	Péter Hegedüs	10.1109/ICSM.2013.99
Which Feature Location Technique is Better?	Emily Hill 0001,Alberto Bacchelli,Dave W. Binkley,Bogdan Dit,Dawn J. Lawrie,Rocco Oliveto	10.1109/ICSM.2013.59
Differentiating Roles of Program Elements in Action-Oriented Concerns.	Emily Hill 0001,David C. Shepherd,Lori L. Pollock,K. Vijay-Shanker	10.1109/ICSM.2013.51
A Visualization Tool for Reverse-Engineering of Complex Component Applications.	Lukas Holy,Jaroslav Snajberk,Premek Brada,Kamil Jezek	10.1109/ICSM.2013.82
Content Categorization of API Discussions.	Daqing Hou,Lingfeng Mo	10.1109/ICSM.2013.17
Automatic Means of Identifying Evolutionary Events in Software Development.	Siim Karus	10.1109/ICSM.2013.60
eCITY: A Tool to Track Software Structural Changes Using an Evolving City.	Taimur Khan,Henning Barthel,Achim Ebert,Peter Liggesmeyer	10.1109/ICSM.2013.80
Exploring the Limits of Domain Model Recovery.	Paul Klint,Davy Landman,Jurgen J. Vinju	10.1109/ICSM.2013.23
Refactoring Clones: An Optimization Problem.	Giri Panamoottil Krishnan,Nikolaos Tsantalis	10.1109/ICSM.2013.47
Automated S/W Reengineering for Fault-Tolerant and Energy-Efficient Distributed Execution.	Young-Woo Kwon 0001	10.1109/ICSM.2013.100
Reducing the Energy Consumption of Mobile Applications Behind the Scenes.	Young-Woo Kwon 0001,Eli Tilevich	10.1109/ICSM.2013.28
Combining Static and Dynamic Analyses to Reverse-Engineer Scenario Diagrams.	Yvan Labiche,Bojana Kolbah,Hossein Mehrfard	10.1109/ICSM.2013.24
Mining Telecom System Logs to Facilitate Debugging Tasks.	Alf Larsson,Abdelwahab Hamou-Lhadj	10.1109/ICSM.2013.90
Will Fault Localization Work for These Failures? An Automated Approach to Predict Effectiveness of Fault Localization Tools.	Tien-Duy B. Le,David Lo 0001	10.1109/ICSM.2013.42
Theory and Practice, Do They Match? A Case with Spectrum-Based Fault Localization.	Tien-Duy B. Le,Ferdian Thung,David Lo 0001	10.1109/ICSM.2013.52
Multi-abstraction Concern Localization.	Tien-Duy B. Le,Shaowei Wang 0002,David Lo 0001	10.1109/ICSM.2013.48
A Pilot Experiment to Quantify the Effect of Documentation Accuracy on Maintenance Tasks.	Maurizio Leotta,Filippo Ricca,Giuliano Antoniol,Vahid Garousi,Junji Zhi,Günther Ruhe	10.1109/ICSM.2013.64
Identification of Refused Bequest Code Smells.	Elvis Ligu,Alexander Chatzigeorgiou,Theodoros Chaikalis,Nikolaos Ygeionomakis	10.1109/ICSM.2013.55
Multi-objective Optimal Test Suite Computation for Software Product Line Pairwise Testing.	Roberto E. Lopez-Herrejon,Francisco Chicano,Javier Ferrer,Alexander Egyed,Enrique Alba 0001	10.1109/ICSM.2013.58
On Rapid Releases and Software Testing.	Mika Mäntylä,Foutse Khomh,Bram Adams,Emelie Engström,Kai Petersen	10.1109/ICSM.2013.13
Test Case Prioritization for Continuous Regression Testing: An Industrial Case Study.	Dusica Marijan,Arnaud Gotlieb,Sagar Sen	10.1109/ICSM.2013.91
