On the Complexity of QoS-Aware Service Selection Problem.	Faisal N. Abu-Khzam,Cristina Bazgan,Joyce El Haddad,Florian Sikora	10.1007/978-3-662-48616-0_23
Context-Driven Assessment of Provider Reputation in Composite Provision Scenarios.	Lina Barakat,Phillip Taylor,Nathan Griffiths,Simon Miles	10.1007/978-3-662-48616-0_4
A Context-Aware Approach for Personalised and Adaptive QoS Assessments.	Lina Barakat,Adel Taweel,Michael Luck,Simon Miles	10.1007/978-3-662-48616-0_25
Opportunities for Process Improvement: A Cross-Clientele Analysis of Event Data Using Process Mining.	R. P. Jagadeesh Chandra Bose,Avantika Gupta,Deepthi Chander,Ajith Ramanath,Koustuv Dasgupta	10.1007/978-3-662-48616-0_31
Design for Adaptation of Distributed Service-Based Systems.	Antonio Bucchiarone,Martina De Sanctis,Annapaola Marconi,Marco Pistore,Paolo Traverso	10.1007/978-3-662-48616-0_27
Modelling and Optimizing Bandwidth Provision for Interacting Cloud Services.	Chao Chen 0011,Ligang He,Bo Gao 0001,Cheng Chang,Kenli Li 0001,Keqin Li 0001	10.1007/978-3-662-48616-0_19
Supporting Cloud Service Operation Management for Elasticity.	Georgiana Copil,Hong Linh Truong 0001,Schahram Dustdar	10.1007/978-3-662-48616-0_8
Automatic Deployment of Services in the Cloud with Aeolus Blender.	Roberto Di Cosmo,Antoine Eiche,Jacopo Mauro,Stefano Zacchiroli,Gianluigi Zavattaro,Jakub Zwolakowski	10.1007/978-3-662-48616-0_28
Property Preservation in Adaptive Case Management.	Rik Eshuis,Richard Hull 0001,Mengfei Yi	10.1007/978-3-662-48616-0_18
Offering Context-Aware Personalised Services for Mobile Users.	Marie-Christine Fauvet,Sanjay Kamath,Isaac-Bernardo Caicedo-Castro,Pathathai Na-Lumpoon,Ahmed Lbath,Lorraine Goeuriot	10.1007/978-3-662-48616-0_37
Positron: Composing Commitment-Based Protocols.	Scott N. Gerard,Pankaj R. Telang,Anup K. Kalia,Munindar P. Singh	10.1007/978-3-662-48616-0_2
Verification of GSM-Based Artifact-Centric Systems by Predicate Abstraction.	Pavel Gonzalez,Andreas Griesmayer,Alessio Lomuscio	10.1007/978-3-662-48616-0_16
Four-Fold Auto-Scaling on a Contemporary Deployment Platform Using Docker Containers.	Philipp Hoenisch,Ingo Weber,Stefan Schulte 0002,Liming Zhu 0001,Alan D. Fekete	10.1007/978-3-662-48616-0_20
Aggregating Functionality, Use History, and Popularity of APIs to Recommend Mashup Creation.	Aditi Jain,Xumin Liu,Qi Yu 0001	10.1007/978-3-662-48616-0_12
Mining and Querying Process Change Information Based on Change Trees.	Georg Kaes,Stefanie Rinderle-Ma	10.1007/978-3-662-48616-0_17
TRACE: A Dynamic Model of Trust for People-Driven Service Engagements - Combining Trust with Risk, Commitments, and Emotions.	Anup K. Kalia,Pradeep K. Murukannaiah,Munindar P. Singh	10.1007/978-3-662-48616-0_24
Analysis of Timing Constraints in Heterogeneous Middleware Interactions.	Ajay Kattepur,Nikolaos Georgantas,Georgios Bouloukakis,Valérie Issarny	10.1007/978-3-662-48616-0_3
AISLE: Assessment of Provisioned Service Levels in Public IaaS-Based Database Systems.	Jörn Kuhlenkamp,Kevin Rudolph,David Bermbach	10.1007/978-3-662-48616-0_10
CASE: A Platform for Crowdsourcing Based API Search.	Tingting Liang,Liang Chen 0001,Zhining Xie,Wei Yang,Jian Wu 0001	10.1007/978-3-662-48616-0_34
Optimizing Workload Category for Adaptive Workload Prediction in Service Clouds.	Chunhong Liu,Yanlei Shang,Li Duan,Shiping Chen 0001,Chuanchang Liu,Junliang Chen	10.1007/978-3-662-48616-0_6
