Modeling the Communication Performance of the IBM SP2.	Gheith A. Abandah,Edward S. Davidson	10.1109/IPPS.1996.508066
Centre for Development of Advanced Computing: DS-Link over Fiber: A High-Speed Interconnect for Cluster Computing.	Yogindra Abhyankar,Anil Degwekar,Abhay Karandikar	10.1109/IPPS.1996.508103
Practical Algorithms for Selection on Coarse-Grained Parallel Computers.	Ibraheem Al-Furaih,Srinivas Aluru,Sanjay Goil,Sanjay Ranka	10.1109/IPPS.1996.508074
Improving Memory Performance for Indirect Accesses on SIMD Computers.	James D. Allen,David E. Schimmel	10.1109/IPPS.1996.508144
SWEB: Towards a Scalable World Wide Web Server on Multicomputers.	Daniel Andresen,Tao Yang 0009,Vegard Holmedahl,Oscar H. Ibarra	10.1109/IPPS.1996.508191
Dome: Parallel Programming in a Distributed Computing Environment.	Jose Nagib Cotrim Árabe,Adam Beguelin,Bruce Lowekamp,Erik Seligman,Mike Starkey,Peter Stephan	10.1109/IPPS.1996.508061
Implementation and Evaluation of Prefetching in the Intel Paragon Parallel File System.	Meenakshi Arunachalam,Alok N. Choudhary,Brad Rullman	10.1109/IPPS.1996.508111
Adaptive Source Routing in Multistage Interconnection Networks.	Yucel Aydogan,Craig B. Stunkel,Cevdet Aykanat,Bülent Abali	10.1109/IPPS.1996.508067
Practical Parallel Algorithms for Dynamic Data Redistribution, Median Finding, and Selection.	David A. Bader,Joseph F. JáJá	10.1109/IPPS.1996.508072
Parallel Algorithms for Image Enhancement and Segmentation by Region Growing with an Experimental Study.	David A. Bader,Joseph F. JáJá,David Harwood,Larry S. Davis	10.1109/IPPS.1996.508089
Resource Placement in Torus-Based Networks.	Myung M. Bae,Bella Bose	10.1109/IPPS.1996.508077
PACK/UNPACK on Coarse-Grained Distributed Memory Parallel Machines.	Seungjo Bae,Sanjay Ranka	10.1109/IPPS.1996.508076
Complete Parallelization of Computations: Integration of Data Partitioning and Functional Parallelism for Dynamic Data Structures.	Dwip Banerjee,James C. Browne	10.1109/IPPS.1996.508082
Broadcasting Multiple Messages in the Multiport Model.	Amotz Bar-Noy,Ching-Tien Ho	10.1109/IPPS.1996.508148
Benefits of Processor Clustering in Designing Large Parallel Systems: When and How?	Debashis Basak,Dhabaleswar K. Panda 0001,Mohammad Banikazemi	10.1109/IPPS.1996.508071
Parallel Algorithms for Image Processing: Practical Algorithms with Experiments.	Armin Bäumker,Wolfgang Dittrich	10.1109/IPPS.1996.508091
Tulip: A Portable Run-Time System for Object-Parallel Systems.	Peter H. Beckman,Dennis Gannon	10.1109/IPPS.1996.508107
An Experimental Study of Input/Output Characteristics of NASA Earth and Space Sciences Applications.	Michael R. Berry,Tarek A. El-Ghazawi	10.1109/IPPS.1996.508141
Self-Timed Resynchronization: A Post-Optimization for Static Multiprocessor Schedules.	Shuvra S. Bhattacharyya,Sundararajan Sriram,Edward A. Lee	10.1109/IPPS.1996.508058
Categorizing Network Traffic in Update-Based Protocols on Scalable Multiprocessors.	Ricardo Bianchini,Thomas J. LeBlanc,Jack E. Veenstra	10.1109/IPPS.1996.508050
Dag-Consistent Distributed Shared Memory.	Robert D. Blumofe,Matteo Frigo,Christopher F. Joerg,Charles E. Leiserson,Keith H. Randall	10.1109/IPPS.1996.508049
Software Techniques for Improving MPP Bulk-Transfer Performance.	Eric A. Brewer,Paul Gauthier,Armando Fox,Angela Schuett	10.1109/IPPS.1996.508088
The Evolution of a Massively Parallel Vision System for Real-Time Automotive Image Processing.	Alberto Broggi	10.1109/IPPS.1996.508138
Partitionability of the Multistage Interconnection Networks.	Yeimkuan Chang	10.1109/IPPS.1996.508125
Implementation of a SliM Array Processor.	Hyun M. Chang,Myung Hoon Sunwoo,Tai-Hoon Cho	10.1109/IPPS.1996.508146
Distributing Tokens on a Hypercube without Error Accumulation.	Bogdan S. Chlebus,José D. P. Rolim,Giora Slutzki	10.1109/IPPS.1996.508114
Eliminating Stale Data References through Array Data-Flow Analysis.	Lynn Choi,Pen-Chung Yew	10.1109/IPPS.1996.508032
Parallel Implementation of Borvka&apos;s Minimum Spanning Tree Algorithm.	Sun Chung,Anne Condon	10.1109/IPPS.1996.508073
Coping with Sparse Inputs on Enhanced Meshes - Semigroup Computation with COMMON CRCW Buses.	Peter Damaschke	10.1109/IPPS.1996.508131
Analysis of Memory Interference in Buffered Multiprocessor Systems in Presence of Hot Spots and Favorite Memories.	Sajal K. Das 0001,Sanjoy K. Sen	10.1109/IPPS.1996.508070
A Randomized Algorithm for Voronoi Diagram of Line Segments on Coarse-Grained Multiprocessors.	Xiaotie Deng,Binhai Zhu	10.1109/IPPS.1996.508057
An Element-Based Concurrent Partitioner for Unstructured Finite Element Meshes.	Hong Q. Ding,Robert D. Ferraro	10.1109/IPPS.1996.508118
How to Optimize Residual Communications?	Michèle Dion,Cyril Randriamaro,Yves Robert	10.1109/IPPS.1996.508085
Determining Asynchronous Acyclic Pipeline Execution Times.	Val Donaldson,Jeanne Ferrante	10.1109/IPPS.1996.508113
Native ATM Application Programmer Interface Testbed for Cluster-Based Computing.	Patrick W. Dowd,Todd M. Carrozzi,Frank A. Pellegrino,Amy Xin Chen	10.1109/IPPS.1996.508190
Software Support for Virtual Memory-Mapped Communication.	Cezary Dubnicki,Liviu Iftode,Edward W. Felten,Kai Li 0001	10.1109/IPPS.1996.508084
Toward Symbolic Performance Prediction of Parallel Programs.	Thomas Fahringer	10.1109/IPPS.1996.508098
For a Massive Number of Massively Parallel Machines: What are the Target Applications, Who are the Target Users, and What New R&amp;D is Needed to Hit the Target?	William M. Farmer,Richard F. Freund,Mark Furtney,Paul Messina,Lionel M. Ni,Charles L. Seitz,Marc Snir	10.1109/IPPS.1996.10004
The Parallel Break Construct, or How to Kill an Activity Tree.	Yair I. Friedman,Dror G. Feitelson,Iaakov Exman	10.1109/IPPS.1996.508063
Efficient Run-Time Support for Irregular Task Computations with Mixed Granularities.	Cong Fu 0002,Tao Yang 0009	10.1109/IPPS.1996.508154
Simultaneous Compression of Makespan and Number of Processors Using CRP.	Yiqun Ge,David Y. Y. Yun	10.1109/IPPS.1996.508078
A New Technique for 3-D Domain Decomposition on Multicomputers which Reduces Message-Passing.	Joseph Gil,Alan S. Wagner	10.1109/IPPS.1996.508188
Bitonic Sorting on Bene Networks.	Beverly Gocal	10.1109/IPPS.1996.508142
Application Load Imbalance on Parallel Processors.	Vasudha Govindan,Mark A. Franklin	10.1109/IPPS.1996.508189
Routing a Permutation in the Hypercube by Two Sets of Edge-Disjoint Paths.	Qian-Ping Gu,Hisao Tamaki	10.1109/IPPS.1996.508112
2D Object Recognition on a Reconfigurable Mesh.	Concettina Guerra	10.1109/IPPS.1996.508139
Electronics and Telecommunications Research Institute: A Multiprocessor Server with a New Highly Pipelined Bus.	Woo-Jong Hahn,Ando Ki,Kee-Wook Rim,Soo-Won Kim	10.1109/IPPS.1996.508104
On Embedding Various Networks into the Hypercube Using Matrix Transformations.	Mounir Hamdi,Siang W. Song	10.1109/IPPS.1996.508126
A Parallel Algorithm for Text Inference.	Sanda M. Harabagiu,Dan I. Moldovan	10.1109/IPPS.1996.508093
Analysis of the Numerical Effects of Parallelism on a Parallel Genetic Algorithm.	William E. Hart,Scott B. Baden,Richard K. Belew,Scott R. Kohn	10.1109/IPPS.1996.508119
A Partitioning Programming Environment for a Novel Parallel Architecture.	Reiner W. Hartenstein,Jürgen Becker 0001,Michael Herz,Rainer Kress 0002,Ulrich Nageldinger	10.1109/IPPS.1996.508109
A New Approach to Pipeline FFT Processor.	Shousheng He,Mats Torkelson	10.1109/IPPS.1996.508145
ServerNet Deadlock Avoidance and Fractahedral Topologies.	Robert W. Horst	10.1109/IPPS.1996.508069
Tandem Computers Incorporated: Performance Modeling of ServerNetTM Topologies.	Robert W. Horst,Doug Jewett,William J. Watson,L. Young,Dimiter R. Avresky,R. Wilkinson,Chris M. Cunningham	10.1109/IPPS.1996.508105
Optimal Subcube Fault Tolerance in a Circuit-Switched Hypercube.	Baback A. Izadi,Füsun Özgüner	10.1109/IPPS.1996.508127
A Comparative Study of Methods for Time-Deterministic Message Delivery in a Multiprocessor Architecture.	Jan Jonsson,Jonas Vasell	10.1109/IPPS.1996.508086
Converse: An Interoperable Framework for Parallel Programming.	Laxmikant V. Kalé,Milind A. Bhandarkar,Narain Jagathesan,Sanjeev Krishnan,Josh Yelon	10.1109/IPPS.1996.508060
Generating Realignment-Based Communication for HPF Programs.	Tsunehiko Kamachi,Kazuhiro Kusano,Kenji Suehiro,Yoshiki Seo	10.1109/IPPS.1996.508083
Profiling Optimized Code: A Profiling System for an HPF Compiler.	Shaun Kaneshiro,Tatsuya Shindo	10.1109/IPPS.1996.508097
Parallel Multilevel Graph Partitioning.	George Karypis,Vipin Kumar 0001	10.1109/IPPS.1996.508075
Kiloprocessor Extensions to SCI.	Stefanos Kaxiras	10.1109/IPPS.1996.508053
Mapping Linear Recurrences onto Systolic Arrays.	Ladan Kazerouni,Basant Rajan,R. K. Shyamasundar	10.1109/IPPS.1996.508197
A Hierarchical Parallel Processing System for the Multipass-Rendering Method.	Hiroaki Kobayashi,Hitoshi Yamauchi,Yuichiro Toh,Tadao Nakamura	10.1109/IPPS.1996.508040
A Method for Register Allocation to Loops in Multiple Register File Architectures.	David J. Kolson,Alexandru Nicolau,Nikil D. Dutt,Ken Kennedy	10.1109/IPPS.1996.508035
Approximate Compaction and Padded-Sorting on Exclusive Write PRAMs.	Miroslaw Kutylowski,Tomasz Wierzbicki	10.1109/IPPS.1996.508054
The Chessboard Distance Transform and the Medial Axis Transform are Interchangeable.	Yu-Hua Lee,Shi-Jinn Horng	10.1109/IPPS.1996.508090
Some Image Processing Algorithms on a RAP with Wider Bus Networks.	Shung-Shing Lee,Shi-Jinn Horng,Horng-Ren Tsai,Yu-Hua Lee	10.1109/IPPS.1996.508136
Can Multithreaded Programming Save Massively Parallel Computing?	Charles E. Leiserson	10.1109/IPPS.1996.10001
Ocean Circulation on the Intel Paragon: Modeling and Implementation.	Ka-Cheong Leung,Ishfaq Ahmad,Hsiao-Ming Hsu	10.1109/IPPS.1996.508038
Constructing the Spanners of Graphs in Parallel.	Weifa Liang,Richard P. Brent	10.1109/IPPS.1996.508059
