EdgePC: Efficient Deep Learning Analytics for Point Clouds on Edge Devices.	Ziyu Ying 0001,Sandeepa Bhuyan,Yan Kang,Yingtian Zhang,Mahmut T. Kandemir,Chita R. Das	10.1145/3579371.3589113
DRAM Translation Layer: Software-Transparent DRAM Power Savings for Disaggregated Memory.	Wenjing Jin 0001,Wonsuk Jang,Haneul Park,Jongsung Lee 0001,Soosung Kim 0001,Jae W. Lee	10.1145/3579371.3589051
Implicit Memory Tagging: No-Overhead Memory Safety Using Alias-Free Tagged ECC.	Michael B. Sullivan 0001,Mohamed Tarek Ibn Ziad,Aamer Jaleel,Stephen W. Keckler	10.1145/3579371.3589102
Imprecise Store Exceptions.	Siddharth Gupta 0003,Yuanlong Li,Qingxuan Kang,Abhishek Bhattacharjee,Babak Falsafi,Yunho Oh,Mathias Payer	10.1145/3579371.3589087
Enabling High Performance Debugging for Variational Quantum Algorithms using Compressed Sensing.	Tianyi Hao 0003,Kun Liu,Swamit S. Tannu	10.1145/3579371.3589044
OliVe: Accelerating Large Language Models via Hardware-friendly Outlier-Victim Pair Quantization.	Cong Guo 0003,Jiaming Tang,Weiming Hu,Jingwen Leng,Chen Zhang 0001,Fan Yang 0024,Yunxin Liu,Minyi Guo,Yuhao Zhu 0001	10.1145/3579371.3589038
SHARP: A Short-Word Hierarchical Accelerator for Robust and Practical Fully Homomorphic Encryption.	Jongmin Kim 0007,Sangpyo Kim,Jaewan Choi,Jaiyoung Park,Donghwan Kim,Jung Ho Ahn	10.1145/3579371.3589053
Understanding and Mitigating Hardware Failures in Deep Learning Training Systems.	Yi He 0010,Mike Hutton,Steven Chan,Robert De Gruijl,Rama Govindaraju,Nishant Patil,Yanjing Li	10.1145/3579371.3589105
RAELLA: Reforming the Arithmetic for Efficient, Low-Resolution, and Low-Loss Analog PIM: No Retraining Required!	Tanner Andrulis,Joel S. Emer,Vivienne Sze	10.1145/3579371.3589062
K-D Bonsai: ISA-Extensions to Compress K-D Trees for Autonomous Driving Tasks.	Pedro Henrique Exenberger Becker,José-María Arnau,Antonio González 0001	10.1145/3579371.3589055
Programmable Olfactory Computing.	Nathaniel Bleier,Abigail Wezelis,Lav Varshney,Rakesh Kumar 0002	10.1145/3579371.3589061
F4T: A Fast and Flexible FPGA-based Full-stack TCP Acceleration Framework.	Junehyuk Boo,Yujin Chung,Eunjin Baek,Seongmin Na,Changsu Kim 0004,Jangwoo Kim	10.1145/3579371.3589090
Inter-layer Scheduling Space Definition and Exploration for Tiled Accelerators.	Jingwei Cai,Yuchen Wei,Zuotong Wu,Sen Peng,Kaisheng Ma	10.1145/3579371.3589048
MetaNMP: Leveraging Cartesian-Like Product to Accelerate HGNNs with Near-Memory Processing.	Dan Chen,Haiheng He,Hai Jin 0001,Long Zheng 0003,Yu Huang 0013,Xinyang Shen,Xiaofei Liao	10.1145/3579371.3589091
Orinoco: Ordered Issue and Unordered Commit with Non-Collapsible Queues.	Dibei Chen,Tairan Zhang,Yi Huang,Jianfeng Zhu 0001,Yang Liu,Pengfei Gou,Chunyang Feng,Binghua Li,Shaojun Wei,Leibo Liu	10.1145/3579371.3589046
Write-Light Cache for Energy Harvesting Systems.	Jongouk Choi,Jianping Zeng 0001,Dongyoon Lee,Changwoo Min,Changhee Jung	10.1145/3579371.3589098
Metior: A Comprehensive Model to Evaluate Obfuscating Side-Channel Defense Schemes.	Peter W. Deutsch,Weon Taek Na,Thomas Bourgeat,Joel S. Emer,Mengjia Yan 0001	10.1145/3579371.3589073
Spy in the GPU-box: Covert and Side Channel Attacks on Multi-GPU Systems.	Sankha Baran Dutta,Hoda Naghibijouybari,Arjun Gupta,Nael B. Abu-Ghazaleh,Andres Marquez,Kevin J. Barker	10.1145/3579371.3589080
TaskFusion: An Efficient Transfer Learning Architecture with Dual Delta Sparsity for Multi-Task Natural Language Processing.	Zichen Fan,Qirui Zhang 0001,Pierre Abillama,Sara Shoouri,Changwoo Lee,David T. Blaauw,Hun-Seok Kim,Dennis Sylvester	10.1145/3579371.3589040
ISA-Grid: Architecture of Fine-grained Privilege Control for Instructions and Registers.	Shulin Fan,Zhichao Hua 0001,Yubin Xia,Haibo Chen 0001,Binyu Zang	10.1145/3579371.3589050
