Defect-based RF testing using a new catastrophic fault model.	Erkan Acar,Sule Ozev	10.1109/TEST.2005.1584001
Parallel, multi-DUT testing in an open architecture test system.	Toshiaki Adachi,Ankan K. Pramanick,Mark Elston	10.1109/TEST.2005.1584053
Enhanced launch-off-capture transition fault testing.	Nisar Ahmed,Mohammad Tehranipoor,C. P. Ravikumar	10.1109/TEST.2005.1583982
A scalable test strategy for network-on-chip routers.	Alexandre M. Amory,Eduardo Wenzel Brião,Érika F. Cota,Marcelo Lubaszewski,Fernando Gehm Moraes	10.1109/TEST.2005.1584020
Analysis of error-masking and X-masking probabilities for convolutional compactors.	Masayuki Arai,Satoshi Fukumoto,Kazuhiko Iwasaki	10.1109/TEST.2005.1584017
Lowering the cost of test with a scalable ATE custom processor and timing IC containing 400 high-linearity timing verniers.	Brian Arkin	10.1109/TEST.2005.1584052
A structured approach for the systematic test of embedded automotive communication systems.	Eric Armengaud,Florian Rothensteiner,Andreas Steininger,Roman Pallierer,Martin Horauer,Martin Zauner	10.1109/TEST.2005.1583956
Evaluating ATE-equipment for volume diagnosis.	Ralf Arnold,Andreas Leininger	10.1109/TEST.2005.1584073
Technique to improve the performance of time-interleaved A-D converters.	Koji Asami	10.1109/TEST.2005.1584049
Remote boundary-scan system test control for the ATCA standard.	David Bäckström,Gunnar Carlsson,Erik Larsson	10.1109/TEST.2005.1584042
Progressive random access scan: a simultaneous solution to test power, test data volume and test time.	Dong Hyun Baik,Kewal K. Saluja	10.1109/TEST.2005.1583994
The final D-frontier: should DFT be outsourced?	Luis Basto	10.1109/TEST.2005.1584131
March AB, March AB1: new March tests for unlinked dynamic memory faults.	Alfredo Benso,Alberto Bosio,Stefano Di Carlo,Giorgio Di Natale,Paolo Prinetto	10.1109/TEST.2005.1584047
Reconfigurable systems self-healing using mobile hardware agents.	Alfredo Benso,Alessandro Cilardo,Nicola Mazzocca,Liviu Miclea,Paolo Prinetto,Szilárd Enyedi	10.1109/TEST.2005.1584007
Production test enhancement techniques for MB-OFDM ultra-wide band (UWB) devices: EVM and CCDF.	Soumendu Bhattacharya,Rajarajan Senguttuvan,Abhijit Chatterjee	10.1109/TEST.2005.1583981
Programmable memory BIST.	Slimane Boutobza,Michael Nicolaidis,Kheiredine M. Lamara,Andrea Costa	10.1109/TEST.2005.1584083
A comprehensive production test solution for 1.5Gb/s and 3Gb/s serial-ATA - based on AWG and undersampling techniques.	Yi Cai,Amit Bhattacharyya,Joe Martone,Anant Verma,William Burchanowski	10.1109/TEST.2005.1584026
A test case for 3Gbps serial attached SCSI (SAS).	Yi Cai,Liming Fang,Robert Ratemo,J. Liu,K. Gross,Michael Kozma	10.1109/TEST.2005.1584027
Business constraints drive test decisions planning, partnerships and success.	Michael Campbell	10.1109/TEST.2005.1584106
How are we going to test SoCs on a board?: the users viewpoint.	Gunnar Carlsson	10.1109/TEST.2005.1584095
How are we going to test socs on a board? the users viewpoint.	Gunnar Carlsson	10.1109/TEST.2005.1584096
A test point selection method for data converters using Rademacher functions and wavelet transforms.	Chandra Carter,Simon S. Ang	10.1109/TEST.2005.1584087
Test connections - tying application to process.	John M. Carulli Jr.,Thomas J. Anderson	10.1109/TEST.2005.1584030
Microprocessor silicon debug based on failure propagation tracing.	Olivier Caty,Peter Dahlgren,Ismet Bayraktaroglu	10.1109/TEST.2005.1583986
Panel discussion for &quot;have we overcome the challenges associated with SoC and multi-core testing?&quot;.	Nathan Chelstrom	10.1109/TEST.2005.1584117
Diagnosis framework for locating failed segments of path delay faults.	Ying-Yen Chen,Min-Pin Kuo,Jing-Jia Liou	10.1109/TEST.2005.1583997
Comparative study of CA with phase shifters and GLFSRs.	S. Chidambaram,Dimitrios Kagaris,Dhiraj K. Pradhan	10.1109/TEST.2005.1584058
Gate exhaustive testing.	Kyoung Youn Cho,Subhasish Mitra,Edward J. McCluskey	10.1109/TEST.2005.1584040
A new approach for massive parallel scan design.	Woo Cheol Chung,Dong Sam Ha	10.1109/TEST.2005.1584010
Design and analysis of multiple weight linear compactors of responses containing unknown values.	Thomas Clouqueur,Kamran Zarrineh,Kewal K. Saluja,Hideo Fujiwara	10.1109/TEST.2005.1584077
How are we going to test SoC&apos;s on a PCB?	Peter Collins	10.1109/TEST.2005.1584097
A transparent solution for providing remote wired or wireless communication to board and system level boundary-scan architectures.	Peter Collins,Ilka Reis,Mikko Simonen,Marc van Houcke	10.1109/TEST.2005.1583957
A practical perspective on reducing ASIC NTFs.	Zoe Conroy,Geoff Richmond,Xinli Gu,Bill Eklow	10.1109/TEST.2005.1583992
Needs fabless yield ramp foundry partnership to be most successful.	Bruce Cory	10.1109/TEST.2005.1584127
Variance reduction and outliers: statistical analysis of semiconductor test data.	W. Robert Daasch,Robert Madge	10.1109/TEST.2005.1583988
Data-driven models for statistical testing: measurements, estimates and residuals.	W. Robert Daasch,Robert Madge	10.1109/TEST.2005.1583989
Testing and debugging delay faults in dynamic circuits.	Ramyanshu Datta,Sani R. Nassif,Robert K. Montoye,Jacob A. Abraham	10.1109/TEST.2005.1583966
Understanding NTF components from the field.	Scott Davidson	10.1109/TEST.2005.1583991
The ITC test compression shootout.	Scott Davidson	10.1109/TEST.2005.1584110
Methods for improving transition delay fault coverage using broadside tests.	Narendra Devta-Prasanna,Arun Gunda,P. Krishnamurthy,Sudhakar M. Reddy,Irith Pomeranz	10.1109/TEST.2005.1583983
Business constraints drive test decisions.	Paul Domino	10.1109/TEST.2005.1584107
