Analyzing Log Analysis: An Empirical Study of User Log Mining.	Sara Alspaugh,Bei Di Chen,Jessica Lin 0003,Archana Ganapathi,Marti A. Hearst,Randy H. Katz	
Formalising Configuration Languages: Why is this Important in Practice?	Paul Anderson 0003,Herry Herry	
Demand-Provisioned Linux Containers for Private Network Access.	Patrick T. Cable II	
Linux NFSv4.1 Performance Under a Microscope.	Ming Chen 0013,Dean Hildebrand,Geoff Kuenning,Soujanya Shankaranarayana,Vasily Tarasov,Arun O. Vasudevan,Erez Zadok,Ksenia Zakirova	
HotRestore: A Fast Restore System for Virtual Machine Cluster.	Lei Cui 0003,Jianxin Li 0002,Tianyu Wo,Bo Li 0005,Renyu Yang,Yinglie Cao,Jinpeng Huai	
Realtime High-Speed Network Traffic Monitoring Using ntopng.	Luca Deri,Maurizio Martinelli,Alfredo Cardigliano	
An Administrator&apos;s Guide to Internet Password Research.	Dinei Florêncio,Cormac Herley,Paul C. van Oorschot	
An Investigation of Cultural and Organizational Impacts on EKR Use and EKR Use Outcomes Among System Administrators at NASA.	Nicole Forsgren,E. Branson Matheson III	
The Truth About MapReduce Performance on SSDs.	Karthik Kambatla,Yanpei Chen	
Time-Synchronized Visualization of Arbitrary Data Streams for Real-Time Monitoring and Historical Analysis.	Paul Z. Kolano	
Virtual Interfaces for Exploration of Heterogeneous &amp; Cloud Computing Architectures.	Hal Martin,Wayne G. Lutters	
Pedagogical Framework and Network Laboratory Management Tool for Practical Network Administration Education.	Zahid Nawaz	
ParaSwift: File I/O Trace Modeling for the Future.	Rukma Talwadker,Kaladhar Voruganti	
Compiling Abstract Specifications into Concrete Systems - Bringing Order to the Cloud.	Ian Unruh,Alexandru G. Bardas,Rui Zhuang,Xinming Ou,Scott A. DeLoach	
Towards Detecting Target Link Flooding Attack.	Lei Xue 0001,Xiapu Luo,Edmond W. W. Chan,Xian Zhan	
Automatic and Dynamic Configuration of Data Compression for Web Servers.	Eyal Zohar,Yuval Cassuto	
28th Large Installation System Administration Conference, LISA &apos;14, Seattle, WA, USA, November 9-14, 2014.	Nicole Forsgren Velasquez	
