Network file for ISDN.	Ryoichi Arai,Kiyoshi Itao	10.1109/MASS.1990.113586
Development of OmniServer.	David A. Arneson	10.1109/MASS.1990.113575
The importance of metadata in mass-storage systems.	Robert F. Bedoll,Conrad E. Kimball	10.1109/MASS.1990.113579
Searching for a Unix mass storage system for a supercomputer environment.	C. Bonifas	10.1109/MASS.1990.113583
User and administrative interfaces for a mass storage system.	Paul Buerger	10.1109/MASS.1990.113573
Reengineering the Los Alamos common file system.	Ronald D. Christman,Danny P. Cook,Christina W. Mercier	10.1109/MASS.1990.113581
Mass storage system advances at Los Alamos.	Bill Collins,Christina W. Mercier,Tom Stup	10.1109/MASS.1990.113572
A high capacity, high performance, small form factor magnetic tape storage system.	William D. Doyle	10.1109/MASS.1990.113587
Developments of R-DAT data recorders.	Robert Finger,T. Nakanishi	10.1109/MASS.1990.113565
The Livermore distributed storage system: implementation and experiences.	Joy Foglesong,George Richmond,Loellyn Cassell,Carole B. Hogan,John Kordas,Michael Nemanic	10.1109/MASS.1990.113563
Overcoming Unix kernel deficiencies in a portable, distributed storage system.	Mark R. Gary	10.1109/MASS.1990.113584
Automating the data center operation: &apos;Do we have a choice?&apos; &apos;Can we manage it effectively?&apos;.	Larry Hendershot	10.1109/MASS.1990.113574
Magnetic tape technology in the 1990s.	Harry C. Hinz	10.1109/MASS.1990.113566
The Livermore distributed storage system: requirements and overview.	Carole B. Hogan,Loellyn Cassell,Joy Foglesong,John Kordas,Michael Nemanic,George Richmond	10.1109/MASS.1990.113562
A standard method for creating self-defining data structures for information archive and transfer.	John A. Johnson,Fred C. Billingsley	10.1109/MASS.1990.113564
Data catalogs for archive systems.	Margaret A. Johnson,Margaret Cribbs	10.1109/MASS.1990.113577
An architecture for a transparent networked mass storage system.	Gregory G. Kenley	10.1109/MASS.1990.113588
Storage management issues for Cray Research.	Thomas W. Lanzatella,Paul G. Rutherford	10.1109/MASS.1990.113591
Magnetic tape recording: archival considerations.	John C. Mallinson	10.1109/MASS.1990.113570
DataTree and UniTree: software for file and storage management.	Fred McClain	10.1109/MASS.1990.113582
Early experience with mass storage on a Unix-based supercomputer.	John Merrill,Erich Thanhardt	10.1109/MASS.1990.113580
Product requirements by the reference model: a case study.	Michael S. Milillo	10.1109/MASS.1990.113589
Review of IEEE-CS MSS reference model.	Stephen W. Miller	10.1109/MASS.1990.113561
A 1990s solution to the crisis in mass storage.	Ernie Ohrenstein,Chuck Masters	10.1109/MASS.1990.113592
Integration of the optical storage processor and the DBC/1012 database computer.	Nancy C. Ramsay	10.1109/MASS.1990.113576
Automated cartridge system library server.	Dennis Reed,Gary Mueller	10.1109/MASS.1990.113578
A mass storage subsystem using ANSI X3B6 ID-1 recorders.	Harriss Robinson	10.1109/MASS.1990.113567
Applying semantic data modeling techniques to large mass storage system designs.	Larry H. Roelofs,William J. Campbell	10.1109/MASS.1990.113571
Impact of HPPI and fibre channel standards on data delivery.	P. Savage	10.1109/MASS.1990.113593
A distributed file and tape management system for the LEP experiments at CERN.	Jamie Shiers	10.1109/MASS.1990.113590
Hiding mass storage under Unix: NASA&apos;s MSS-II architecture.	David Tweten	10.1109/MASS.1990.113585
Multi-terabyte automated mass storage.	Gerald J. Wade	10.1109/MASS.1990.113569
A survey of DCRSi and D-2 technology.	Tracy G. Wood	10.1109/MASS.1990.113568
Tenth IEEE Symposium on Mass Storage Systems, MSS 1990: Crisis in Mass Storage, Monterey, CA, USA, May 7-10, 1990		
