A Performance Analysis of the iSCSI Protocol.	Stephen Aiken,Dirk Grunwald,Andrew R. Pleszkun,Jesse Willek	10.1109/MASS.2003.1194849
NSM: A Distributed Storage Architecture for Data-Intensive Applications.	Zeyad Ali,Qutaibah M. Malluhi	10.1109/MASS.2003.1194842
A Centralized Data Access Model for Grid Computing.	Phil Andrews,Tom Sherwin,Bryan Banister	10.1109/MASS.2003.1194864
Towards an Object Stor.	Alain Azagury,Vladimir Dreizin,Michael Factor,Ealan Henis,Dalit Naor,Noam Rinetzky,Ohad Rodeh,Julian Satran,Ami Tavory,Lena Yerushalmi	10.1109/MASS.2003.1194853
The Fermilab Data Storage Infrastructure.	Jon Bakken,Eileen Berman,Chih-Hao Huang,Alexander Moibenko,Donald Petravick,Michael Zalokar	10.1109/MASS.2003.1194845
Views, Objects, and Persistence for Accessing a High Volume Global Data Set.	Richard T. Baldwi	10.1109/MASS.2003.1194840
Efficient Metadata Management in Large Distributed Storage Systems.	Scott A. Brandt,Ethan L. Miller,Darrell D. E. Long,Lan Xue	10.1109/MASS.2003.1194865
A Scalable Architecture for Clustered Network Attached Storage.	Jonathan D. Bright,John A. Chandy	10.1109/MASS.2003.1194857
Software-Based Erasure Codes for Scalable Distributed Storage.	Joseph A. Cooley,Jeremy L. Mineweaser,Leslie D. Servi,Eushiuan T. Tsung	10.1109/MASS.2003.1194852
Archive Management: The Missing Component.	Howard J. Diamond,John J. Bates,David M. Clark,Robert L. Mairs	10.1109/MASS.2003.1194834
High Bandwidth Scientific Data Management Using Storage Area Networking: Lessons Learned at the Starfire Optical Range.	Terry S. Duncan,Michael S. Sichler	10.1109/MASS.2003.1194846
Storage Devices, Local File System and Crossbar Network File System Characteristics, and 1 Terabyte File IO Benchmark on the &quot;Numerical Simulator III&quot; .	Naoyuki Fujita,Hirofumi Ookawa	10.1109/MASS.2003.1194839
Design and Implementation of a Block Storage Multi-Protocol Converter.	Irina Gerasimov,Alexey Zhuravlev,Mikhail Pershin,Dennis V. Gerasimov	10.1109/MASS.2003.1194855
NCDC the &quot;One Stop Shop&quot; for All WSR-88D Level II Data Service.	Stephen A. Del Greco	10.1109/MASS.2003.1194847
