Model-Driven Trace Diagnostics for Pattern-based Temporal Specifications.	Wei Dou 0001,Domenico Bianculli,Lionel C. Briand	10.1145/3239372.3239396
Slicing UML-based Models of Real-time Embedded Systems.	Reza Ahmadi,Ernesto Posse,Juergen Dingel	10.1145/3239372.3239407
Evolutionary Algorithm for Bug Localization in the Reconfigurations of Models at Runtime.	Lorena Arcega,Jaime Font,Carlos Cetina	10.1145/3239372.3239392
A Decade of Software Design and Modeling: A Survey to Uncover Trends of the Practice.	Omar Badreddin,Rahad Khandoker,Andrew Forward,Omar Masmali,Timothy C. Lethbridge	10.1145/3239372.3239389
Measures to report the Location Problem of Model Fragment Location.	Manuel Ballarín,Ana Cristina Marcén,Vicente Pelechano,Carlos Cetina	10.1145/3239372.3239397
Extending Complex Event Processing to Graph-structured Information.	Gala Barquero,Loli Burgueño,Javier Troya,Antonio Vallecillo	10.1145/3239372.3239402
Unified LTL Verification and Embedded Execution of UML Models.	Valentin Besnard,Matthias Brun 0001,Frédéric Jouault,Ciprian Teodorov,Philippe Dhaussy	10.1145/3239372.3239395
Expressive and Efficient Model Transformation with an Internal DSL of Xtend.	Artur Boronat	10.1145/3239372.3239386
A Feature-based Survey of Model View Approaches.	Hugo Bruneliere,Erik Burger,Jordi Cabot,Manuel Wimmer	10.1145/3239372.3242895
Towards Scalable Model Views on Heterogeneous Model Resources.	Hugo Bruneliere,Florent Marchand de Kerchove,Gwendal Daniel,Jordi Cabot	10.1145/3239372.3239408
A Model-Driven Solution to Support Smart Mobility Planning.	Antonio Bucchiarone,Antonio Cicchetti	10.1145/3239372.3239374
Expressing Confidence in Models and in Model Transformation Elements.	Loli Burgueño,Manuel F. Bertoa,Nathalie Moreno,Antonio Vallecillo	10.1145/3239372.3239394
Digital Behavioral Twins for Safe Connected Cars.	Ximing Chen,Eunsuk Kang,Shinichi Shiraishi,Victor M. Preciado,Zhihao Jiang	10.1145/3239372.3239401
Hybrid Co-simulation: It&apos;s About Time.	Fabio Cremona,Marten Lohstroh,David Broman,Edward A. Lee,Michael Masin,Stavros Tripakis	10.1145/3239372.3242896
Assurance via model transformations and their hierarchical refinement.	Zinovy Diskin,Tom Maibaum,Alan Wassyng,Stephen Wynn-Williams,Mark Lawford	10.1145/3239372.3239413
From Deployment to Platform Exploration: Automatic Synthesis of Distributed Automotive Hardware Architectures.	Johannes Eder,Andreas Bayha,Sebastian Voss,Alexandru Ipatiov,Maged Khalil	10.1145/3239372.3239385
Enabling Model Testing of Cyber-Physical Systems.	Carlos A. González,Mojtaba Varmazyar,Shiva Nejati,Lionel C. Briand,Yago Isasi	10.1145/3239372.3239409
On the Quest for Flexible Modelling.	Esther Guerra,Juan de Lara	10.1145/3239372.3239376
Improving the Developer Experience with a Low-Code Process Modelling Language.	Henrique O. Henriques,Hugo Lourenço,Vasco Amaral 0001,Miguel Goulão	10.1145/3239372.3239387
Refactoring Architecture Models for Compliance with Custom Requirements.	Ta&apos;id Holmes,Uwe Zdun	10.1145/3239372.3239379
Model-Based Software Engineering: A Multiple-Case Study on Challenges and Development Efforts.	Rodi Jolak,Truong Ho-Quang,Michel R. V. Chaudron,Ramon R. H. Schiffelers	10.1145/3239372.3239404
From (Imperfect) Object Diagrams to (Imperfect) Class Diagrams: New Ideas and Vision Paper.	Andreas Kästner,Martin Gogolla,Bran Selic	10.1145/3239372.3239381
On Computing Instructions to Repair Failed Model Refinements.	Oliver Kautz,Bernhard Rumpe	10.1145/3239372.3239384
Integrating the Designer in-the-loop for Metamodel/Model Co-Evolution via Interactive Computational Search.	Wael Kessentini,Manuel Wimmer,Houari A. Sahraoui	10.1145/3239372.3239375
Change Propagation-based and Composition-based Co-evolution of Transformations with Evolving Metamodels.	Djamel Eddine Khelladi,Roland Kretschmer,Alexander Egyed	10.1145/3239372.3239380
Dissimilarity Measures for Clustering Space Mission Architectures.	Cody Kinneer,Sebastian J. I. Herzig	10.1145/3239372.3239390
Exploring Potency.	Thomas Kühne 0001	10.1145/3239372.3239411
Highly-Optimizing and Multi-Target Compiler for Embedded System Models: C++ Compiler Toolchain for the Component and Connector Language EmbeddedMontiArc.	Evgeny Kusmenko,Bernhard Rumpe,Sascha Schneiders,Michael von Wenckstern	10.1145/3239372.3239388
Model Transformation Product Lines.	Juan de Lara,Esther Guerra,Marsha Chechik,Rick Salay	10.1145/3239372.3239377
