Data-driven equivalence checking.	Rahul Sharma 0001,Eric Schkufza,Berkeley R. Churchill,Alex Aiken	10.1145/2509136.2509509
Targeted and depth-first exploration for systematic testing of android apps.	Tanzirul Azim,Iulian Neamtiu	10.1145/2509136.2509549
Class hierarchy complementation: soundly completing a partial type graph.	George Balatsouras,Yannis Smaragdakis	10.1145/2509136.2509530
On-the-fly detection of instability problems in floating-point program execution.	Tao Bao,Xiangyu Zhang 0001	10.1145/2509136.2509526
Input-covering schedules for multithreaded programs.	Tom Bergan,Luis Ceze,Dan Grossman	10.1145/2509136.2509508
Combining concern input with program analysis for bloat detection.	Suparna Bhattacharya,Kanchi Gopinath,Mangala Gowri Nanda	10.1145/2509136.2509522
Bottle graphs: visualizing scalability bottlenecks in multi-threaded applications.	Kristof Du Bois,Jennifer B. Sartor,Stijn Eyerman,Lieven Eeckhout	10.1145/2509136.2509529
Storage strategies for collections in dynamically typed languages.	Carl Friedrich Bolz,Lukas Diekmann,Laurence Tratt	10.1145/2509136.2509531
OCTET: capturing and controlling cross-thread dependences efficiently.	Michael D. Bond,Milind Kulkarni 0001,Man Cao,Minjia Zhang,Meisam Fathi Salmi,Swarnendu Biswas,Aritra Sengupta,Jipeng Huang	10.1145/2509136.2509519
Verifying quantitative reliability for programs that execute on unreliable hardware.	Michael Carbin,Sasa Misailovic,Martin C. Rinard	10.1145/2509136.2509546
Guided GUI testing of android apps with minimal restart and approximate learning.	Wontae Choi,George C. Necula,Koushik Sen	10.1145/2509136.2509552
Barrier invariants: a shared state abstraction for the analysis of data-dependent GPU kernels.	Nathan Chong,Alastair F. Donaldson,Paul H. J. Kelly,Jeroen Ketema,Shaz Qadeer	10.1145/2509136.2509517
Fully concurrent garbage collection of actors on many-core machines.	Sylvan Clebsch,Sophia Drossopoulou	10.1145/2509136.2509557
Bounded partial-order reduction.	Katherine E. Coons,Madan Musuvathi,Kathryn S. McKinley	10.1145/2509136.2509556
Ball-Larus path profiling across multiple loop iterations.	Daniele Cono D&apos;Elia,Camil Demetrescu	10.1145/2509136.2509521
Ironclad C++: a library-augmented type-safe subset of c++.	Christian DeLozier,Richard A. Eisenberg,Santosh Nagarakatte,Peter-Michael Osera,Milo M. K. Martin,Steve Zdancewic	10.1145/2509136.2509550
Efficient concurrency-bug detection across inputs.	Dongdong Deng,Wei Zhang 0022,Shan Lu 0001	10.1145/2509136.2509539
Inductive invariant generation via abductive inference.	Isil Dillig,Thomas Dillig,Boyang Li 0002,Kenneth L. McMillan	10.1145/2509136.2509511
Option contracts.	Christos Dimoulas,Robert Bruce Findler,Matthias Felleisen	10.1145/2509136.2509548
Semi-automatic rename refactoring for JavaScript.	Asger Feldthaus,Anders Møller	10.1145/2509136.2509520
Forsaking inheritance: supercharged delegation in DelphJ.	Prodromos Gerakios,Aggelos Biboudis,Yannis Smaragdakis	10.1145/2509136.2509535
River trail: a path to parallelism in JavaScript.	Stephan Herhut,Richard L. Hudson,Tatiana Shpeisman,Jaswanth Sreeram	10.1145/2509136.2509516
Do developers benefit from generic types?: an empirical comparison of generic and raw types in java.	Michael Hoppe,Stefan Hanenberg	10.1145/2509136.2509528
Efficient context sensitivity for dynamic analyses via calling context uptrees and customized memory management.	Jipeng Huang,Michael D. Bond	10.1145/2509136.2509510
