Efficient and Scalable Graph Pattern Mining on GPUs.	Xuhao Chen 0001,Arvind	
Debugging the OmniTable Way.	Andrew Quinn 0001,Jason Flinn,Michael J. Cafarella,Baris Kasikci	
Carbink: Fault-Tolerant Far Memory.	Yang Zhou 0008,Hassan M. G. Wassel,Sihang Liu 0001,Jiaqi Gao,James Mickens,Minlan Yu,Chris Kennelly,Paul Turner,David E. Culler,Henry M. Levy,Amin Vahdat	
Automatic Reliability Testing For Cluster Management Controllers.	Xudong Sun 0013,Wenqing Luo,Jiawei Tyler Gu,Aishwarya Ganesan,Ramnatthan Alagappan,Michael Gasch,Lalith Suresh,Tianyin Xu	
Verifying Hardware Security Modules with Information-Preserving Refinement.	Anish Athalye,M. Frans Kaashoek,Nickolai Zeldovich	
Groove: Flexible Metadata-Private Messaging.	Ludovic Barman,Moshe Kol,David Lazar,Yossi Gilad,Nickolai Zeldovich	
Verifying the DaisyNFS concurrent and crash-safe file system with sequential reasoning.	Tej Chajed,Joseph Tassarotti,Mark Theng,M. Frans Kaashoek,Nickolai Zeldovich	
UPGRADVISOR: Early Adopting Dependency Updates Using Hybrid Program Analysis and Hardware Tracing.	Yaniv David,Xudong Sun 0013,Raphael J. Sofaer,Aditya Senthilnathan,Junfeng Yang,Zhiqiang Zuo 0002,Guoqing Harry Xu,Jason Nieh,Ronghui Gu	
TriCache: A User-Transparent Block Cache Enabling High-Performance Out-of-Core Processing with In-Memory Programs.	Guanyu Feng,Huanqi Cao,Xiaowei Zhu,Bowen Yu 0003,Yuanwei Wang,Zixuan Ma,Shengqi Chen 0001,Wenguang Chen	
Owl: Scale and Flexibility in Distribution of Hot Content.	Jason Flinn,Xianzheng Dou,Arushi Aggarwal,Alex Boyko,Francois Richard,Eric Sun,Wendy Tobagus,Nick Wolchko,Fang Zhou	
DURINN: Adversarial Memory and Thread Interleaving for Detecting Durable Linearizability Bugs.	Xinwei Fu,Dongyoon Lee,Changwoo Min	
Trinity: High-Performance Mobile Emulation through Graphics Projection.	Di Gao,Hao Lin 0005,Zhenhua Li 0001,Chengen Huang,Yunhao Liu 0001,Feng Qian 0001,Liangyi Gong,Tianyin Xu	
Jawa: Web Archival in the Era of JavaScript.	Ayush Goel,Jingyuan Zhu,Ravi Netravali,Harsha V. Madhyastha	
Microsecond-scale Preemption for Concurrent GPU-accelerated DNN Inferences.	Mingcong Han,Hanze Zhang,Rong Chen 0001,Haibo Chen 0001	
BlackBox: A Container Security Monitor for Protecting Containers on Untrusted Operating Systems.	Alexander Van&apos;t Hof,Jason Nieh	
Metastable Failures in the Wild.	Lexiang Huang,Matthew Magnusson,Abishek Bangalore Muralikrishna,Salman Estyak,Rebecca Isaacs,Abutalib Aghayev,Timothy Zhu,Aleksey Charapko	
KSplit: Automating Device Driver Isolation.	Yongzhe Huang,Vikram Narayanan,David Detweiler,Kaiming Huang,Gang Tan,Trent Jaeger,Anton Burtsev	
Operating System Support for Safe and Efficient Auxiliary Execution.	Yuzhuo Jing,Peng Huang 0005	
Tiger: Disk-Adaptive Redundancy Without Placement Restrictions.	Saurabh Kadekodi,Francisco Maturana,Sanjith Athlur,Arif Merchant,K. V. Rashmi,Gregory R. Ganger	
Practically Correct, Just-in-Time Shell Script Parallelization.	Konstantinos Kallas,Tammam Mustafa,Jan Bielak,Dimitris Karnikis,Thurston H. Y. Dang,Michael Greenberg 0002,Nikos Vasilakis	
ListDB: Union of Write-Ahead Logs and Persistent SkipLists for Incremental Checkpointing on Persistent Memory.	Wonbae Kim,Chanyeol Park,Dongui Kim,Hyeongjun Park,Young-ri Choi,Alan Sussman,Beomseok Nam	
Design and Verification of the Arm Confidential Compute Architecture.	Xupeng Li,Xuheng Li,Christoffer Dall,Ronghui Gu,Jason Nieh,Yousuf Sait,Gareth Stockwell	
RESIN: A Holistic Service for Dealing with Memory Leaks in Production Cloud Infrastructure.	Chang Lou,Cong Chen,Peng Huang 0005,Yingnong Dang,Si Qin,Xinsheng Yang,Xukun Li,Qingwei Lin,Murali Chintalapati	
Demystifying and Checking Silent Semantic Violations in Large Distributed Systems.	Chang Lou,Yuzhuo Jing,Peng Huang 0005	
Hubble: Performance Debugging with In-Production, Just-In-Time Method Tracing on Android.	Yu Luo,Kirk Rodrigues,Cuiqin Li,Feng Zhang,Lijin Jiang,Bing Xia,David Lion,Ding Yuan 0004	
Walle: An End-to-End, General-Purpose, and Large-Scale Production System for Device-Cloud Collaborative Machine Learning.	Chengfei Lv,Chaoyue Niu,Renjie Gu,Xiaotang Jiang,Zhaode Wang,Bin Liu,Ziqi Wu,Qiulin Yao,Congyu Huang,Panos Huang,Tao Huang,Hui Shu,Jinde Song,Bin Zou,Peng Lan,Guohuan Xu,Fei Wu,Shaojie Tang,Fan Wu 0006,Guihai Chen	
ORION and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs.	Ashraf Mahgoub,Edgardo Barsallo Yi,Karthick Shankar,Sameh Elnikety,Somali Chaterji,Saurabh Bagchi	
Looking Beyond GPUs for DNN Scheduling on Multi-Tenant Clusters.	Jayashree Mohan,Amar Phanishayee,Janardhan Kulkarni,Vijay Chidambaram	
Application-Informed Kernel Synchronization Primitives.	Sujin Park,Diyu Zhou,Yuchen Qian,Irina Calciu,Taesoo Kim,Sanidhya Kashyap	
BlockFlex: Enabling Storage Harvesting with Software-Defined Flash in Modern Cloud Platforms.	Benjamin Reidys,Jinghan Sun,Anirudh Badam,Shadi A. Noghabi,Jian Huang 0006	
From Dynamic Loading to Extensible Transformation: An Infrastructure for Dynamic Library Transformation.	Yuxin Ren,Kang Zhou,Jianhai Luan,Yunfeng Ye,Shiyuan Hu,Xu Wu,Wenqin Zheng,Wenfeng Zhang,Xinwei Hu	
