Capacity Planning for Web Services.	Virgílio A. F. Almeida	10.1007/3-540-45798-4_7
Benchmarking Models and Tools for Distributed Web-Server Systems.	Mauro Andreolini,Valeria Cardellini,Michele Colajanni	10.1007/3-540-45798-4_10
Automated Performance and Dependability Evaluation Using Model Checking.	Christel Baier,Boudewijn R. Haverkort,Holger Hermanns,Joost-Pieter Katoen	10.1007/3-540-45798-4_12
Stochastic Process Algebra: From an Algebraic Formalism to an Architectural Description Language.	Marco Bernardo 0001,Lorenzo Donatiello,Paolo Ciancarini	10.1007/3-540-45798-4_11
Optimization of Bandwidth and Energy Consumption in Wireless Local Area Networks.	Marco Conti,Enrico Gregori	10.1007/3-540-45798-4_18
End-to-End Performance of Web Services.	Paolo Cremonesi,Giuseppe Serazzi	10.1007/3-540-45798-4_8
Workload Modeling for Performance Evaluation.	Dror G. Feitelson	10.1007/3-540-45798-4_6
An Algorithmic Approach to Stochastic Bounds.	Jean-Michel Fourneau,Nihal Pekergin	10.1007/3-540-45798-4_4
European DataGrid Project: Experiences of Deploying a Large Scale Testbed for E-science Applications.	Fabrizio Gagliardi,Bob Jones,Mario Reale,Stephen Burke	10.1007/3-540-45798-4_20
G-Networks: Multiple Classes of Positive Customers, Signals, and Product Form Results.	Erol Gelenbe	10.1007/3-540-45798-4_1
Performance Validation of Mobile Software Architectures.	Vincenzo Grassi,Vittorio Cortellessa,Raffaela Mirandola	10.1007/3-540-45798-4_15
Markovian Modeling of Real Data Traffic: Heuristic Phase Type and MAP Fitting of Heavy Tailed and Fractal Like Samples.	András Horváth,Miklós Telek	10.1007/3-540-45798-4_17
Measurement-Based Analysis of System Dependability Using Fault Injection and Field Failure Data.	Ravishankar K. Iyer,Zbigniew Kalbarczyk	10.1007/3-540-45798-4_13
Spectral Expansion Solutions for Markov-Modulated Queues.	Isi Mitrani	10.1007/3-540-45798-4_2
M/G/1-Type Markov Processes: A Tutorial.	Alma Riska,Evgenia Smirni	10.1007/3-540-45798-4_3
Service Centric Computing - Next Generation Internet Computing.	Jerry Rolia,Rich Friedrich,Chandrakant D. Patel	10.1007/3-540-45798-4_19
Performance Issues of Multimedia Applications.	Edmundo de Souza e Silva,Rosa M. M. Leão,Berthier A. Ribeiro-Neto,Sérgio Vale Aguiar Campos	10.1007/3-540-45798-4_16
Software Reliability and Rejuvenation: Modeling and Analysis.	Kishor S. Trivedi,Kalyanaraman Vaidyanathan	10.1007/3-540-45798-4_14
Benchmarking.	Reinhold Weicker	10.1007/3-540-45798-4_9
Dynamic Scheduling via Polymatroid Optimization.	David D. Yao	10.1007/3-540-45798-4_5
Performance Evaluation of Complex Systems: Techniques and Tools, Performance 2002, Tutorial Lectures	Mariacarla Calzarossa,Salvatore Tucci	10.1007/3-540-45798-4
