End-Host Architecture for QoS-Adaptive Communication.	Tarek F. Abdelzaher,Kang G. Shin	10.1109/RTTAS.1998.683195
Overload Tolerance for Single-Processor Workloads.	Sanjoy K. Baruah	10.1109/RTTAS.1998.683182
An Application of Complex Task Modeling.	Kevin Bradley,Jay K. Strosnider	10.1109/RTTAS.1998.683191
Performance Analysis of an RSVP-Capable Router.	Tzi-cker Chiueh,Anindya Neogi,Paul A. Stirpe	10.1109/RTTAS.1998.683186
Time Slot Allocation for Real-Time Messages with Negotiable Distance Constrains.	Libin Dong,Rami G. Melhem,Daniel Mossé	10.1109/RTTAS.1998.683196
Managing Memory Requirements in the Synthesis of Real-Time Systems from Processing Graphs.	Steve Goddard,Kevin Jeffay	10.1109/RTTAS.1998.683188
Bounding Loop Iterations for Timing Analysis.	Christopher A. Healy,Mikael Sjödin,Viresh Rustagi,David B. Whalley	10.1109/RTTAS.1998.683183
Real-Time Client-Server Push Strategies: Specification and Evaluation.	Vinay Kanitkar,Alex Delis	10.1109/RTTAS.1998.683202
bCANDLE: Formal Modelling and Analysis of CAN Control Systems.	David Kendall,Steven Bradley,William Henderson,Adrian Robson	10.1109/RTTAS.1998.683201
Optimistic Similarity-Based Real-Time Concurrency Control.	Chih Lai	10.1109/RTTAS.1998.683203
Form, the Missing Piece in Effective Real-Time System Specification and Simulation.	Ji Y. Lee,Kyo Chul Kang,Gerard J. Kim,Hye J. Kim	10.1109/RTTAS.1998.683199
A Unified Approach for Specifying Timing Constraints and Composite Events in Active Real-Time Database Systems.	Guangtian Liu,Aloysius K. Mok,Prabhudev Konana	10.1109/RTTAS.1998.683204
Fully Distributed Wireless MAC Transmission of Real-Time Data.	Michael J. Markowski,Adarshpal S. Sethi	10.1109/RTTAS.1998.683187
A Scalable QoS Routing Architecture for Real-Time CSCW Applications.	Ibrahim Matta,Mohamed Eltoweissy	10.1109/RTTAS.1998.683197
A Comparison of Static Analysis and Evolutionary Testing for the Verification of Timing Constraints.	Frank Mueller 0001,Joachim Wegener	10.1109/RTTAS.1998.683198
Real-Time Performance Guarantees over Wired/Wireless LANs.	Prashant Pradhan,Tzi-cker Chiueh	10.1109/RTTAS.1998.683185
Real-Time Spacecraft Simulation and Hardware-in-the-Loop Testing.	Alan Ptak,K. Foundy	10.1109/RTTAS.1998.683207
Using Windows NT for Real-Time Applications: Experimental Observations and Recommendations.	Krithi Ramamritham,Chia Shen,Oscar González 0002,Subhabrata Sen,S. Shirgurkar	10.1109/RTTAS.1998.683193
FARA - A Framework for Adaptive Resource Allocation in Complex Real-Time Systems.	Daniela Rosu 0001,Karsten Schwan,Sudhakar Yalamanchili	10.1109/RTTAS.1998.683190
Alleviating Priority Inversion and Non-Determinism in Real-Time CORBA ORB Core Architectures.	Douglas C. Schmidt,Sumedh Mungee,Sergio Flores-Gaitan,Aniruddha S. Gokhale	10.1109/RTTAS.1998.683192
A Triple Redundant Controller which Adopts the Time-Sharing Fault Recovery Method and its Application to a Power Converter Controller.	Kotaro Shimamura,Yuichiro Morita,Yoshitaka Takahashi,Takashi Hotta,Shigeta Ueda,Mikiya Nohara,Mitsuyasu Kido,Seji Tanaka,Kazuhiro Imaie,Koji Sakamoto,Tatsuhito Nakajima	10.1109/RTTAS.1998.683205
Verification of the Redundancy Management System for Space Launch Vehicle: A Case Study.	Oleg Sokolsky,Mohamed F. Younis,Insup Lee 0001,Hee-Hwan Kwak,Jeffrey X. Zhou	10.1109/RTTAS.1998.683206
A Firm Real-Time System Implementation using Commercial Off-the-Shelf Hardware and Free Software.	Balaji Srinivasan,Shyamalan Pather,Robert Hill,Furquan Ansari,Douglas Niehaus	10.1109/RTTAS.1998.683194
The Cogency Monitor: An External Interface Architecture for a Distributed Object-Oriented Real-Time Database System.	John A. Stankovic,Sang Hyuk Son,C. Nguyen	10.1109/RTTAS.1998.683189
Verification of the Fast Reservation Protocol with Delayed Transmission using the Tool Kronos.	Stavros Tripakis,Sergio Yovine	10.1109/RTTAS.1998.683200
Rate-Monotonic Scheduling in the Presence of Timing Unpredictability.	Lei Zhou,Kang G. Shin,Elke A. Rundensteiner	10.1109/RTTAS.1998.683184
Proceedings of the Fourth IEEE Real-Time Technology and Applications Symposium, RTAS&apos;98, Denver, Colorado, USA, June 3-5, 1998		
