RAHTM: Routing Algorithm Aware Hierarchical Task Mapping.	Ahmed H. Abdel-Gawad,Mithuna Thottethodi,Abhinav Bhatele	10.1109/SC.2014.32
Parallel Programming with Migratable Objects: Charm++ in Practice.	Bilge Acun,Abhishek Gupta 0002,Nikhil Jain,Akhil Langer,Harshitha Menon,Eric Mikida,Xiang Ni,Michael P. Robson,Yanhua Sun,Ehsan Totoni,Lukasz Wesolowski,Laxmikant V. Kalé	10.1109/SC.2014.58
The Lightweight Distributed Metric Service: A Scalable Infrastructure for Continuous Monitoring of Large Scale Computing Systems and Applications.	Anthony M. Agelastos,Benjamin A. Allan,Jim M. Brandt,Paul Cassella,Jeremy Enos,Joshi Fullop,Ann C. Gentile,Steve Monk,Nichamon Naksinehaboon,Jeff Ogden,Mahesh Rajan,Michael T. Showerman,Joel Stevenson,Narate Taerat,Thomas W. Tucker	10.1109/SC.2014.18
An Image-Based Approach to Extreme Scale in Situ Visualization and Analysis.	James P. Ahrens,Sébastien Jourdain,Patrick O&apos;Leary,John Patchett,David H. Rogers 0001,Mark R. Petersen	10.1109/SC.2014.40
Efficient Implementation of Many-Body Quantum Chemical Methods on the Intel® Xeon Phi Coprocessor.	Edoardo Aprà,Michael Klemm,Karol Kowalski	10.1109/SC.2014.60
Compiler Techniques for Massively Scalable Implicit Task Parallelism.	Timothy G. Armstrong,Justin M. Wozniak,Michael Wilde,Ian T. Foster	10.1109/SC.2014.30
Fast Sparse Matrix-Vector Multiplication on GPUs for Graph Applications.	Arash Ashari,Naser Sedaghati,John Eisenlohr,Srinivasan Parthasarathy 0001,P. Sadayappan	10.1109/SC.2014.69
Structure Slicing: Extending Logical Regions with Fields.	Michael Bauer 0001,Sean Treichler,Elliott Slaughter,Alex Aiken	10.1109/SC.2014.74
24.77 Pflops on a Gravitational Tree-Code to Simulate the Milky Way Galaxy with 18600 GPUs.	Jeroen Bédorf,Evghenii Gaburov,Michiko S. Fujii,Keigo Nitadori,Tomoaki Ishiyama,Simon Portegies Zwart	10.1109/SC.2014.10
Slim Fly: A Cost Effective Low-Diameter Network Topology.	Maciej Besta,Torsten Hoefler	10.1109/SC.2014.34
Real-Time Scalable Cortical Computing at 46 Giga-Synaptic OPS/Watt with ~100× Speedup in Time-to-Solution and ~100, 000× Reduction in Energy-to-Solution.	Andrew S. Cassidy,Rodrigo Alvarez-Icaza,Filipp Akopyan,Jun Sawada,John V. Arthur,Paul Merolla,Pallab Datta,Marc González Tallada,Brian Taba,Alexander Andreopoulos,Arnon Amir,Steven K. Esser,Jeff Kusnitz,Rathinakumar Appuswamy,Chuck Haymes,Bernard Brezzo,Roger Moussalli,Ralph Bellofatto,Christian W. Baks,Michael Mastro,Kai Schleupen,Charles E. Cox,Ken Inoue,Steven E. Millman,Nabil Imam,Emmett McQuinn,Yutaka Y. Nakamura,Ivan Vo,Chen Guok,Don Nguyen,Scott Lekuch,Sameh W. Asaad,Daniel J. Friedman,Bryan L. Jackson,Myron Flickner,William P. Risk,Rajit Manohar,Dharmendra S. Modha	10.1109/SC.2014.8
Pipelining Computational Stages of the Tomographic Reconstructor for Multi-Object Adaptive Optics on a Multi-GPU System.	Ali Charara 0001,Hatem Ltaief,Damien Gratadour,David E. Keyes,Arnaud Sevin,Ahmad Abdelfattah,Eric Gendron,Carine Morel,Fabrice Vidal	10.1109/SC.2014.27
Managing DRAM Latency Divergence in Irregular GPGPU Applications.	Niladrish Chatterjee,Mike O&apos;Connor,Gabriel H. Loh,Nuwan Jayasena,Rajeev Balasubramonian	10.1109/SC.2014.16
MC-Checker: Detecting Memory Consistency Errors in MPI One-Sided Applications.	Zhezhe Chen,James Dinan,Zhen Tang,Pavan Balaji,Hua Zhong 0001,Jun Wei 0001,Tao Huang 0001,Feng Qin	10.1109/SC.2014.46
NUMARCK: Machine Learning Algorithm for Resiliency and Checkpointing.	Zhengzhang Chen,Seung Woo Son 0001,William Hendrix,Ankit Agrawal 0001,Wei-keng Liao,Alok N. Choudhary	10.1109/SC.2014.65
Understanding Soft Error Resiliency of Blue Gene/Q Compute Chip through Hardware Proton Irradiation and Software Fault Injection.	Chen-Yong Cher,Meeta Sharma Gupta,Pradip Bose,K. Paul Muller	10.1109/SC.2014.53
