Massively parallel 3D image reconstruction.	Xiao Wang 0004,Amit Sabne,Putt Sakdhnagool,Sherman J. Kisner,Charles A. Bouman,Samuel P. Midkiff	10.1145/3126908.3126911
Leveraging near data processing for high-performance checkpoint/restart.	Abhinav Agrawal 0003,Gabriel H. Loh,James Tuck	10.1145/3126908.3126918
Topology-aware GPU scheduling for learning workloads in cloud environments.	Marcelo Amaral,Jordà Polo,David Carrera 0001,Seetharami R. Seelam,Malgorzata Steinder	10.1145/3126908.3126933
Scalable reduction collectives with data partitioning-based multi-leader design.	Mohammadreza Bayatpour,Sourav Chakraborty 0003,Hari Subramoni,Xiaoyi Lu,Dhabaleswar K. Panda 0001	10.1145/3126908.3126954
Obtaining dynamic scheduling policies with simulation and machine learning.	Danilo Carastan-Santos,Raphael Y. de Camargo	10.1145/3126908.3126955
Low communication FMM-accelerated FFT on GPUs.	Cris Cecka	10.1145/3126908.3126919
Sympiler: transforming sparse matrix codes by decoupling symbolic analysis.	Kazem Cheshmi,Shoaib Kamil 0001,Michelle Mills Strout,Maryam Mehri Dehnavi	10.1145/3126908.3126936
Run-to-run variability on Xeon Phi based cray XC systems.	Sudheer Chunduri,Kevin Harms,Scott Parker,Vitali A. Morozov,Samuel Oshin,Naveen Cherukuri,Kalyan Kumaran	10.1145/3126908.3126926
A comparative study of SDN and adaptive routing on dragonfly networks.	Peyman Faizian,Md Atiqul Mollah,Zhou Tong,Xin Yuan 0001,Michael Lang 0003	10.1145/3126908.3126959
Galactos: computing the anisotropic 3-point correlation function for 2 billion galaxies.	Brian Friesen,Md. Mostofa Ali Patwary,Brian Austin,Nadathur Satish,Zachary Slepian,Narayanan Sundaram,Deborah Bard,Daniel J. Eisenstein,Jack Deslippe,Pradeep Dubey,Prabhat	10.1145/3126908.3126927
18.9-Pflops nonlinear earthquake simulation on Sunway TaihuLight: enabling depiction of 18-Hz and 8-meter scenarios.	Haohuan Fu,Conghui He,Bingwei Chen,Zekun Yin,Zhenguo Zhang,Wenqiang Zhang,Tingjian Zhang,Wei Xue,Weiguo Liu,Wanwang Yin,Guangwen Yang,Xiaofei Chen	10.1145/3126908.3126910
Redesigning CAM-SE for peta-scale climate modeling performance and ultra-high resolution on Sunway TaihuLight.	Haohuan Fu,Junfeng Liao,Nan Ding 0006,Xiaohui Duan,Lin Gan,Yishuang Liang,Xinliang Wang,Jinzhe Yang,Yan Zheng,Weiguo Liu,Lanning Wang,Guangwen Yang	10.1145/3126908.3126909
