On the optimal trade-off between SRPT and opportunistic scheduling.	Samuli Aalto,Aleksi Penttinen,Pasi E. Lassila,Prajwal Osti	10.1145/1993744.1993761
How do you &apos;Tube&apos;.	Vijay Kumar Adhikari,Sourabh Jain,Yingying Chen 0002,Zhi-Li Zhang	10.1145/1993744.1993794
De-ossifying internet routing through intrinsic support for end-network and ISP selfishness.	Aditya Akella,Shuchi Chawla 0001,Holly Esquivel,Chitra Muthukrishnan	10.1145/1993744.1993798
Analysis of DCTCP: stability, convergence, and fairness.	Mohammad Alizadeh,Adel Javanmard,Balaji Prabhakar	10.1145/1993744.1993753
Stability analysis of QCN: the averaging principle.	Mohammad Alizadeh,Abdul Kabbani,Berk Atikoglu,Balaji Prabhakar	10.1145/1993744.1993751
Topology discovery of sparse random graphs with few participants.	Animashree Anandkumar,Avinatan Hassidim,Jonathan A. Kelner	10.1145/1993744.1993774
Network link tomography and compressive sensing.	Rhys Alistair Bowden,Matthew Roughan,Nigel G. Bean	10.1145/1993744.1993805
Building accurate workload models using Markovian arrival processes.	Giuliano Casale	10.1145/1993744.1993783
TCP behavior in sub packet regimes.	Jay Chen,Janardhan R. Iyengar,Lakshminarayanan Subramanian,Bryan Ford	10.1145/1993744.1993804
Autocorrelation analysis: a new and improved method for measuring branch predictability.	Jian Chen 0030,Lizy Kurian John	10.1145/1993744.1993802
Modeling program resource demand using inherent program characteristics.	Jian Chen 0030,Lizy Kurian John,Dimitris Kaseridis	10.1145/1993744.1993746
Non-asymptotic capacity and delay analysis of mobile wireless networks.	Florin Ciucu	10.1145/1993744.1993784
Structure-aware sampling on data streams.	Edith Cohen,Graham Cormode,Nick G. Duffield	10.1145/1993744.1993763
An FPGA-based experimental evaluation of microprocessor core error detection with Argus-2.	Patrick J. Eibl,Albert Meixner,Daniel J. Sorin	10.1145/1993744.1993786
Storage technologies, management and troubleshooting in virtualized datacenters.	Ajay Gulati,Irfan Ahmad 0005	10.1145/1993744.1993781
