CORFU: A distributed shared log.	Mahesh Balakrishnan 0001,Dahlia Malkhi,John D. Davis,Vijayan Prabhakaran,Michael Wei,Ted Wobber	10.1145/2535930
A programmable memory controller for the DDRx interfacing standards.	Mahdi Nazm Bojnordi,Engin Ipek	10.1145/2534845
Spanner: Google&apos;s Globally Distributed Database.	James C. Corbett,Jeffrey Dean,Michael Epstein,Andrew Fikes,Christopher Frost 0001,J. J. Furman,Sanjay Ghemawat,Andrey Gubarev,Christopher Heiser,Peter Hochschild,Wilson C. Hsieh,Sebastian Kanthak,Eugene Kogan,Hongyi Li,Alexander Lloyd,Sergey Melnik 0001,David Mwaura,David Nagle,Sean Quinlan,Rajesh Rao,Lindsay Rolig,Yasushi Saito,Michal Szymaniak,Christopher Taylor,Ruth Wang,Dale Woodford	10.1145/2491245
QoS-Aware scheduling in heterogeneous datacenters with paragon.	Christina Delimitrou,Christos Kozyrakis	10.1145/2556583
Protocol Responsibility Offloading to Improve TCP Throughput in Virtualized Environments.	Sahan Gamage,Ramana Rao Kompella,Dongyan Xu,Ardalan Kangarlou	10.1145/2491463
Aggressive Datacenter Power Provisioning with Batteries.	Sriram Govindan,Di Wang 0003,Anand Sivasubramaniam,Bhuvan Urgaonkar	10.1145/2427631.2427633
Parametric Content-Based Publish/Subscribe.	K. R. Jayaram,Patrick Eugster,Chamikara Jayalath	10.1145/2465346.2465347
Exploring the Tradeoffs between Programmability and Efficiency in Data-Parallel Accelerators.	Yunsup Lee,Rimas Avizienis,Alex Bishara,Richard Xia,Derek Lockhart,Christopher Batten,Krste Asanovic	10.1145/2491464
Editorial.	Todd C. Mowry	10.1145/2542150.2542151
TritonSort: A Balanced and Energy-Efficient Large-Scale Sorting System.	Alexander Rasmussen,George Porter,Michael Conley,Harsha V. Madhyastha,Radhika Niranjan Mysore,Alexander Pucher,Amin Vahdat	10.1145/2427631.2427634
Optimizing Storage Performance for VM-Based Mobile Computing.	Stephen Smaldone,Benjamin Gilbert,Jan Harkes,Liviu Iftode,Mahadev Satyanarayanan	10.1145/2465346.2465348
Efficient Reuse Distance Analysis of Multicore Scaling for Loop-Based Parallel Programs.	Meng-Ju Wu,Donald Yeung	10.1145/2427631.2427632
