Corrigendum to &quot;The IX Operating System: Combining Low Latency, High Throughput and Efficiency in a Protected Dataplane&quot;.	Adam Belay,George Prekas,Mia Primorac,Ana Klimovic,Samuel Grossman,Christos Kozyrakis,Edouard Bugnion	10.1145/3154292
Fast In-Memory Transaction Processing Using RDMA and HTM.	Haibo Chen 0001,Rong Chen 0001,Xingda Wei,Jiaxin Shi,Yanzhe Chen,Zhaoguo Wang,Binyu Zang,Haibing Guan	10.1145/3092701
Determining Application-Specific Peak Power and Energy Requirements for Ultra-Low-Power Processors.	Hari Cherupalli,Henry Duwe,Weidong Ye,Rakesh Kumar 0002,John Sartori	10.1145/3148052
Apache REEF: Retainable Evaluator Execution Framework.	Byung-Gon Chun,Tyson Condie,Yingda Chen,Brian Cho,Andrew Chung,Carlo Curino,Chris Douglas,Matteo Interlandi,Beomyeol Jeon,Joo Seong Jeong,Gyewon Lee,Yunseong Lee,Tony Majestro,Dahlia Malkhi,Sergiy Matusevych,Brandon Myers,Mariia Mykhailova,Shravan M. Narayanamurthy,Joseph Noor,Raghu Ramakrishnan,Sriram Rao,Russell Sears,Beysim Sezgin,Taegeon Um,Julia Wang,Markus Weimer,Youngseok Yang	10.1145/3132037
Seer: Probabilistic Scheduling for Hardware Transactional Memory.	Nuno Diegues,Paolo Romano 0002,Stoyan Garbatov	10.1145/3132036
Reining in Long Tails in Warehouse-Scale Computers with Quick Voltage Boosting Using Adrenaline.	Chang-Hong Hsu,Yunqi Zhang,Michael A. Laurenzano,David Meisner,Thomas F. Wenisch,Ronald G. Dreslinski,Jason Mars,Lingjia Tang	10.1145/3054742
Ryoan: A Distributed Sandbox for Untrusted Computation on Secret Data.	Tyler Hunt,Zhiting Zhu,Yuanzhong Xu,Simon Peter 0001,Emmett Witchel	10.1145/3231594
Pivot Tracing: Dynamic Causal Monitoring for Distributed Systems.	Jonathan Mace,Ryan Roelke,Rodrigo Fonseca	10.1145/3208104
The Hipster Approach for Improving Cloud System Efficiency.	Rajiv Nishtala,Paul M. Carpenter,Vinicius Petrucci,Xavier Martorell	10.1145/3144168
Supercloud: A Library Cloud for Exploiting Cloud Diversity.	Zhiming Shen,Qin Jia,Gur-Eyal Sela,Weijia Song,Hakim Weatherspoon,Robbert van Renesse	10.1145/3132038
Building Consistent Transactions with Inconsistent Replication.	Irene Zhang,Naveen Kr. Sharma,Adriana Szekeres,Arvind Krishnamurthy,Dan R. K. Ports	10.1145/3269981
Using Multicore Reuse Distance to Study Coherence Directories.	Minshu Zhao,Donald Yeung	10.1145/3092702
Optimizing General-Purpose CPUs for Energy-Efficient Mobile Web Computing.	Yuhao Zhu 0001,Vijay Janapa Reddi	10.1145/3041024
