Software Prefetching for Indirect Memory Accesses: A Microarchitectural Perspective.	Sam Ainsworth 0001,Timothy M. Jones 0001	10.1145/3319393
Effective Detection of Sleep-in-atomic-context Bugs in the Linux Kernel.	Jia-Ju Bai,Julia Lawall,Shi-Min Hu 0001	10.1145/3381990
SILK+ Preventing Latency Spikes in Log-Structured Merge Key-Value Stores Running Heterogeneous Workloads.	Oana Balmau,Florin Dinu,Willy Zwaenepoel,Karan Gupta,Ravishankar Chandhiramoorthi,Diego Didona	10.1145/3380905
SPIN: Seamless Operating System Integration of Peer-to-Peer DMA Between SSDs and GPUs.	Shai Bergman,Tanya Brokhman,Tzachi Cohen,Mark Silberstein	10.1145/3309987
An Instruction Set Architecture for Machine Learning.	Yunji Chen,Huiying Lan,Zidong Du,Shaoli Liu,Jinhua Tao,Dong Han,Tao Luo,Qi Guo 0001,Ling Li 0001,Yuan Xie 0001,Tianshi Chen 0002	10.1145/3331469
Lock-Unlock: Is That All? A Pragmatic Analysis of Locking in Software Systems.	Rachid Guerraoui,Hugo Guiroux,Renaud Lachaize,Vivien Quéma,Vasileios Trigonakis	10.1145/3301501
The Arm Triple Core Lock-Step (TCLS) Processor.	Xabier Iturbe,Balaji Venu,Emre Ozer,Jean-Luc Poupat,Gregoire Gimenez,Hans-Ulrich Zurek	10.1145/3323917
Corrigendum to &quot;Derecho: Fast State Machine Replication for Cloud Services&quot; by Jha et al., ACM Transactions on Computer Systems (TOCS) Volume 36, Issue 2, Article No. 4.	Sagar Jha	10.1145/3395604
Derecho: Fast State Machine Replication for Cloud Services.	Sagar Jha,Jonathan Behrens,Theo Gkountouvas,Mae Milano,Weijia Song,Edward Tremel,Robbert van Renesse,Sydney Zink,Kenneth P. Birman	10.1145/3302258
Transactuations: Where Transactions Meet the Physical World.	Tanakorn Leesatapornwongsa,Aritra Sengupta,Masoud Saeida Ardekani,Gustavo Petri,Cesar A. Stuardo	10.1145/3380907
Introduction to the Special Issue on the Award Papers of USENIX ATC 2019.	Dahlia Malkhi,Dan Tsafrir	10.1145/3395034
Mitigating Load Imbalance in Distributed Data Serving with Rack-Scale Memory Pooling.	Stanko Novakovic,Alexandros Daglis,Dmitrii Ustiugov,Edouard Bugnion,Babak Falsafi,Boris Grot	10.1145/3309986
Deca: A Garbage Collection Optimizer for In-Memory Data Processing.	Xuanhua Shi,Zhixiang Ke,Yongluan Zhou,Hai Jin 0001,Lu Lu 0006,Xiong Zhang,Ligang He,Zhenyu Hu,Fei Wang	10.1145/3310361
A Retargetable System-level DBT Hypervisor.	Tom Spink,Harry Wagstaff,Björn Franke	10.1145/3386161
Venice: An Effective Resource Sharing Architecture for Data Center Servers.	Boyan Zhao,Rui Hou 0001,Jianbo Dong,Michael C. Huang 0001,Sally A. McKee,Qianlong Zhang,Yueji Liu,Ye Li,Lixin Zhang 0002,Dan Meng	10.1145/3310360
