All for the Price of Few.	Parosh Aziz Abdulla,Frédéric Haziza,Lukás Holík	10.1007/978-3-642-35873-9_28
Quantifying Information Leakage of Randomized Protocols.	Fabrizio Biondi,Axel Legay,Pasquale Malacaria,Andrzej Wasowski	10.1007/978-3-642-35873-9_7
An Abstract Interpretation of DPLL(T).	Martin Brain,Vijay Victor D&apos;Silva,Leopold Haller,Alberto Griggio,Daniel Kroening	10.1007/978-3-642-35873-9_27
Compositional Sequentialization of Periodic Programs.	Sagar Chaki,Arie Gurfinkel,Soonho Kong,Ofer Strichman	10.1007/978-3-642-35873-9_31
Flow-Sensitive Fault Localization.	Jürgen Christ,Evren Ermis,Martin Schäf,Thomas Wies	10.1007/978-3-642-35873-9_13
Automatic Inference of Necessary Preconditions.	Patrick Cousot,Radhia Cousot,Manuel Fähndrich,Francesco Logozzo	10.1007/978-3-642-35873-9_10
Tool Integration with the Evidential Tool Bus.	Simon Cruanes,Grégoire Hamon,Sam Owre,Natarajan Shankar	10.1007/978-3-642-35873-9_18
Static Analysis of String Encoders and Decoders.	Loris D&apos;Antoni,Margus Veanes	10.1007/978-3-642-35873-9_14
Abstraction of Syntax.	Vijay Victor D&apos;Silva,Daniel Kroening	10.1007/978-3-642-35873-9_24
SMT-Based Bisimulation Minimisation of Markov Models.	Christian Dehnert,Joost-Pieter Katoen,David Parker 0001	10.1007/978-3-642-35873-9_5
Abstract Read Permissions: Fractional Permissions without the Fractions.	Stefan Heule,K. Rustan M. Leino,Peter Müller 0001,Alexander J. Summers	10.1007/978-3-642-35873-9_20
Reductions for Synthesis Procedures.	Swen Jacobs,Viktor Kuncak,Philippe Suter	10.1007/978-3-642-35873-9_8
Knockout Prediction for Reaction Networks with Partial Kinetic Information.	Mathias John,Mirabelle Nebut,Joachim Niehren	10.1007/978-3-642-35873-9_22
Towards Efficient Parameterized Synthesis.	Ayrat Khalimov 0001,Swen Jacobs,Roderick Bloem	10.1007/978-3-642-35873-9_9
SMT-Based Array Invariant Generation.	Daniel Larraz,Enric Rodríguez-Carbonell,Albert Rubio	10.1007/978-3-642-35873-9_12
Causality Checking for Complex System Models.	Florian Leitner-Fischer,Stefan Leue	10.1007/978-3-642-35873-9_16
A Model-Constructing Satisfiability Calculus.	Leonardo Mendonça de Moura,Dejan Jovanovic	10.1007/978-3-642-35873-9_1
Uncovering Symmetries in Irregular Process Networks.	Kedar S. Namjoshi,Richard J. Trefler	10.1007/978-3-642-35873-9_29
Sound and Complete Flow Typing with Unions, Intersections and Negations.	David J. Pearce 0001	10.1007/978-3-642-35873-9_21
A Constraint Solver Based on Abstract Domains.	Marie Pelleau,Antoine Miné,Charlotte Truchet,Frédéric Benhamou	10.1007/978-3-642-35873-9_26
Automata as Proofs.	Andreas Podelski	10.1007/978-3-642-35873-9_2
Hybrid Automata-Based CEGAR for Rectangular Hybrid Systems.	Pavithra Prabhakar,Parasara Sridhar Duggirala,Sayan Mitra,Mahesh Viswanathan 0001	10.1007/978-3-642-35873-9_6
Complete Abstractions Everywhere.	Francesco Ranzato	10.1007/978-3-642-35873-9_3
Robustness Analysis of Networked Systems.	Roopsha Samanta,Jyotirmoy V. Deshmukh,Swarat Chaudhuri	10.1007/978-3-642-35873-9_15
Logico-Numerical Max-Strategy Iteration.	Peter Schrammel,Pavle Subotic	10.1007/978-3-642-35873-9_25
Fixpoint Computation in the Polyhedra Abstract Domain Using Convex and Numerical Analysis Tools.	Yassamine Seladji,Olivier Bouissou	10.1007/978-3-642-35873-9_11
ClabureDB: Classified Bug-Reports Database.	Jiri Slaby,Jan Strejcek,Marek Trtík	10.1007/978-3-642-35873-9_17
Reduced Product Combination of Abstract Domains for Shapes.	Antoine Toubhans,Bor-Yuh Evan Chang,Xavier Rival	10.1007/978-3-642-35873-9_23
Abstraction-Guided Synthesis.	Eran Yahav	10.1007/978-3-642-35873-9_4
State Space Reduction for Sensor Networks Using Two-Level Partial Order Reduction.	Manchun Zheng,David Sanán,Jun Sun 0001,Yang Liu 0003,Jin Song Dong,Yu Gu 0001	10.1007/978-3-642-35873-9_30
Compositional and Lightweight Dependent Type Inference for ML.	He Zhu 0001,Suresh Jagannathan	10.1007/978-3-642-35873-9_19
Verification, Model Checking, and Abstract Interpretation, 14th International Conference, VMCAI 2013, Rome, Italy, January 20-22, 2013. Proceedings	Roberto Giacobazzi,Josh Berdine,Isabella Mastroeni	10.1007/978-3-642-35873-9
